partition,channel,subset,flight_id,n_windows,positive,negative,n_nonoverlap,nonoverlap_positive,nonoverlap_negative
train,drive,high,2026.9.6/log_17_2026-9-6-18-34-06.ulg,101,52,49,40,20,20
train,drive,high,2026.9.6/log_18_2026-9-6-18-46-20.ulg,90,46,44,34,14,20
train,drive,high,2026.9.6/log_19_2026-9-6-18-52-30.ulg,166,81,85,65,31,34
train,drive,high,2026.9.6/log_20_2026-9-6-18-58-10.ulg,52,27,25,21,10,11
train,drive,high,2026.9.6/log_24_2026-9-6-06-28-38.ulg,229,120,109,72,31,41
train,drive,high,2026.9.6/log_28_2026-9-6-07-01-38.ulg,149,85,64,43,27,16
train,drive,high,9.11数据/log_13_2026-9-11-18-28-08.ulg,20,8,12,9,4,5
train,drive,high,9.11数据/log_14_2026-9-11-18-34-58.ulg,94,48,46,28,16,12
train,drive,high,9.11数据/log_15_2026-9-11-18-40-48.ulg,47,23,24,21,8,13
train,drive,high,9.12数据/log_10_2026-9-12-06-13-40.ulg,104,54,50,41,19,22
train,drive,high,9.12数据/log_11_2026-9-12-06-21-12.ulg,167,87,80,54,27,27
train,drive,high,9.12数据/log_12_2026-9-12-06-29-44.ulg,136,67,69,54,24,30
train,drive,high,9.12数据/log_2_2026-9-12-18-32-54.ulg,92,41,51,38,15,23
train,drive,high,9.12数据/log_3_2026-9-12-18-40-02.ulg,202,103,99,73,36,37
train,drive,high,9.12数据/log_7_2026-9-12-05-49-02.ulg,138,68,70,48,24,24
train,drive,high,9.12数据/log_8_2026-9-12-05-55-30.ulg,200,96,104,69,33,36
train,drive,high,9.12数据/log_9_2026-9-12-06-03-32.ulg,176,101,75,69,38,31
train,drive,high,9.13数据/log_1_2026-9-13-06-11-06.ulg,86,44,42,39,21,18
train,drive,high,9.13数据/log_2_2026-9-13-06-20-06.ulg,94,49,45,40,19,21
train,drive,high,9.13数据/log_3_2026-9-13-06-31-26.ulg,141,74,67,59,31,28
train,drive,high,9.13数据/log_4_2026-9-13-06-36-26.ulg,96,52,44,46,24,22
train,drive,high,9.13数据/log_5_2026-9-13-06-42-40.ulg,179,99,80,63,34,29
train,drive,high,9.13数据/log_7_2026-9-13-18-12-52.ulg,107,60,47,42,24,18
train,drive,high,9.14数据/log_11_2026-9-14-18-13-22.ulg,242,122,120,80,39,41
train,drive,high,9.14数据/log_12_2026-9-14-18-20-30.ulg,223,119,104,78,41,37
train,drive,high,9.14数据/log_13_2026-9-14-18-28-32.ulg,177,87,90,61,30,31
train,drive,high,9.14数据/log_14_2026-9-14-18-34-22.ulg,155,90,65,57,31,26
train,drive,high,9.15数据/log_10_2026-9-15-17-44-04.ulg,227,116,111,71,35,36
train,drive,high,9.15数据/log_11_2026-9-15-17-51-56.ulg,197,101,96,61,34,27
train,drive,high,9.15数据/log_12_2026-9-15-18-03-58.ulg,231,117,114,73,35,38
train,drive,high,9.15数据/log_13_2026-9-15-18-10-58.ulg,192,105,87,67,29,38
train,drive,high,9.15数据/log_14_2026-9-15-18-17-26.ulg,229,115,114,78,38,40
train,drive,high,9.15数据/log_15_2026-9-15-18-23-44.ulg,295,140,155,90,43,47
train,drive,high,9.16数据/log_1_2026-9-16-18-02-34.ulg,213,105,108,64,29,35
train,drive,high,9.16数据/log_2_2026-9-16-18-08-46.ulg,253,126,127,82,40,42
train,drive,high,9.16数据/log_3_2026-9-16-18-13-58.ulg,187,96,91,61,33,28
train,drive,high,9.16数据/log_4_2026-9-16-18-20-50.ulg,276,135,141,87,44,43
train,drive,high,9.16数据/log_5_2026-9-16-18-26-48.ulg,197,89,108,67,30,37
train,drive,high,9.18数据/log_0_2026-9-18-18-15-06.ulg,297,147,150,91,44,47
train,drive,high,9.18数据/log_1_2026-9-18-18-23-36.ulg,339,172,167,91,48,43
train,drive,high,9.18数据/log_2_2026-9-18-18-29-40.ulg,278,134,144,85,39,46
train,drive,isolated,2026.9.6/log_17_2026-9-6-18-34-06.ulg,9,6,3,7,4,3
train,drive,isolated,2026.9.6/log_18_2026-9-6-18-46-20.ulg,5,2,3,4,2,2
train,drive,isolated,2026.9.6/log_19_2026-9-6-18-52-30.ulg,18,12,6,15,9,6
train,drive,isolated,2026.9.6/log_20_2026-9-6-18-58-10.ulg,7,5,2,4,3,1
train,drive,isolated,2026.9.6/log_24_2026-9-6-06-28-38.ulg,5,2,3,5,2,3
train,drive,isolated,2026.9.6/log_28_2026-9-6-07-01-38.ulg,4,2,2,4,2,2
train,drive,isolated,9.11数据/log_14_2026-9-11-18-34-58.ulg,2,1,1,2,1,1
train,drive,isolated,9.11数据/log_15_2026-9-11-18-40-48.ulg,1,0,1,1,0,1
train,drive,isolated,9.12数据/log_10_2026-9-12-06-13-40.ulg,1,0,1,1,0,1
train,drive,isolated,9.12数据/log_11_2026-9-12-06-21-12.ulg,1,1,0,1,1,0
train,drive,isolated,9.12数据/log_12_2026-9-12-06-29-44.ulg,4,3,1,3,2,1
train,drive,isolated,9.12数据/log_2_2026-9-12-18-32-54.ulg,4,1,3,4,1,3
train,drive,isolated,9.12数据/log_3_2026-9-12-18-40-02.ulg,3,1,2,3,1,2
train,drive,isolated,9.12数据/log_7_2026-9-12-05-49-02.ulg,1,0,1,1,0,1
train,drive,isolated,9.12数据/log_9_2026-9-12-06-03-32.ulg,2,2,0,2,2,0
train,drive,isolated,9.13数据/log_1_2026-9-13-06-11-06.ulg,5,3,2,5,3,2
train,drive,isolated,9.13数据/log_2_2026-9-13-06-20-06.ulg,3,1,2,3,1,2
train,drive,isolated,9.13数据/log_3_2026-9-13-06-31-26.ulg,2,0,2,2,0,2
train,drive,isolated,9.13数据/log_4_2026-9-13-06-36-26.ulg,6,2,4,6,2,4
train,drive,isolated,9.13数据/log_5_2026-9-13-06-42-40.ulg,5,2,3,4,2,2
train,drive,isolated,9.13数据/log_7_2026-9-13-18-12-52.ulg,1,1,0,1,1,0
train,drive,isolated,9.14数据/log_11_2026-9-14-18-13-22.ulg,2,1,1,2,1,1
train,drive,isolated,9.14数据/log_12_2026-9-14-18-20-30.ulg,3,1,2,3,1,2
train,drive,isolated,9.14数据/log_13_2026-9-14-18-28-32.ulg,7,2,5,7,2,5
train,drive,isolated,9.14数据/log_14_2026-9-14-18-34-22.ulg,5,1,4,5,1,4
train,drive,isolated,9.15数据/log_11_2026-9-15-17-51-56.ulg,1,0,1,1,0,1
train,drive,isolated,9.15数据/log_12_2026-9-15-18-03-58.ulg,2,1,1,2,1,1
train,drive,isolated,9.15数据/log_13_2026-9-15-18-10-58.ulg,14,8,6,12,7,5
train,drive,isolated,9.15数据/log_14_2026-9-15-18-17-26.ulg,3,1,2,3,1,2
train,drive,isolated,9.15数据/log_15_2026-9-15-18-23-44.ulg,10,6,4,7,5,2
train,drive,isolated,9.16数据/log_1_2026-9-16-18-02-34.ulg,8,3,5,7,3,4
train,drive,isolated,9.16数据/log_2_2026-9-16-18-08-46.ulg,15,6,9,10,4,6
train,drive,isolated,9.16数据/log_3_2026-9-16-18-13-58.ulg,3,1,2,3,1,2
train,drive,isolated,9.16数据/log_4_2026-9-16-18-20-50.ulg,11,5,6,9,3,6
train,drive,isolated,9.16数据/log_5_2026-9-16-18-26-48.ulg,12,6,6,10,5,5
train,drive,isolated,9.18数据/log_0_2026-9-18-18-15-06.ulg,7,2,5,7,2,5
train,drive,isolated,9.18数据/log_1_2026-9-18-18-23-36.ulg,3,2,1,3,2,1
train,drive,isolated,9.18数据/log_2_2026-9-18-18-29-40.ulg,4,1,3,3,1,2
train,drive,isolated_one_direction,2026.9.6/log_17_2026-9-6-18-34-06.ulg,9,6,3,7,4,3
train,drive,isolated_one_direction,2026.9.6/log_18_2026-9-6-18-46-20.ulg,5,2,3,4,2,2
train,drive,isolated_one_direction,2026.9.6/log_19_2026-9-6-18-52-30.ulg,18,12,6,15,9,6
train,drive,isolated_one_direction,2026.9.6/log_20_2026-9-6-18-58-10.ulg,7,5,2,4,3,1
train,drive,isolated_one_direction,2026.9.6/log_24_2026-9-6-06-28-38.ulg,5,2,3,5,2,3
train,drive,isolated_one_direction,2026.9.6/log_28_2026-9-6-07-01-38.ulg,3,2,1,3,2,1
train,drive,isolated_one_direction,9.11数据/log_14_2026-9-11-18-34-58.ulg,2,1,1,2,1,1
train,drive,isolated_one_direction,9.11数据/log_15_2026-9-11-18-40-48.ulg,1,0,1,1,0,1
