experiment,log_id,horizon_s,n_rollouts,n_valid,n_failed,failure_pct,numerical_failure_pct,position_horizontal_m_finite_count,position_horizontal_m_median,position_horizontal_m_p90,position_horizontal_m_p95,position_horizontal_m_mean,position_horizontal_m_max,position_horizontal_m_rmse,position_horizontal_m_equal_log_rmse,position_vertical_m_finite_count,position_vertical_m_median,position_vertical_m_p90,position_vertical_m_p95,position_vertical_m_mean,position_vertical_m_max,position_vertical_m_rmse,position_vertical_m_equal_log_rmse,position_m_finite_count,position_m_median,position_m_p90,position_m_p95,position_m_mean,position_m_max,position_m_rmse,position_m_equal_log_rmse,velocity_m_s_finite_count,velocity_m_s_median,velocity_m_s_p90,velocity_m_s_p95,velocity_m_s_mean,velocity_m_s_max,velocity_m_s_rmse,velocity_m_s_equal_log_rmse,attitude_deg_finite_count,attitude_deg_median,attitude_deg_p90,attitude_deg_p95,attitude_deg_mean,attitude_deg_max,attitude_deg_rmse,attitude_deg_equal_log_rmse,body_rate_rad_s_finite_count,body_rate_rad_s_median,body_rate_rad_s_p90,body_rate_rad_s_p95,body_rate_rad_s_mean,body_rate_rad_s_max,body_rate_rad_s_rmse,body_rate_rad_s_equal_log_rmse,frequency_hz_finite_count,frequency_hz_median,frequency_hz_p90,frequency_hz_p95,frequency_hz_mean,frequency_hz_max,frequency_hz_rmse,frequency_hz_equal_log_rmse,phase_rad_finite_count,phase_rad_median,phase_rad_p90,phase_rad_p95,phase_rad_mean,phase_rad_max,phase_rad_rmse,phase_rad_equal_log_rmse,velocity_x_m_s_finite_count,velocity_x_m_s_median,velocity_x_m_s_p90,velocity_x_m_s_p95,velocity_x_m_s_mean,velocity_x_m_s_max,velocity_x_m_s_rmse,velocity_x_m_s_equal_log_rmse,velocity_y_m_s_finite_count,velocity_y_m_s_median,velocity_y_m_s_p90,velocity_y_m_s_p95,velocity_y_m_s_mean,velocity_y_m_s_max,velocity_y_m_s_rmse,velocity_y_m_s_equal_log_rmse,velocity_z_m_s_finite_count,velocity_z_m_s_median,velocity_z_m_s_p90,velocity_z_m_s_p95,velocity_z_m_s_mean,velocity_z_m_s_max,velocity_z_m_s_rmse,velocity_z_m_s_equal_log_rmse,body_rate_p_rad_s_finite_count,body_rate_p_rad_s_median,body_rate_p_rad_s_p90,body_rate_p_rad_s_p95,body_rate_p_rad_s_mean,body_rate_p_rad_s_max,body_rate_p_rad_s_rmse,body_rate_p_rad_s_equal_log_rmse,body_rate_q_rad_s_finite_count,body_rate_q_rad_s_median,body_rate_q_rad_s_p90,body_rate_q_rad_s_p95,body_rate_q_rad_s_mean,body_rate_q_rad_s_max,body_rate_q_rad_s_rmse,body_rate_q_rad_s_equal_log_rmse,body_rate_r_rad_s_finite_count,body_rate_r_rad_s_median,body_rate_r_rad_s_p90,body_rate_r_rad_s_p95,body_rate_r_rad_s_mean,body_rate_r_rad_s_max,body_rate_r_rad_s_rmse,body_rate_r_rad_s_equal_log_rmse
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.2,145,145,0,0.0,0.0,145,0.03214971476703898,0.06514395916162292,0.07928596751248738,0.03581575529678759,0.12433231743382293,0.04310516169662851,0.04310516169662851,145,0.05465888977050781,0.0952583312988281,0.10382118225097656,0.055294345987254176,0.1362295150756836,0.06329378332218558,0.06329378332218558,145,0.06882526998973294,0.11309413037714093,0.11968417471713079,0.07120454169203312,0.15618227888328004,0.07657779033197724,0.07657779033197724,145,0.43123294038354126,0.687196229877432,0.7685136521420196,0.4339200733953173,0.8661322801149213,0.47654315243877593,0.47654315243877593,145,2.4380955294396323,4.428091157607308,5.300059944044902,2.7306399882628782,7.441498054123702,3.029679762086398,3.029679762086398,145,0.6220434041120537,1.0861294065529572,1.1595560855804816,0.6635735512733308,1.864945029390552,0.7378474585807133,0.7378474585807133,145,0.13675355911254883,0.3160243988037109,0.3434404373168945,0.15331359731739966,0.42813682556152344,0.18678481705898933,0.18678481705898933,145,0.1796654192258984,0.3489249720306744,0.3979158667702407,0.18291847853194437,0.49908720685780145,0.21756631244725413,0.21756631244725413,145,0.10594367980957031,0.2644102096557617,0.31202754974365227,0.12786955189859045,0.4680330157279968,0.16080701260665373,0.16080701260665373,145,0.12773895263671875,0.2953659057617187,0.3465139389038085,0.14210237475304768,0.4862332344055176,0.1770112760090734,0.1770112760090734,145,0.3392358124256134,0.6582326292991638,0.6809493899345397,0.34621393357178776,0.849774032831192,0.41219108311370534,0.41219108311370534,145,0.31836895644664764,0.7571241319179535,0.8715498149394988,0.39278882657225916,1.4478477984666824,0.4891652138915386,0.4891652138915386,145,0.4493776708841324,0.8416348174214363,0.9213145345449444,0.4365559139577993,1.322204738855362,0.5182314939051653,0.5182314939051653,145,0.11516319215297699,0.30568309426307677,0.38723161220550534,0.14357896883699015,0.6838995814323425,0.19123907649139948,0.19123907649139948
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.5,145,137,8,5.517241379310345,0.0,145,0.11648316859606732,0.21606218567722527,0.26112797586640796,0.13132325421557497,0.44467560014857116,0.15086267443495177,0.15086267443495177,145,0.07335090637207031,0.17991943359374998,0.199650764465332,0.08875508472837251,0.4132728576660156,0.11159785774131258,0.11159785774131258,145,0.15636070626939047,0.27354498934974153,0.31309447972093785,0.16935725495653045,0.47003973777414765,0.18765294665982862,0.18765294665982862,145,0.6319073300082392,1.1163865578356158,1.3114138068017256,0.6809365972234894,2.376861166189624,0.7643479603999076,0.7643479603999076,145,5.724173248206394,10.260317781669302,12.236551539101876,6.297690278003971,19.263246468115014,7.0219035842842725,7.0219035842842725,145,0.6471685496174052,1.145792468062726,1.2956857430749273,0.6932148290419061,1.9563881696527499,0.7653567284856151,0.7653567284856151,145,0.15200257301330566,0.3410727977752685,0.36665382385253903,0.1674745954316238,0.44990110397338867,0.20209223084800587,0.20209223084800587,145,0.22591233506328479,0.5456622453467943,0.65110143380803,0.2744269376397902,0.8524835748627879,0.3382714157015907,0.3382714157015907,145,0.25261449813842773,0.5225220918655394,0.5887934684753416,0.2712262476441161,1.2262239456176758,0.33388687343885537,0.33388687343885537,145,0.27076101303100586,0.5489253401756287,0.5697400093078613,0.28622665816982246,1.5118900388479233,0.3614549789938748,0.3614549789938748,145,0.36326342821121216,0.9503411620855331,1.132831943035125,0.45494247467642457,2.053957462310791,0.5848911509616657,0.5848911509616657,145,0.324763685464859,0.8448947340250009,1.1614736318588255,0.398770985540388,1.6902996897697449,0.5222083784738668,0.5222083784738668,145,0.423808217048645,0.8329487085342406,0.9262427270412434,0.4553517647336462,1.1079490259289742,0.5274382920929575,0.5274382920929575,145,0.10932522267103195,0.2902482807636261,0.3352215662598603,0.14411385593100867,0.7093873098492622,0.18675700609070175,0.18675700609070175
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,1.0,145,134,11,7.586206896551724,0.0,145,0.4068937096968336,0.7408707495908097,0.8532276565017152,0.44161794172912894,1.369938682795715,0.49670167728055553,0.49670167728055553,145,0.19600486755371094,0.5249637603759764,0.631052017211914,0.23860657461758317,1.2765789031982422,0.3180395478008613,0.3180395478008613,145,0.4882364215538212,0.825594946277421,1.0550025749460128,0.5316666191564164,1.5727593632634271,0.5897980249023334,0.5897980249023334,145,1.024454763675273,1.7763357807656155,2.1140150228614574,1.0869246906651087,2.9373635548423866,1.202319819005677,1.202319819005677,145,9.009785019068582,16.148497055525063,20.093818483776033,10.179033511804453,27.90960537815557,11.279368244019071,11.279368244019071,145,0.6821868596894127,1.014751996066417,1.1420126589265078,0.6752780631054807,1.783215151412318,0.737312843334129,0.737312843334129,145,0.16667652130126953,0.3137024402618408,0.3689653396606445,0.16592137238074994,0.5278706550598145,0.20178525098986094,0.20178525098986094,145,0.41798926243189527,0.9812509672330578,1.116038472596301,0.4898576291325859,1.5545290438966717,0.6042026564113954,0.6042026564113954,145,0.4571056365966797,1.0380786687135695,1.5046841621398925,0.5377777651209256,2.0154533982276917,0.6891317673420119,0.6891317673420119,145,0.43338966369628906,1.0155922412872314,1.2576626777648916,0.49763304498688926,2.0703646540641785,0.6265389984067448,0.6265389984067448,145,0.4668226018548012,1.2378929018974303,1.3964274674654007,0.5926311361282293,2.2188650965690613,0.760341527137241,0.760341527137241,145,0.3137073516845703,0.7862056523561477,0.9113637447357178,0.38947921186396534,1.3432793021202087,0.4875765423202813,0.4875765423202813,145,0.4064420126378536,0.7989364124834537,0.8652838960289955,0.4328312049089963,1.1744969580322504,0.5076567829973077,0.5076567829973077,145,0.13233770057559013,0.37019361555576324,0.4363912552595138,0.16830937003251165,0.6989182233810425,0.21950839391987087,0.21950839391987087
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,2.0,145,127,18,12.413793103448276,0.0,145,1.4055370363961224,3.0964740398918638,3.5483009776305603,1.566806578106192,4.502129697667916,1.8156817800743061,1.8156817800743061,145,0.46026039123535156,1.2804447174072264,1.4641927719116197,0.5865832854961527,2.401865005493164,0.7612930206931169,0.7612930206931169,145,1.5507661448278833,3.202358846522078,3.585851546367755,1.7540344517601287,4.93594999485474,1.9688238595287928,1.9688238595287928,145,1.4347791671235985,3.6373908291758075,4.248919845044817,1.8095350397593797,6.414258050120791,2.1560472690134174,2.1560472690134174,145,13.606007267637082,27.864093957469677,36.52216446748303,16.055761406819986,61.45061813700279,18.77670228353489,18.77670228353489,145,0.7017914471741198,1.0147487408630227,1.1805177123610597,0.7059565642125738,1.7881415693960827,0.764365528487089,0.764365528487089,145,0.16557931900024414,0.32820692062377926,0.38674759864807084,0.17058716478018926,0.5012145042419434,0.20689243736956117,0.20689243736956117,145,0.6238868249981451,1.7541225685246629,2.041927696840104,0.805509565349426,2.9970518081026043,1.0129992176292633,1.0129992176292633,145,0.7536149024963379,2.316245555877685,3.7098717212676973,1.0622712945115977,5.896566927433014,1.5124487391249544,1.5124487391249544,145,0.6520776748657227,2.331401085853576,2.703065061569214,0.9786107711750885,5.044754862785339,1.333633000745432,1.333633000745432,145,0.49428144097328186,1.2747947543859481,1.4855491638183587,0.5962063890239545,2.2135193943977356,0.7631917564166203,0.7631917564166203,145,0.35016969963908195,0.7770780511200427,0.9230778377503157,0.40810974840042663,1.778848648071289,0.5056163760336214,0.5056163760336214,145,0.4432389661669731,0.7941606372594833,0.8744767516851423,0.44066259923134127,1.078333456069231,0.5162323284653458,0.5162323284653458,145,0.134854257106781,0.37990780696272836,0.5197855375707146,0.19004577401752487,0.9949865452945232,0.2492206341241068,0.2492206341241068
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,3.0,145,113,32,22.06896551724138,0.0,145,2.9077527042418803,7.078085638617287,8.694520387538864,3.4380796838097027,12.435014910525743,4.18203515075058,4.18203515075058,145,0.6928043365478516,1.690841484069824,2.148849868774414,0.8244549307329901,3.2346858978271484,1.0491145652598894,1.0491145652598894,145,3.065957792159102,7.096025208773775,8.742331973371472,3.637613372451655,12.44760810249535,4.311619112717851,4.311619112717851,145,2.171987060035111,4.82436870619488,6.918675697032247,2.6560443469139514,11.344882198484013,3.3203833730148165,3.3203833730148165,145,16.74706479896226,42.1958361561864,51.00840988536882,22.339435292295164,104.77924450501052,27.32430438486822,27.32430438486822,145,0.7044038605835156,1.0956369661858578,1.2755361377114434,0.7232151765126895,1.7068884818275085,0.782787151619594,0.782787151619594,145,0.1541914939880371,0.33781847953796384,0.39724164009094215,0.17418592222805682,0.48565149307250977,0.2105945302893517,0.2105945302893517,145,0.948655520368753,2.2823391511503424,2.6194451007345956,1.0944762899311054,3.081721682029581,1.3360263503058256,1.3360263503058256,145,1.2044239044189453,3.908762669563292,4.572125816345212,1.7106908226321484,9.4340980052948,2.426245840463972,2.426245840463972,145,1.0781545639038086,3.575702118873596,4.0653759956359865,1.5365651958654154,9.260312557220459,2.1531158088630034,2.1531158088630034,145,0.42687656730413437,1.0885859176516532,1.366591781377792,0.5370379888773735,2.408076137304306,0.7087800639470186,0.7087800639470186,145,0.35784898698329926,0.8465948313474655,1.1492160618305203,0.4241016421113806,1.649184912443161,0.5258946176579734,0.5258946176579734,145,0.45217085629701614,0.784095773845911,0.872444452345371,0.44985388291132605,1.0650192499160767,0.5191060201755332,0.5191060201755332,145,0.16240884363651276,0.42418181300163266,0.4867929518222809,0.19535461297210563,1.0224750097841024,0.2583012111404248,0.2583012111404248
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,5.0,145,107,38,26.20689655172414,0.0,145,7.565155255120653,18.089573439142356,21.305495175290105,9.059228398587718,39.900914971665514,11.343888825825937,11.343888825825937,145,1.0065078735351562,2.5162025451660157,2.874036216735839,1.2270764815396276,4.054746627807617,1.5065595290893807,1.5065595290893807,145,7.690904182858264,18.096169902870958,21.459259251923402,9.265894618495306,39.917444885852355,11.44349314271602,11.44349314271602,145,3.089151766764689,6.679640176111826,9.349931851271835,3.662855780414558,14.060684774930536,4.567028259378023,4.567028259378023,145,25.147650771433756,67.68918930280658,75.83729968448401,32.47230928093802,156.5995946063542,41.77805460356679,41.77805460356679,145,0.7021073596160767,1.0488305545353511,1.2078339990139193,0.7016492371288509,1.6769762496500473,0.7625686462537028,0.7625686462537028,145,0.16105270385742188,0.3375453948974609,0.3964468955993652,0.16953837953764817,0.4562065601348877,0.2047159871176844,0.2047159871176844,145,1.3820104506300055,2.639441847817673,2.9403068272443713,1.4637624396035387,3.131782016380299,1.69075299805793,1.69075299805793,145,1.41168824583292,5.631706953048706,6.594881653785698,2.323456644343919,10.550783634185791,3.1848612637171105,3.1848612637171105,145,1.837111234664917,5.077951478958129,6.343861937522887,2.343581585431921,11.84567403793335,3.2041851365352017,3.2041851365352017,145,0.4616427421569824,1.0090888500213622,1.319810447096823,0.5277228970369645,1.9861947298049927,0.6690317358979285,0.6690317358979285,145,0.3231005147099495,0.7814757049083709,1.0556061774492247,0.38450744747152105,1.4341992139816284,0.4871788107980648,0.4871788107980648,145,0.45582500100135803,0.7969344988465309,0.8907825078815221,0.4585657537850583,1.0850960165262222,0.5295048672285848,0.5295048672285848,145,0.16095201671123505,0.3954828473739326,0.42945641875267027,0.19491583919714622,0.9899561554193497,0.25257145947202186,0.25257145947202186
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,0.2,135,135,0,0.0,0.0,135,0.02711761032542619,0.05181348592540605,0.0632791084950683,0.02881978366286975,0.18001201390679136,0.03601107422277609,0.03601107422277609,135,0.06067466735839844,0.11202383041381839,0.11926136016845702,0.06329709159003363,0.14696311950683594,0.07240685295802615,0.07240685295802615,135,0.0724277829419362,0.11574278471958419,0.12503982039087472,0.07498621970407254,0.18027547273950664,0.08086748309403174,0.08086748309403174,135,0.42983263475828254,0.6674515101031698,0.7319532591512382,0.428986912367286,1.0997735018770711,0.47216807920007925,0.47216807920007925,135,2.244712788085037,4.183873237652227,4.871189935469805,2.466994350288507,7.59747931854552,2.7562923654548275,2.7562923654548275,135,0.6033516135650744,0.9292510366800457,1.0054837836943313,0.6137524968374005,1.3632715878880404,0.6575731357222678,0.6575731357222678,135,0.14685511589050293,0.33502111434936527,0.3844571590423584,0.1641054250575878,0.47237658500671387,0.20098829970768267,0.20098829970768267,135,0.16002945004871094,0.44184355564623845,0.47871234832441373,0.1985571696295847,0.6632551937354236,0.2491972477252035,0.2491972477252035,135,0.10337662696838379,0.24999594688415544,0.32035167352296406,0.1298180612942411,0.5172262191772461,0.1616227562400047,0.1616227562400047,135,0.09854269027709961,0.27126717567443853,0.31343984603881836,0.1266452678375774,0.4792804718017578,0.15993391074456736,0.15993391074456736,135,0.3739583492279053,0.6149108439683915,0.6771831318736075,0.35498375874702576,1.066517174243927,0.41381387588482954,0.41381387588482954,135,0.3467257618904114,0.6972476392984391,0.7535947918891907,0.3576888859970495,1.2634534239768982,0.4351274664573656,0.4351274664573656,135,0.3832894563674927,0.6808530732989312,0.7630806982517242,0.3943470667435408,0.9596223458647728,0.45535518474338554,0.45535518474338554,135,0.11436087638139725,0.27923123091459273,0.36713864430785176,0.14069229283766752,0.688918087631464,0.18899251965442274,0.18899251965442274
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,0.5,135,131,4,2.9629629629629632,0.0,135,0.10705241986850014,0.17639464770587257,0.200948301288229,0.11576049459940702,0.462110401903979,0.12958190092797947,0.12958190092797947,135,0.09910774230957031,0.2128307342529297,0.23038930892944334,0.1098424787874575,0.32761192321777344,0.13155515376146745,0.13155515376146745,135,0.16476195567482974,0.2584318687335566,0.28380725849735766,0.17177967822830428,0.47129052102535013,0.18465705383036962,0.18465705383036962,135,0.5234530873697748,0.8478350334348701,0.9785089762638455,0.5614278207344859,1.4338702465949484,0.608217059623907,0.608217059623907,135,4.655348845240602,8.217073651778945,8.989364823720587,5.1546373616320205,16.644592630531456,5.6230961326389215,5.6230961326389215,135,0.603997987901871,1.0002465880421736,1.1312468612340227,0.6446857077189001,1.533018268265764,0.7010243272484541,0.7010243272484541,135,0.1379544734954834,0.30520782470703123,0.3226252555847168,0.14890397566336172,0.4541759490966797,0.17711507976370458,0.17711507976370458,135,0.1928533420609284,0.5178492599667252,0.6206564650799264,0.24963273522241408,0.8458452126839759,0.314619691489246,0.314619691489246,135,0.22115230560302734,0.45632505416870117,0.5313651561737059,0.24342540527383486,0.6941215991973877,0.28557691457478424,0.28557691457478424,135,0.2327430248260498,0.481995677947998,0.5692625522613526,0.24502699551758944,0.6671571135520935,0.2953226587879685,0.2953226587879685,135,0.29129089042544365,0.7196784779429436,0.9705117553472518,0.359401708410156,1.4328374862670898,0.448506794470165,0.448506794470165,135,0.2926081232726574,0.8434581995010378,0.918115335702896,0.37310167493436625,1.1004243195056915,0.4666557094005798,0.4666557094005798,135,0.3783589228987694,0.7404366783797743,0.7750151854008436,0.41667995865077334,1.527688056230545,0.4827038494326174,0.4827038494326174,135,0.12148762494325638,0.3164243545383215,0.3884487278759479,0.15538200926675927,0.7108959369361401,0.2016545313671931,0.2016545313671931
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,1.0,135,127,8,5.9259259259259265,0.0,135,0.3925681125522945,0.5732492078748515,0.6507927769411959,0.3923722869490177,0.799800795432227,0.42166030717623904,0.42166030717623904,135,0.17770767211914062,0.4115612030029297,0.4624024391174316,0.20212552105938947,0.8263797760009766,0.2552843107338565,0.2552843107338565,135,0.4493450470084104,0.680818506127337,0.7694898212841432,0.4679585843722471,0.8880179679752934,0.4929173297367627,0.4929173297367627,135,0.9547992873680541,1.4193515574724318,1.486981905800151,0.9424353163774499,1.9234869970392368,1.0067382352412126,1.0067382352412126,135,7.704303715797873,12.421245893260192,14.89258553098087,8.300203070243127,30.504258667435423,9.178198686753252,9.178198686753252,135,0.6347905059988742,0.9429274504227537,1.037272068797788,0.6198863429219655,1.354217461402813,0.6734907552117779,0.6734907552117779,135,0.13724064826965332,0.2997197151184083,0.3507850646972656,0.15216632419162326,0.41959261894226074,0.18409486993687144,0.18409486993687144,135,0.35395784906572203,0.8443149266146392,0.9995500366008081,0.4250414866532661,1.4701863497304686,0.524337948854569,0.524337948854569,135,0.4178328514099121,0.8850406706333163,0.9953516006469726,0.464949166490179,1.1972455978393555,0.5580821639000619,0.5580821639000619,135,0.4238009452819824,0.8589024007320405,1.0611742734909058,0.4601752463314268,1.5521677732467651,0.5558444541313853,0.5558444541313853,135,0.4416997581720352,1.06173955462873,1.2509872168302536,0.5091898504230711,1.5090700089931488,0.626979358068986,0.626979358068986,135,0.3196873739361763,0.7182337015867235,0.8406932175159454,0.3416720879678097,1.3482035994529724,0.43808593184832306,0.43808593184832306,135,0.3485766425728798,0.731180401146412,0.8002208955585957,0.40824010071810335,1.3157239258289337,0.4784598408509261,0.4784598408509261,135,0.10509879887104034,0.3046846121549607,0.36970810294151296,0.1353463183721976,0.6163356006145477,0.18096047735686369,0.18096047735686369
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,2.0,135,112,23,17.037037037037038,0.0,135,1.3856874672462756,2.1799638895797258,2.45278171017736,1.4057726017678227,3.0742439037867446,1.5169407988373749,1.5169407988373749,135,0.33167076110839844,0.9157260894775392,1.2278497695922852,0.4441269945215296,2.290254592895508,0.5845764120528819,0.5845764120528819,135,1.488466127951256,2.251786605458089,2.5187071703166235,1.5361432967381645,3.0850609879166258,1.625681078411751,1.625681078411751,135,1.5002500624464221,2.3713868794585333,2.7675627532355875,1.5900331528148808,3.9000577940669037,1.7056188086948039,1.7056188086948039,135,11.845844986831143,22.591473602431492,27.48721999965728,13.574607783658157,40.53502845382749,15.345401544434559,15.345401544434559,135,0.6279353439490128,0.9285387320684046,1.0598831141910128,0.626551472701439,1.5421057798503714,0.6794932661862145,0.6794932661862145,135,0.14966559410095215,0.2878101348876954,0.3433754205703735,0.1554709787721987,0.4268035888671875,0.18550263926890803,0.18550263926890803,135,0.4942224383382481,1.1904407491741567,1.3475690966649794,0.5891962952396429,2.9259454378439926,0.7502356934959354,0.7502356934959354,135,0.7928142547607422,1.5334287643432618,1.834465503692627,0.8686717926265879,3.78135347366333,1.0527386234727165,1.0527386234727165,135,0.7906785011291504,1.9375004291534426,2.3608473032712936,0.9344703471219098,3.0606497526168823,1.1719123513716878,1.1719123513716878,135,0.4770501106977463,1.0101948261260987,1.2795115871354936,0.5317212274849966,1.7395325899124146,0.6538335812152314,0.6538335812152314,135,0.3144661635160446,0.6535843312740327,0.8737286008894443,0.33979788857201737,1.5379964038729668,0.43488929624305456,0.43488929624305456,135,0.37212153896689415,0.7220161430537702,0.7753875069320202,0.4039339988492429,1.3587715774774551,0.47597065780694126,0.47597065780694126,135,0.13372816145420074,0.37118189930915846,0.4766885470598936,0.16502412720626497,0.609484501183033,0.21455612718460906,0.21455612718460906
