group,horizon_s,axis,log_id,n,rmse,abs_error_p95,mean_seed_std,coverage_2std
ALL,0.1,p,2026.9.7/log_21_2026-9-7-05-54-56.ulg,168,0.48104369275729103,0.9659357964992525,0.05597101879596958,0.18452380952380953
ALL,0.1,p,2026.9.7/log_22_2026-9-7-06-01-40.ulg,182,0.5354445191753259,1.09485286772251,0.06099036474142972,0.1978021978021978
ALL,0.1,p,2026.9.7/log_23_2026-9-7-06-09-22.ulg,160,0.44997117636239714,0.7821131311357001,0.062422088764552755,0.1875
ALL,0.1,p,2026.9.7/log_24_2026-9-7-06-16-04.ulg,161,0.48003339746637536,1.101084128022194,0.06151844698023242,0.21739130434782608
ALL,0.1,p,2026.9.7/log_26_2026-9-7-06-30-26.ulg,150,0.46558889730184144,0.879109751433134,0.052393228566222756,0.21333333333333335
ALL,0.1,p,2026.9.7/log_27_2026-9-7-06-37-24.ulg,155,0.48261436437920235,1.165554443001747,0.057400830822906534,0.23870967741935484
ALL,0.1,p,2026.9.7/log_28_2026-9-7-06-44-02.ulg,140,0.48470187264362913,0.9126991473138331,0.05421978493306364,0.17142857142857143
ALL,0.1,p,2026.9.7/log_29_2026-9-7-06-51-04.ulg,201,0.5588684668785071,1.240497350692749,0.05758891302169789,0.19402985074626866
ALL,0.1,p,2026.9.7/log_30_2026-9-7-06-58-22.ulg,164,0.5142093538676007,0.9018910977989433,0.05510792801866284,0.12804878048780488
ALL,0.1,p,9.17数据/log_10_2026-9-17-06-34-34.ulg,130,0.48324459649574353,1.0222720764577389,0.06526971612170247,0.3076923076923077
ALL,0.1,p,9.17数据/log_11_2026-9-17-06-40-30.ulg,145,0.4877769442435327,0.8795682191848753,0.06473842849356348,0.2206896551724138
ALL,0.1,p,9.17数据/log_12_2026-9-17-06-46-02.ulg,144,0.3779138283921716,0.6828939698636531,0.05899325922708049,0.22916666666666666
ALL,0.1,p,9.17数据/log_13_2026-9-17-06-52-30.ulg,153,0.47188202537505514,0.8458906412124635,0.07152187456993958,0.2875816993464052
ALL,0.1,p,9.17数据/log_6_2026-9-17-06-02-24.ulg,138,0.42254969355693434,0.9281584620475769,0.062082219763373386,0.2318840579710145
ALL,0.1,p,9.17数据/log_7_2026-9-17-06-12-16.ulg,131,0.41341201440744485,0.7825471609830856,0.06416226512610786,0.26717557251908397
ALL,0.1,p,9.17数据/log_8_2026-9-17-06-17-52.ulg,146,0.40368033154072036,0.8750824630260468,0.0641349797137218,0.2671232876712329
