group,horizon_s,axis,n_origins,n_flights,rmse,mean_seed_std,coverage_2std,flight_abs_p95_mean
ALL,0.1,p,2582,17,0.4730498760720786,0.06106031788450934,0.22034324459371785,0.9435860382064298
ALL,0.1,q,2582,17,0.21877291592954637,0.047528419207335734,0.3332282464279121,0.3872125833788338
ALL,0.1,r,2582,17,0.13385686523117069,0.020856279115437117,0.2244156100705896,0.2525702619500567
ALL,0.1,vx,2582,17,0.0600924131907081,0.01861088031304723,0.5271329555802268,0.09691447212415581
ALL,0.1,vy,2582,17,0.06270826366537186,0.017976063429719098,0.5310346300733412,0.0915450469974209
ALL,0.1,vz,2582,17,0.10363577385122419,0.030102831276695278,0.4327907016700343,0.1900277402032824
ALL,0.2,p,2582,17,0.4956915506398567,0.05860425750375663,0.20302328864907004,1.0084111858159301
ALL,0.2,q,2582,17,0.21569377805602669,0.049789673536488076,0.34470397073582376,0.40808419789023254
ALL,0.2,r,2582,17,0.14258150953850243,0.023611185644367632,0.25739686395111805,0.2737083086250897
ALL,0.2,vx,2582,17,0.08521022651048567,0.02484871897421845,0.47657584598747926,0.13913417309522624
ALL,0.2,vy,2582,17,0.08809866053251811,0.023617924375602013,0.47575954737450843,0.13274936961448366
ALL,0.2,vz,2582,17,0.13970818635290586,0.039443878364985474,0.4301680311229508,0.2569822160061448
ALL,0.5,p,2582,17,0.5179728578456954,0.06273181540984338,0.20850796837803987,1.074204094653182
ALL,0.5,q,2582,17,0.23750563545704767,0.05837637400706243,0.3532370916024839,0.45443475352264656
ALL,0.5,r,2582,17,0.14873287210276795,0.027336988247807965,0.2902602717095388,0.2903405092766179
ALL,0.5,vx,2582,17,0.18882433020170336,0.04775104480751103,0.40045069277884626,0.3256562643191393
ALL,0.5,vy,2582,17,0.18416798550562719,0.04559267781643671,0.43807154858314307,0.31843941372764445
ALL,0.5,vz,2582,17,0.2195440251833869,0.06316683210791571,0.45171459618273735,0.41151578269679745
ALL,1.0,p,2582,17,0.5114070778205176,0.07417805189864879,0.23768102554145862,1.0685245250954347
ALL,1.0,q,2582,17,0.28598595066889976,0.08766915789881982,0.4342327799462114,0.5547396090677733
ALL,1.0,r,2582,17,0.1630133867672936,0.03351814874409707,0.3179087296040456,0.31565422913169155
ALL,1.0,vx,2582,17,0.375718656174033,0.10550298323823316,0.41599007200789073,0.7443351083818602
ALL,1.0,vy,2582,17,0.39773527598271974,0.11041875004753061,0.4512467473198995,0.7531041469644097
ALL,1.0,vz,2582,17,0.29302260046744155,0.0983572612358855,0.4877476146413521,0.5817740282701218
prefix_supported,0.1,p,2007,17,0.4592883473420562,0.05519728668361987,0.2083874031530264,0.9184106774847295
prefix_supported,0.1,q,2007,17,0.18966679311894447,0.04239491544862927,0.32758238530385464,0.3633985387051806
prefix_supported,0.1,r,2007,17,0.1282000359963055,0.018646245517779745,0.21098660118707122,0.23947528337183238
prefix_supported,0.1,vx,2007,17,0.04395449368283333,0.01660121393205017,0.5141874396072031,0.08551939305137184
prefix_supported,0.1,vy,2007,17,0.0413691415962933,0.01582464092274804,0.5249020464593357,0.08081335364019167
prefix_supported,0.1,vz,2007,17,0.09274076570861911,0.027137804825742465,0.43233897796579895,0.1792408502058071
prefix_supported,0.2,p,1891,17,0.48196546022503406,0.052960880657118556,0.19122401500375694,0.9917692256543563
prefix_supported,0.2,q,1891,17,0.20546781529053063,0.04411707765378489,0.32700747033902294,0.3837956723236643
prefix_supported,0.2,r,1891,17,0.13382971073312466,0.020879335270612902,0.2389126234545569,0.2609785046921495
prefix_supported,0.2,vx,1891,17,0.0644557038880812,0.02190677971561436,0.46478525706302837,0.12340425428222206
prefix_supported,0.2,vy,1891,17,0.061580318604640596,0.020341845431416136,0.46263907862884907,0.12139257087974861
prefix_supported,0.2,vz,1891,17,0.12030849882220702,0.034923320658364995,0.4159357954529615,0.23426795003333073
prefix_supported,0.5,p,1678,17,0.4889940082936976,0.056041202151984645,0.20575972462861206,0.9860839838929034
prefix_supported,0.5,q,1678,17,0.21782641132515493,0.052030833863759125,0.3364033096916581,0.43069921893012875
prefix_supported,0.5,r,1678,17,0.13739286399897535,0.024206606284577065,0.2590711209036972,0.2681407887159901
prefix_supported,0.5,vx,1678,17,0.14752790926536352,0.03973061116027301,0.38438148136914724,0.2788216405931641
prefix_supported,0.5,vy,1678,17,0.13755422982184357,0.038259699095771545,0.43221679953347675,0.2709927992895245
prefix_supported,0.5,vz,1678,17,0.18257688547943488,0.05418097888461604,0.4467159879793913,0.34619744703283206
prefix_supported,1.0,p,1387,17,0.48361210478197675,0.06644704381262109,0.2243183074961013,0.9863841379499608
prefix_supported,1.0,q,1387,17,0.26379690259941746,0.08022832946689674,0.43015126726970004,0.5042755122501948
prefix_supported,1.0,r,1387,17,0.14860955905943674,0.03058577527288447,0.3247976832946194,0.284610115329954
prefix_supported,1.0,vx,1387,17,0.31326712889120206,0.0905246750904137,0.41188135021600203,0.5800475117257411
prefix_supported,1.0,vy,1387,17,0.3225412103718558,0.09690345807647423,0.45538177369348043,0.6478499910629845
prefix_supported,1.0,vz,1387,17,0.24735694226635452,0.08263058059782226,0.47548383542581985,0.48527983928866236
