steps,fold,axis,gain,bounded_gain
5,0,vx,0.056338376878565334,0.056338376878565334
5,0,vy,0.04228308221347924,0.04228308221347924
5,0,vz,0.21469123939224352,0.21469123939224352
5,0,p,-0.059901055523848175,0.0
5,0,q,0.08831059968137228,0.08831059968137228
5,0,r,-0.17252926653464346,0.0
5,1,vx,0.1188304543054201,0.1188304543054201
5,1,vy,0.07447962691719283,0.07447962691719283
5,1,vz,0.1919347101403135,0.1919347101403135
5,1,p,-0.06193060849329634,0.0
5,1,q,0.09524264859610497,0.09524264859610497
5,1,r,-0.17348790667554126,0.0
5,2,vx,0.11208837919944524,0.11208837919944524
5,2,vy,0.062839017869514,0.062839017869514
5,2,vz,0.21053822551856322,0.21053822551856322
5,2,p,-0.06238701338460329,0.0
5,2,q,0.08616600266925273,0.08616600266925273
5,2,r,-0.16672125516022054,0.0
5,3,vx,0.10397753098950814,0.10397753098950814
5,3,vy,0.043316621403658696,0.043316621403658696
5,3,vz,0.21438083101656114,0.21438083101656114
5,3,p,0.0014581250681939338,0.0014581250681939338
5,3,q,0.09647216563712027,0.09647216563712027
5,3,r,-0.16387934053352343,0.0
5,4,vx,0.14280489014684747,0.14280489014684747
5,4,vy,0.07611861536589642,0.07611861536589642
5,4,vz,0.22322054610856978,0.22322054610856978
5,4,p,-0.06385323615841668,0.0
5,4,q,0.09391036240094983,0.09391036240094983
5,4,r,-0.16284806200049834,0.0
5,full_train,vx,0.10585192463038509,0.10585192463038509
5,full_train,vy,0.05886562365529952,0.05886562365529952
5,full_train,vz,0.2108312072233961,0.2108312072233961
5,full_train,p,-0.05189473336247671,0.0
5,full_train,q,0.09199093883014227,0.09199093883014227
5,full_train,r,-0.1678903544622925,0.0
10,0,vx,0.08112652505071262,0.08112652505071262
10,0,vy,0.030892620405845485,0.030892620405845485
10,0,vz,0.10758550255121119,0.10758550255121119
10,0,p,0.06273993794977555,0.06273993794977555
10,0,q,-0.005030813090570689,0.0
10,0,r,-0.01754391391596215,0.0
10,1,vx,0.10467600757119605,0.10467600757119605
10,1,vy,0.05645796433733611,0.05645796433733611
10,1,vz,0.09659355284831518,0.09659355284831518
10,1,p,0.061336116761547474,0.061336116761547474
10,1,q,-0.015507381777068854,0.0
10,1,r,-0.020046802240807588,0.0
10,2,vx,0.10001825316194794,0.10001825316194794
10,2,vy,0.04938136782728812,0.04938136782728812
10,2,vz,0.11109928455643119,0.11109928455643119
10,2,p,0.0640443585733797,0.0640443585733797
10,2,q,-0.012981661973738916,0.0
10,2,r,-0.02100019806848241,0.0
10,3,vx,0.09790706462606194,0.09790706462606194
