steps,fold,axis,gain,bounded_gain
10,3,vy,0.029134525516365407,0.029134525516365407
10,3,vz,0.11067611288309472,0.11067611288309472
10,3,p,-0.017645160525872325,0.0
10,3,q,-0.011937276438033596,0.0
10,3,r,-0.017221693490600307,0.0
10,4,vx,0.12856399518806613,0.12856399518806613
10,4,vy,0.0682574762356434,0.0682574762356434
10,4,vz,0.11382346450040998,0.11382346450040998
10,4,p,0.05990580450241412,0.05990580450241412
10,4,q,-0.0071825950193335165,0.0
10,4,r,-0.015276585315210702,0.0
10,full_train,vx,0.10175176465359655,0.10175176465359655
10,full_train,vy,0.04577142056953666,0.04577142056953666
10,full_train,vz,0.10787855757920427,0.10787855757920427
10,full_train,p,0.049390258587439236,0.049390258587439236
10,full_train,q,-0.010549572280689323,0.0
10,full_train,r,-0.0182317029903948,0.0
25,0,vx,0.06704501496870079,0.06704501496870079
25,0,vy,0.04272545251393176,0.04272545251393176
25,0,vz,0.030108299642416677,0.030108299642416677
25,0,p,0.0020100938553556176,0.0020100938553556176
25,0,q,0.005926280579157651,0.005926280579157651
25,0,r,0.027295823747615897,0.027295823747615897
25,1,vx,0.07598687568715508,0.07598687568715508
25,1,vy,0.056036814128420584,0.056036814128420584
25,1,vz,0.026018860574142134,0.026018860574142134
25,1,p,0.002379221015713521,0.002379221015713521
25,1,q,0.004398658728744522,0.004398658728744522
25,1,r,0.02825733086878819,0.02825733086878819
25,2,vx,0.08347489563048852,0.08347489563048852
25,2,vy,0.06025585758101893,0.06025585758101893
25,2,vz,0.037315898868261886,0.037315898868261886
25,2,p,0.00143057630493715,0.00143057630493715
25,2,q,0.006355288325102828,0.006355288325102828
25,2,r,0.026841908659410208,0.026841908659410208
25,3,vx,0.08415332633914882,0.08415332633914882
25,3,vy,0.04867226684375283,0.04867226684375283
25,3,vz,0.034579930512059764,0.034579930512059764
25,3,p,0.010887772466418722,0.010887772466418722
25,3,q,0.004588668710967373,0.004588668710967373
25,3,r,0.028886760191859356,0.028886760191859356
25,4,vx,0.0952793648521786,0.0952793648521786
25,4,vy,0.0648848264092727,0.0648848264092727
25,4,vz,0.028454602984707988,0.028454602984707988
25,4,p,0.0038676344402239177,0.0038676344402239177
25,4,q,0.004934512279302565,0.004934512279302565
25,4,r,0.02743132339560097,0.02743132339560097
25,full_train,vx,0.08081150502099986,0.08081150502099986
25,full_train,vy,0.05402544930028837,0.05402544930028837
25,full_train,vz,0.03131785665166117,0.03131785665166117
25,full_train,p,0.0037648501037506553,0.0037648501037506553
25,full_train,q,0.0052481223808526585,0.0052481223808526585
25,full_train,r,0.027741106791302386,0.027741106791302386
50,0,vx,0.04976639301413411,0.04976639301413411
50,0,vy,0.04965260926770013,0.04965260926770013
50,0,vz,0.019757634195672776,0.019757634195672776
50,0,p,-0.0056277116021812125,0.0
50,0,q,-0.0004549526917245563,0.0
50,0,r,0.004609074825983949,0.004609074825983949
50,1,vx,0.05394775688803085,0.05394775688803085
50,1,vy,0.059156959602417236,0.059156959602417236
50,1,vz,0.017219412293985794,0.017219412293985794
50,1,p,-0.0048719932079586675,0.0
50,1,q,-0.00010621788295243418,0.0
50,1,r,0.005025941763769772,0.005025941763769772
50,2,vx,0.062414574216144575,0.062414574216144575
50,2,vy,0.06084775812695642,0.06084775812695642
50,2,vz,0.025973086884195997,0.025973086884195997
50,2,p,-0.0054818030417172784,0.0
50,2,q,7.774395024634474e-06,7.774395024634474e-06
50,2,r,0.005140846984950352,0.005140846984950352
50,3,vx,0.06480145498089866,0.06480145498089866
50,3,vy,0.05835886457789371,0.05835886457789371
50,3,vz,0.02587640875217508,0.02587640875217508
50,3,p,0.001108530170437162,0.001108530170437162
50,3,q,-0.0009098481521715486,0.0
50,3,r,0.006079268926596341,0.006079268926596341
50,4,vx,0.06299634224081642,0.06299634224081642
50,4,vy,0.06162349812563813,0.06162349812563813
50,4,vz,0.018606361031537285,0.018606361031537285
50,4,p,-0.005024427172740589,0.0
50,4,q,-0.0025098924598789193,0.0
50,4,r,0.005575284773033195,0.005575284773033195
50,full_train,vx,0.05867370861427994,0.05867370861427994
50,full_train,vy,0.057714363014699364,0.057714363014699364
50,full_train,vz,0.02149836880561482,0.02149836880561482
50,full_train,p,-0.0042395445944153655,0.0
50,full_train,q,-0.0007836801071995417,0.0
50,full_train,r,0.005285820467673792,0.005285820467673792
