partition,steps,log_id,group,variant,axis,rmse,n
train_correction_oof,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,ALL,zero_baseline,vx,0.06673686460476488,895
train_correction_oof,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,ALL,zero_baseline,vy,0.08349818729137068,895
train_correction_oof,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,ALL,zero_baseline,vz,0.10023408109731075,895
train_correction_oof,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,ALL,zero_baseline,p,0.4156707437761723,895
train_correction_oof,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,ALL,zero_baseline,q,0.2046657955404464,895
train_correction_oof,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,ALL,zero_baseline,r,0.13016508079046624,895
train_correction_oof,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,ALL,persistent_gain_clipped_0_1,vx,0.06580633052545434,895
train_correction_oof,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,ALL,persistent_gain_clipped_0_1,vy,0.08285656684667703,895
train_correction_oof,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,ALL,persistent_gain_clipped_0_1,vz,0.09486014111936894,895
train_correction_oof,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,ALL,persistent_gain_clipped_0_1,p,0.4156707437761723,895
train_correction_oof,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,ALL,persistent_gain_clipped_0_1,q,0.2047035454455343,895
train_correction_oof,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,ALL,persistent_gain_clipped_0_1,r,0.13016508079046624,895
train_correction_oof,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,ALL,signed_diagnostic,vx,0.06580633052545434,895
train_correction_oof,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,ALL,signed_diagnostic,vy,0.08285656684667703,895
