partition,steps,log_id,group,axis,coverage,n
train,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,ALL,vx,0.9910614525139665,895
train,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,ALL,vy,0.9888268156424581,895
train,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,ALL,vz,0.9921787709497206,895
train,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,ALL,p,0.9743016759776536,895
train,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,ALL,q,0.9854748603351955,895
train,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,ALL,r,0.994413407821229,895
train,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,high_change,vx,0.98,200
train,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,high_change,vy,0.96,200
train,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,high_change,vz,0.97,200
train,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,high_change,p,0.96,200
train,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,high_change,q,0.965,200
train,5,2026.9.6/log_17_2026-9-6-18-34-06.ulg,high_change,r,0.98,200
train,5,2026.9.6/log_18_2026-9-6-18-46-20.ulg,ALL,vx,0.9942446043165467,695
train,5,2026.9.6/log_18_2026-9-6-18-46-20.ulg,ALL,vy,0.9884892086330935,695
train,5,2026.9.6/log_18_2026-9-6-18-46-20.ulg,ALL,vz,0.9971223021582734,695
train,5,2026.9.6/log_18_2026-9-6-18-46-20.ulg,ALL,p,0.9496402877697842,695
train,5,2026.9.6/log_18_2026-9-6-18-46-20.ulg,ALL,q,0.9928057553956835,695
train,5,2026.9.6/log_18_2026-9-6-18-46-20.ulg,ALL,r,0.9884892086330935,695
train,5,2026.9.6/log_18_2026-9-6-18-46-20.ulg,high_change,vx,0.9903381642512077,207
train,5,2026.9.6/log_18_2026-9-6-18-46-20.ulg,high_change,vy,0.9710144927536232,207
train,5,2026.9.6/log_18_2026-9-6-18-46-20.ulg,high_change,vz,0.9903381642512077,207
train,5,2026.9.6/log_18_2026-9-6-18-46-20.ulg,high_change,p,0.9468599033816425,207
train,5,2026.9.6/log_18_2026-9-6-18-46-20.ulg,high_change,q,0.9951690821256038,207
train,5,2026.9.6/log_18_2026-9-6-18-46-20.ulg,high_change,r,0.9806763285024155,207
train,5,2026.9.6/log_19_2026-9-6-18-52-30.ulg,ALL,vx,0.9832041343669251,774
train,5,2026.9.6/log_19_2026-9-6-18-52-30.ulg,ALL,vy,0.9909560723514211,774
train,5,2026.9.6/log_19_2026-9-6-18-52-30.ulg,ALL,vz,0.9961240310077519,774
train,5,2026.9.6/log_19_2026-9-6-18-52-30.ulg,ALL,p,0.958656330749354,774
train,5,2026.9.6/log_19_2026-9-6-18-52-30.ulg,ALL,q,0.9909560723514211,774
train,5,2026.9.6/log_19_2026-9-6-18-52-30.ulg,ALL,r,0.9844961240310077,774
train,5,2026.9.6/log_19_2026-9-6-18-52-30.ulg,high_change,vx,0.9393939393939394,165
train,5,2026.9.6/log_19_2026-9-6-18-52-30.ulg,high_change,vy,0.9696969696969697,165
train,5,2026.9.6/log_19_2026-9-6-18-52-30.ulg,high_change,vz,0.9878787878787879,165
train,5,2026.9.6/log_19_2026-9-6-18-52-30.ulg,high_change,p,0.9575757575757575,165
train,5,2026.9.6/log_19_2026-9-6-18-52-30.ulg,high_change,q,0.9696969696969697,165
train,5,2026.9.6/log_19_2026-9-6-18-52-30.ulg,high_change,r,0.9818181818181818,165
train,5,2026.9.6/log_20_2026-9-6-18-58-10.ulg,ALL,vx,0.9863945578231292,588
train,5,2026.9.6/log_20_2026-9-6-18-58-10.ulg,ALL,vy,0.9914965986394558,588
train,5,2026.9.6/log_20_2026-9-6-18-58-10.ulg,ALL,vz,0.9931972789115646,588
train,5,2026.9.6/log_20_2026-9-6-18-58-10.ulg,ALL,p,0.95578231292517,588
train,5,2026.9.6/log_20_2026-9-6-18-58-10.ulg,ALL,q,0.9863945578231292,588
train,5,2026.9.6/log_20_2026-9-6-18-58-10.ulg,ALL,r,0.9863945578231292,588
train,5,2026.9.6/log_20_2026-9-6-18-58-10.ulg,high_change,vx,0.9539473684210527,152
train,5,2026.9.6/log_20_2026-9-6-18-58-10.ulg,high_change,vy,0.9802631578947368,152
train,5,2026.9.6/log_20_2026-9-6-18-58-10.ulg,high_change,vz,0.9868421052631579,152
train,5,2026.9.6/log_20_2026-9-6-18-58-10.ulg,high_change,p,0.9671052631578947,152
train,5,2026.9.6/log_20_2026-9-6-18-58-10.ulg,high_change,q,0.9539473684210527,152
