partition,steps,group,variant,axis,rmse
train_correction_oof,10,ALL,persistent_gain_clipped_0_1,vz,0.1526093097726011
train_correction_oof,10,ALL,signed_diagnostic,p,0.4000073943759371
train_correction_oof,10,ALL,signed_diagnostic,q,0.20823680462768726
train_correction_oof,10,ALL,signed_diagnostic,r,0.13348971726827144
train_correction_oof,10,ALL,signed_diagnostic,vx,0.08274120491127272
train_correction_oof,10,ALL,signed_diagnostic,vy,0.09199671863705527
train_correction_oof,10,ALL,signed_diagnostic,vz,0.1526093097726011
train_correction_oof,10,ALL,zero_baseline,p,0.39589601194048607
train_correction_oof,10,ALL,zero_baseline,q,0.2082355506262799
train_correction_oof,10,ALL,zero_baseline,r,0.13354433088384415
train_correction_oof,10,ALL,zero_baseline,vx,0.08364159553402778
train_correction_oof,10,ALL,zero_baseline,vy,0.09220594526259547
train_correction_oof,10,ALL,zero_baseline,vz,0.1547307808076948
train_correction_oof,10,high_change,persistent_gain_clipped_0_1,p,0.478266269328308
train_correction_oof,10,high_change,persistent_gain_clipped_0_1,q,0.24758576076380578
train_correction_oof,10,high_change,persistent_gain_clipped_0_1,r,0.15577059495267512
train_correction_oof,10,high_change,persistent_gain_clipped_0_1,vx,0.11646865311650297
train_correction_oof,10,high_change,persistent_gain_clipped_0_1,vy,0.138514288146947
train_correction_oof,10,high_change,persistent_gain_clipped_0_1,vz,0.19773823416611044
train_correction_oof,10,high_change,signed_diagnostic,p,0.48007076004030086
train_correction_oof,10,high_change,signed_diagnostic,q,0.24758068982980436
train_correction_oof,10,high_change,signed_diagnostic,r,0.15575344285713452
train_correction_oof,10,high_change,signed_diagnostic,vx,0.11646865311650297
train_correction_oof,10,high_change,signed_diagnostic,vy,0.138514288146947
train_correction_oof,10,high_change,signed_diagnostic,vz,0.19773823416611044
train_correction_oof,10,high_change,zero_baseline,p,0.47580339833090024
train_correction_oof,10,high_change,zero_baseline,q,0.24758576076380578
train_correction_oof,10,high_change,zero_baseline,r,0.15577059495267512
train_correction_oof,10,high_change,zero_baseline,vx,0.11773791295292954
train_correction_oof,10,high_change,zero_baseline,vy,0.13827052827778052
train_correction_oof,10,high_change,zero_baseline,vz,0.19635850047560335
train_correction_oof,25,ALL,persistent_gain_clipped_0_1,p,0.40679469432703935
train_correction_oof,25,ALL,persistent_gain_clipped_0_1,q,0.22483598414197553
train_correction_oof,25,ALL,persistent_gain_clipped_0_1,r,0.15215320365135096
train_correction_oof,25,ALL,persistent_gain_clipped_0_1,vx,0.15997470664153965
train_correction_oof,25,ALL,persistent_gain_clipped_0_1,vy,0.16786905308253314
train_correction_oof,25,ALL,persistent_gain_clipped_0_1,vz,0.22259293421627543
train_correction_oof,25,ALL,signed_diagnostic,p,0.40679469432703935
train_correction_oof,25,ALL,signed_diagnostic,q,0.22483598414197553
train_correction_oof,25,ALL,signed_diagnostic,r,0.15215320365135096
train_correction_oof,25,ALL,signed_diagnostic,vx,0.15997470664153965
train_correction_oof,25,ALL,signed_diagnostic,vy,0.16786905308253314
train_correction_oof,25,ALL,signed_diagnostic,vz,0.22259293421627543
train_correction_oof,25,ALL,zero_baseline,p,0.4066591536317035
train_correction_oof,25,ALL,zero_baseline,q,0.2248667984263932
train_correction_oof,25,ALL,zero_baseline,r,0.15307577633897054
train_correction_oof,25,ALL,zero_baseline,vx,0.16150181209011238
train_correction_oof,25,ALL,zero_baseline,vy,0.16869662604068297
train_correction_oof,25,ALL,zero_baseline,vz,0.22312257382696418
train_correction_oof,25,high_change,persistent_gain_clipped_0_1,p,0.46682762039233605
train_correction_oof,25,high_change,persistent_gain_clipped_0_1,q,0.2706671119695831
train_correction_oof,25,high_change,persistent_gain_clipped_0_1,r,0.17896060224083218
train_correction_oof,25,high_change,persistent_gain_clipped_0_1,vx,0.20123892954649877
train_correction_oof,25,high_change,persistent_gain_clipped_0_1,vy,0.2184982149178582
train_correction_oof,25,high_change,persistent_gain_clipped_0_1,vz,0.2632956862029544
train_correction_oof,25,high_change,signed_diagnostic,p,0.46682762039233605
train_correction_oof,25,high_change,signed_diagnostic,q,0.2706671119695831
train_correction_oof,25,high_change,signed_diagnostic,r,0.17896060224083218
train_correction_oof,25,high_change,signed_diagnostic,vx,0.20123892954649877
train_correction_oof,25,high_change,signed_diagnostic,vy,0.2184982149178582
train_correction_oof,25,high_change,signed_diagnostic,vz,0.2632956862029544
train_correction_oof,25,high_change,zero_baseline,p,0.46627128813871366
train_correction_oof,25,high_change,zero_baseline,q,0.2706794095201039
train_correction_oof,25,high_change,zero_baseline,r,0.17926920731259452
train_correction_oof,25,high_change,zero_baseline,vx,0.20043283473760162
train_correction_oof,25,high_change,zero_baseline,vy,0.2168096394060652
train_correction_oof,25,high_change,zero_baseline,vz,0.2623798989565816
train_correction_oof,50,ALL,persistent_gain_clipped_0_1,p,0.42462824900508983
train_correction_oof,50,ALL,persistent_gain_clipped_0_1,q,0.25888827852370927
train_correction_oof,50,ALL,persistent_gain_clipped_0_1,r,0.16693137647945772
train_correction_oof,50,ALL,persistent_gain_clipped_0_1,vx,0.3200804550950398
train_correction_oof,50,ALL,persistent_gain_clipped_0_1,vy,0.3593238296920807
train_correction_oof,50,ALL,persistent_gain_clipped_0_1,vz,0.3034493210724635
train_correction_oof,50,ALL,signed_diagnostic,p,0.4251612010193071
train_correction_oof,50,ALL,signed_diagnostic,q,0.25893343444356076
train_correction_oof,50,ALL,signed_diagnostic,r,0.16693137647945772
train_correction_oof,50,ALL,signed_diagnostic,vx,0.3200804550950398
train_correction_oof,50,ALL,signed_diagnostic,vy,0.3593238296920807
train_correction_oof,50,ALL,signed_diagnostic,vz,0.3034493210724635
train_correction_oof,50,ALL,zero_baseline,p,0.424544405772872
train_correction_oof,50,ALL,zero_baseline,q,0.2588881775210595
train_correction_oof,50,ALL,zero_baseline,r,0.16704051643890508
train_correction_oof,50,ALL,zero_baseline,vx,0.32170002048229723
train_correction_oof,50,ALL,zero_baseline,vy,0.36124631270204743
train_correction_oof,50,ALL,zero_baseline,vz,0.3041398246521875
train_correction_oof,50,high_change,persistent_gain_clipped_0_1,p,0.48274947202605084
train_correction_oof,50,high_change,persistent_gain_clipped_0_1,q,0.29246700454446106
train_correction_oof,50,high_change,persistent_gain_clipped_0_1,r,0.1872240131061982
train_correction_oof,50,high_change,persistent_gain_clipped_0_1,vx,0.383035262090471
train_correction_oof,50,high_change,persistent_gain_clipped_0_1,vy,0.45540619231967516
train_correction_oof,50,high_change,persistent_gain_clipped_0_1,vz,0.34930642478385837
train_correction_oof,50,high_change,signed_diagnostic,p,0.4835194134372965
train_correction_oof,50,high_change,signed_diagnostic,q,0.2925389736735078
train_correction_oof,50,high_change,signed_diagnostic,r,0.1872240131061982
train_correction_oof,50,high_change,signed_diagnostic,vx,0.383035262090471
train_correction_oof,50,high_change,signed_diagnostic,vy,0.45540619231967516
train_correction_oof,50,high_change,signed_diagnostic,vz,0.34930642478385837
train_correction_oof,50,high_change,zero_baseline,p,0.4824627206769588
train_correction_oof,50,high_change,zero_baseline,q,0.29246682094851845
train_correction_oof,50,high_change,zero_baseline,r,0.187473249194532
train_correction_oof,50,high_change,zero_baseline,vx,0.38259694409450884
train_correction_oof,50,high_change,zero_baseline,vy,0.45493003920198294
train_correction_oof,50,high_change,zero_baseline,vz,0.34847442826086916
validation,5,ALL,persistent_gain_clipped_0_1,p,0.4730498760720786
validation,5,ALL,persistent_gain_clipped_0_1,q,0.21923266099269045
validation,5,ALL,persistent_gain_clipped_0_1,r,0.13385686523117066
validation,5,ALL,persistent_gain_clipped_0_1,vx,0.05884179174770285
validation,5,ALL,persistent_gain_clipped_0_1,vy,0.062121591066207654
validation,5,ALL,persistent_gain_clipped_0_1,vz,0.10388123844055926
validation,5,ALL,signed_diagnostic,p,0.475228047449142
validation,5,ALL,signed_diagnostic,q,0.21923266099269045
validation,5,ALL,signed_diagnostic,r,0.1291478438718676
validation,5,ALL,signed_diagnostic,vx,0.05884179174770285
validation,5,ALL,signed_diagnostic,vy,0.062121591066207654
validation,5,ALL,signed_diagnostic,vz,0.10388123844055926
validation,5,ALL,zero_baseline,p,0.4730498760720786
validation,5,ALL,zero_baseline,q,0.2187729159295463
validation,5,ALL,zero_baseline,r,0.13385686523117066
validation,5,ALL,zero_baseline,vx,0.0600924131907081
validation,5,ALL,zero_baseline,vy,0.06270826366537186
validation,5,ALL,zero_baseline,vz,0.10363577385122417
validation,5,high_change,persistent_gain_clipped_0_1,p,0.50797332318835
validation,5,high_change,persistent_gain_clipped_0_1,q,0.2939840433857342
validation,5,high_change,persistent_gain_clipped_0_1,r,0.15094507457545486
validation,5,high_change,persistent_gain_clipped_0_1,vx,0.08654860084427203
validation,5,high_change,persistent_gain_clipped_0_1,vy,0.10228331197945237
validation,5,high_change,persistent_gain_clipped_0_1,vz,0.12995117397842598
validation,5,high_change,signed_diagnostic,p,0.5112800404648391
validation,5,high_change,signed_diagnostic,q,0.2939840433857342
validation,5,high_change,signed_diagnostic,r,0.14775313960041966
validation,5,high_change,signed_diagnostic,vx,0.08654860084427203
validation,5,high_change,signed_diagnostic,vy,0.10228331197945237
validation,5,high_change,signed_diagnostic,vz,0.12995117397842598
validation,5,high_change,zero_baseline,p,0.50797332318835
validation,5,high_change,zero_baseline,q,0.29404567679898946
validation,5,high_change,zero_baseline,r,0.15094507457545486
validation,5,high_change,zero_baseline,vx,0.08999188318855858
validation,5,high_change,zero_baseline,vy,0.10379825409848575
validation,5,high_change,zero_baseline,vz,0.12874035264134573
validation,10,ALL,persistent_gain_clipped_0_1,p,0.5032627588590594
validation,10,ALL,persistent_gain_clipped_0_1,q,0.21569377805602666
validation,10,ALL,persistent_gain_clipped_0_1,r,0.1425815095385024
validation,10,ALL,persistent_gain_clipped_0_1,vx,0.08301154221754517
validation,10,ALL,persistent_gain_clipped_0_1,vy,0.08673624150987827
validation,10,ALL,persistent_gain_clipped_0_1,vz,0.14043383648772464
validation,10,ALL,signed_diagnostic,p,0.5032627588590594
validation,10,ALL,signed_diagnostic,q,0.21569320850372795
validation,10,ALL,signed_diagnostic,r,0.14184526715281937
validation,10,ALL,signed_diagnostic,vx,0.08301154221754517
validation,10,ALL,signed_diagnostic,vy,0.08673624150987827
validation,10,ALL,signed_diagnostic,vz,0.14043383648772464
validation,10,ALL,zero_baseline,p,0.4956915506398567
validation,10,ALL,zero_baseline,q,0.21569377805602666
validation,10,ALL,zero_baseline,r,0.1425815095385024
validation,10,ALL,zero_baseline,vx,0.08521022651048567
validation,10,ALL,zero_baseline,vy,0.08809866053251811
validation,10,ALL,zero_baseline,vz,0.13970818635290586
validation,10,high_change,persistent_gain_clipped_0_1,p,0.5000264775853223
validation,10,high_change,persistent_gain_clipped_0_1,q,0.24496964857330733
validation,10,high_change,persistent_gain_clipped_0_1,r,0.1746727286062816
validation,10,high_change,persistent_gain_clipped_0_1,vx,0.11729659325799952
