partition,log_id,phase_method,hall_event_count,candidate_cycle_count,valid_cycle_count,invalid_cycle_count,maximum_cycle_count_relative_error_observed,p95_cycle_count_relative_error,phase_valid_row_count,clipped_phase_row_count,source_log_path,source_log_sha256,logged_ratio,true_ratio,frequency_scale,row_count,frequency_finite_row_count,frequency_min_hz,frequency_max_hz,recovered_hall_zero_count,median_reset_publication_delay_ms,p95_reset_publication_delay_ms
train,log_27_2026-4-16-10-17-56,hall_event_encoder_count_interpolation,548,547,547,0,0.002509563610038512,0.0008658219882605065,12606,3,/home/zn/QgcLogs/2026.4.16/1/log_27_2026-4-16-10-17-56.ulg,4daf2d7389a4bd030c987a6e470494f94b0a5313702dc738c1a5405f768fd8ce,7.5,8.0,0.9375,12606,12606,2.626718580722809,5.108601450920105,,,
train,log_30_2026-4-16-10-36-20,hall_event_encoder_count_interpolation,621,620,620,0,0.003827608804499505,0.0007988354596633938,14779,4,/home/zn/QgcLogs/2026.4.16/1/log_30_2026-4-16-10-36-20.ulg,4a8220d34f5a4c8ff9db7b0f394885b666307686a85b3decc89ba189e0c9b82f,7.5,8.0,0.9375,14779,14779,2.342948243021965,5.2345941960811615,,,
train,log_31_2026-4-16-18-41-26,hall_event_encoder_count_interpolation,619,618,618,0,0.0018039601000623406,0.0007798320715821204,14359,1,/home/zn/QgcLogs/2026.4.16/2/log_31_2026-4-16-18-41-26.ulg,edbef34bca4b5ea404af919d69373029d34e132212280e1f25efe5c436ec9658,7.5,8.0,0.9375,14359,14359,2.61900432407856,4.592220783233643,,,
train,log_32_2026-4-16-18-53-24,hall_event_encoder_count_interpolation,599,598,598,0,0.002996527921536707,0.0008495075401654617,12855,5,/home/zn/QgcLogs/2026.4.16/2/log_32_2026-4-16-18-53-24.ulg,eca25bea5a6ffd6b217516d329e889860bafdc46f680097833762105a4cd742e,7.5,8.0,0.9375,12855,12855,3.3930958807468414,4.789683222770691,,,
train,log_38_2026-4-16-19-37-00,hall_event_encoder_count_interpolation,574,573,570,3,0.12577298085115984,0.0007280450925691184,12758,0,/home/zn/QgcLogs/2026.4.16/2/log_38_2026-4-16-19-37-00.ulg,6f95004d0c2b35c5c2e1563e14728c1560389a0ebe58ca651fa7360d1d20d4b9,7.5,8.0,0.9375,12758,12758,2.8949785977602005,4.838292896747589,,,
train,log_3_2026-4-14-12-19-22,hall_event_encoder_count_interpolation,778,777,776,1,0.5492802478223666,0.0007367673289650154,17991,5,/home/zn/QgcLogs/2026.4.14/3Algorithms-weakwing/log_3_2026-4-14-12-19-22.ulg,55a726508cbc3b24a1e08d77ca2f683d7faa6b6dcc558bb0f13a47eb1a5ac66e,7.5,8.0,0.9375,17991,17991,2.815892994403839,4.928853660821915,,,
train,log_5_2026-4-15-10-30-38,hall_event_encoder_count_interpolation,600,599,599,0,0.0011068606487616428,0.000546074269050223,14212,1,/home/zn/QgcLogs/2026.4.15/log_5_2026-4-15-10-30-38.ulg,5cbcd64e7b9bbe00520fe61a237116810acf3f784742a54df7da4c38bf20681b,7.5,8.0,0.9375,14212,14212,2.8161752969026566,4.7067707777023315,,,
train,log_6_2026-4-15-10-48-46,hall_event_encoder_count_interpolation,574,573,573,0,0.0029404418945304656,0.0007836020178157092,13086,0,/home/zn/QgcLogs/2026.4.15/log_6_2026-4-15-10-48-46.ulg,dee4d61f05f2253ccf18d99851ff74d0e299389dded699af0b4c4f10fc78c25d,7.5,8.0,0.9375,13086,13086,2.7390436828136444,4.821740984916687,,,
train,log_8_2026-4-15-11-23-44,hall_event_encoder_count_interpolation,624,623,623,0,0.0026636625137292924,0.000603168889989547,14456,0,/home/zn/QgcLogs/2026.4.15/log_8_2026-4-15-11-23-44.ulg,f7463c20427b43d89647c158d2a295a77b4dc63e420e3bd876677fa0d5d19e06,7.5,8.0,0.9375,14456,14456,2.7922964841127396,5.009603798389435,,,
validation,log_13_2026-4-15-12-04-42,hall_event_encoder_count_interpolation,675,674,674,0,0.00927641168482296,0.0007901948927482752,14796,2,/home/zn/QgcLogs/2026.4.15/log_13_2026-4-15-12-04-42.ulg,fad35a6a5d61eaaa5f66945a1fb474f151997eacb594edad4d790e408ffe4715,7.5,8.0,0.9375,14796,14796,2.8799761086702347,5.008735209703445,,,
validation,log_19_2026-4-15-13-02-32,hall_event_encoder_count_interpolation,723,722,721,1,0.3709963317870688,0.0006822631001313082,16484,1,/home/zn/QgcLogs/2026.4.15/log_19_2026-4-15-13-02-32.ulg,68dde6192a892354a77390d7dcd48106aa2063f4aaa371f5c2937080b4c7346e,7.5,8.0,0.9375,16484,16484,2.968890890479088,5.044935196638107,,,
validation,log_36_2026-4-16-19-24-20,hall_event_encoder_count_interpolation,594,593,592,1,0.022603137609962687,0.0008740338110328593,13545,4,/home/zn/QgcLogs/2026.4.16/2/log_36_2026-4-16-19-24-20.ulg,1701166ec3d18944b95901eedf43d3728cb3415dc1d77da063b02c620112f2ce,7.5,8.0,0.9375,13545,13545,2.8751423209905624,4.91574302315712,,,
validation,log_3_2026-4-14-10-52-38,hall_event_encoder_count_interpolation,693,692,692,0,0.002408419200719436,0.0009276196700341188,17187,5,/home/zn/QgcLogs/2026.4.14/3Algorithms/log_3_2026-4-14-10-52-38.ulg,a8e78e13df7b3c1ca15c972404cd81c621659e81adc32b282788b189d2d2dcd1,7.5,8.0,0.9375,17187,17187,0.589856319129467,4.55253079533577,,,
validation,log_5_2026-4-12-17-51-44,logged_hall_zero_count_encoder_inversion_fallback,0,735,735,0,0.00250244140625,0.000640869140625,17575,7,/home/zn/QgcLogs/2026.4.12/log_5_2026-4-12-17-51-44.ulg,e3da6c55bd6777f9792cbc6d7046a6dd68e20fc34804ab1579b6decd5aca1fe2,7.5,8.0,0.9375,17575,17575,1.5992950648069382,4.906166642904282,736.0,4.782355010226369,9.384384642109275
