model,offset,steps,requested,paired_complete,beneficial_and_complete
ensemble,-0.2,5,51,22,2
ensemble,-0.2,10,51,22,2
ensemble,-0.2,25,51,22,1
ensemble,-0.2,50,51,21,9
ensemble,0.0,5,51,22,5
ensemble,0.0,10,51,22,4
ensemble,0.0,25,51,22,2
ensemble,0.0,50,51,21,10
ensemble,0.2,5,51,22,8
ensemble,0.2,10,51,22,5
ensemble,0.2,25,51,22,2
ensemble,0.2,50,51,21,12
seed17,-0.2,5,51,22,2
seed17,-0.2,10,51,22,2
seed17,-0.2,25,51,22,1
seed17,-0.2,50,51,21,10
seed17,0.0,5,51,22,5
seed17,0.0,10,51,22,4
seed17,0.0,25,51,22,2
seed17,0.0,50,51,21,10
seed17,0.2,5,51,22,7
seed17,0.2,10,51,22,4
seed17,0.2,25,51,22,2
seed17,0.2,50,51,21,12
seed23,-0.2,5,51,22,3
seed23,-0.2,10,51,22,2
seed23,-0.2,25,51,22,5
seed23,-0.2,50,51,21,16
seed23,0.0,5,51,22,5
seed23,0.0,10,51,22,4
seed23,0.0,25,51,22,4
seed23,0.0,50,51,21,15
seed23,0.2,5,51,22,8
seed23,0.2,10,51,22,5
seed23,0.2,25,51,22,5
seed23,0.2,50,51,21,12
seed42,-0.2,5,51,22,2
seed42,-0.2,10,51,22,2
seed42,-0.2,25,51,22,3
seed42,-0.2,50,51,21,8
seed42,0.0,5,51,22,5
seed42,0.0,10,51,22,3
seed42,0.0,25,51,22,4
seed42,0.0,50,51,21,9
seed42,0.2,5,51,22,7
seed42,0.2,10,51,22,5
seed42,0.2,25,51,22,4
seed42,0.2,50,51,21,12
