source_model,model,offset,steps,requested,four_complete,source_benefit_destination_harm
ensemble,seed17,-0.2,5,51,22,0
ensemble,seed17,-0.2,10,51,22,0
ensemble,seed17,-0.2,25,51,22,0
ensemble,seed17,-0.2,50,51,21,1
ensemble,seed17,0.0,5,51,22,0
ensemble,seed17,0.0,10,51,22,0
ensemble,seed17,0.0,25,51,22,0
ensemble,seed17,0.0,50,51,21,0
ensemble,seed17,0.2,5,51,22,1
ensemble,seed17,0.2,10,51,22,1
ensemble,seed17,0.2,25,51,22,0
ensemble,seed17,0.2,50,51,21,0
ensemble,seed23,-0.2,5,51,22,0
ensemble,seed23,-0.2,10,51,22,0
ensemble,seed23,-0.2,25,51,22,0
ensemble,seed23,-0.2,50,51,21,0
ensemble,seed23,0.0,5,51,22,0
ensemble,seed23,0.0,10,51,22,0
ensemble,seed23,0.0,25,51,22,0
ensemble,seed23,0.0,50,51,21,0
ensemble,seed23,0.2,5,51,22,0
ensemble,seed23,0.2,10,51,22,0
ensemble,seed23,0.2,25,51,22,0
ensemble,seed23,0.2,50,51,21,2
ensemble,seed42,-0.2,5,51,22,0
ensemble,seed42,-0.2,10,51,22,0
ensemble,seed42,-0.2,25,51,22,0
ensemble,seed42,-0.2,50,51,21,3
ensemble,seed42,0.0,5,51,22,0
ensemble,seed42,0.0,10,51,22,1
ensemble,seed42,0.0,25,51,22,1
ensemble,seed42,0.0,50,51,21,2
ensemble,seed42,0.2,5,51,22,1
ensemble,seed42,0.2,10,51,22,0
ensemble,seed42,0.2,25,51,22,0
ensemble,seed42,0.2,50,51,21,1
seed17,ensemble,-0.2,5,51,22,0
seed17,ensemble,-0.2,10,51,22,0
seed17,ensemble,-0.2,25,51,22,0
seed17,ensemble,-0.2,50,51,21,2
seed17,ensemble,0.0,5,51,22,0
seed17,ensemble,0.0,10,51,22,0
seed17,ensemble,0.0,25,51,22,0
seed17,ensemble,0.0,50,51,21,0
seed17,ensemble,0.2,5,51,22,0
seed17,ensemble,0.2,10,51,22,0
seed17,ensemble,0.2,25,51,22,0
seed17,ensemble,0.2,50,51,21,0
seed17,seed23,-0.2,5,51,22,0
seed17,seed23,-0.2,10,51,22,0
seed17,seed23,-0.2,25,51,22,0
seed17,seed23,-0.2,50,51,21,1
seed17,seed23,0.0,5,51,22,0
seed17,seed23,0.0,10,51,22,0
seed17,seed23,0.0,25,51,22,0
seed17,seed23,0.0,50,51,21,0
seed17,seed23,0.2,5,51,22,0
seed17,seed23,0.2,10,51,22,0
seed17,seed23,0.2,25,51,22,0
seed17,seed23,0.2,50,51,21,2
seed17,seed42,-0.2,5,51,22,0
seed17,seed42,-0.2,10,51,22,0
seed17,seed42,-0.2,25,51,22,0
seed17,seed42,-0.2,50,51,21,3
seed17,seed42,0.0,5,51,22,0
seed17,seed42,0.0,10,51,22,1
seed17,seed42,0.0,25,51,22,1
seed17,seed42,0.0,50,51,21,2
seed17,seed42,0.2,5,51,22,0
seed17,seed42,0.2,10,51,22,0
seed17,seed42,0.2,25,51,22,0
seed17,seed42,0.2,50,51,21,1
seed23,ensemble,-0.2,5,51,22,1
seed23,ensemble,-0.2,10,51,22,0
seed23,ensemble,-0.2,25,51,22,4
seed23,ensemble,-0.2,50,51,21,7
seed23,ensemble,0.0,5,51,22,0
seed23,ensemble,0.0,10,51,22,0
seed23,ensemble,0.0,25,51,22,2
seed23,ensemble,0.0,50,51,21,5
seed23,ensemble,0.2,5,51,22,0
seed23,ensemble,0.2,10,51,22,0
seed23,ensemble,0.2,25,51,22,3
seed23,ensemble,0.2,50,51,21,2
seed23,seed17,-0.2,5,51,22,1
seed23,seed17,-0.2,10,51,22,0
seed23,seed17,-0.2,25,51,22,4
seed23,seed17,-0.2,50,51,21,7
seed23,seed17,0.0,5,51,22,0
seed23,seed17,0.0,10,51,22,0
seed23,seed17,0.0,25,51,22,2
seed23,seed17,0.0,50,51,21,5
seed23,seed17,0.2,5,51,22,1
seed23,seed17,0.2,10,51,22,1
seed23,seed17,0.2,25,51,22,3
seed23,seed17,0.2,50,51,21,2
seed23,seed42,-0.2,5,51,22,1
seed23,seed42,-0.2,10,51,22,0
seed23,seed42,-0.2,25,51,22,3
seed23,seed42,-0.2,50,51,21,10
seed23,seed42,0.0,5,51,22,0
seed23,seed42,0.0,10,51,22,1
seed23,seed42,0.0,25,51,22,2
seed23,seed42,0.0,50,51,21,7
seed23,seed42,0.2,5,51,22,1
seed23,seed42,0.2,10,51,22,0
seed23,seed42,0.2,25,51,22,2
seed23,seed42,0.2,50,51,21,3
seed42,ensemble,-0.2,5,51,22,0
seed42,ensemble,-0.2,10,51,22,0
seed42,ensemble,-0.2,25,51,22,1
seed42,ensemble,-0.2,50,51,21,2
seed42,ensemble,0.0,5,51,22,0
seed42,ensemble,0.0,10,51,22,0
seed42,ensemble,0.0,25,51,22,3
seed42,ensemble,0.0,50,51,21,1
seed42,ensemble,0.2,5,51,22,0
seed42,ensemble,0.2,10,51,22,0
seed42,ensemble,0.2,25,51,22,2
seed42,ensemble,0.2,50,51,21,1
seed42,seed17,-0.2,5,51,22,0
seed42,seed17,-0.2,10,51,22,0
seed42,seed17,-0.2,25,51,22,2
seed42,seed17,-0.2,50,51,21,1
seed42,seed17,0.0,5,51,22,0
seed42,seed17,0.0,10,51,22,0
seed42,seed17,0.0,25,51,22,3
seed42,seed17,0.0,50,51,21,1
seed42,seed17,0.2,5,51,22,0
seed42,seed17,0.2,10,51,22,1
seed42,seed17,0.2,25,51,22,2
seed42,seed17,0.2,50,51,21,1
seed42,seed23,-0.2,5,51,22,0
seed42,seed23,-0.2,10,51,22,0
seed42,seed23,-0.2,25,51,22,1
seed42,seed23,-0.2,50,51,21,2
seed42,seed23,0.0,5,51,22,0
seed42,seed23,0.0,10,51,22,0
seed42,seed23,0.0,25,51,22,2
seed42,seed23,0.0,50,51,21,1
seed42,seed23,0.2,5,51,22,0
seed42,seed23,0.2,10,51,22,0
seed42,seed23,0.2,25,51,22,1
seed42,seed23,0.2,50,51,21,3
