model,offset,origin,steps,common_steps,feedback_rmse,hold_rmse
ensemble,-0.2,19,10,10,0.5315518825432878,0.5335400982769095
ensemble,-0.2,19,25,25,0.5172761386359946,0.5170245471635643
ensemble,-0.2,19,50,50,0.5158480149206056,0.5150678995370943
ensemble,-0.2,20,5,5,0.3721180512337328,0.3679533108355914
ensemble,-0.2,20,10,10,0.506732351761792,0.49208788955510246
ensemble,-0.2,20,25,25,0.47933504635501833,0.4771728303695493
ensemble,-0.2,20,50,50,0.44550657670784405,0.4454550293667219
ensemble,-0.2,21,5,0,,
ensemble,-0.2,21,10,0,,
ensemble,-0.2,21,25,0,,
ensemble,-0.2,21,50,0,,
ensemble,-0.2,22,5,5,0.6967752358916306,0.6778949597305928
ensemble,-0.2,22,10,10,0.9182705563956165,0.9039157976498333
ensemble,-0.2,22,25,25,0.973302973909009,0.9683013373395689
ensemble,-0.2,22,50,50,0.9319410566775895,0.9318423047076253
ensemble,-0.2,23,5,5,0.4704999057343439,0.4563286424106448
ensemble,-0.2,23,10,10,0.3962197752905823,0.39284949371320377
ensemble,-0.2,23,25,25,0.4278134667562966,0.4304210003657802
ensemble,-0.2,23,50,50,0.42679869238154067,0.42936134740029297
ensemble,-0.2,24,5,0,,
ensemble,-0.2,24,10,0,,
ensemble,-0.2,24,25,0,,
ensemble,-0.2,24,50,0,,
ensemble,-0.2,25,5,5,0.9017926082117589,0.8842477217978365
ensemble,-0.2,25,10,10,0.7305816480280849,0.717465284262573
ensemble,-0.2,25,25,25,0.6886179467941056,0.6849739749175884
ensemble,-0.2,25,50,50,0.6920185957804551,0.6943061402407262
ensemble,-0.2,26,5,0,,
ensemble,-0.2,26,10,0,,
ensemble,-0.2,26,25,0,,
ensemble,-0.2,26,50,0,,
ensemble,-0.2,27,5,0,,
ensemble,-0.2,27,10,0,,
ensemble,-0.2,27,25,0,,
ensemble,-0.2,27,50,0,,
ensemble,-0.2,28,5,5,0.7525563441390458,0.7317742324884704
ensemble,-0.2,28,10,10,0.8703844349475113,0.8519083815960046
ensemble,-0.2,28,25,25,0.8373450042077764,0.830603564117676
ensemble,-0.2,28,50,50,0.8432264524833976,0.8435722934335492
ensemble,-0.2,29,5,0,,
ensemble,-0.2,29,10,0,,
ensemble,-0.2,29,25,0,,
ensemble,-0.2,29,50,0,,
ensemble,-0.2,30,5,0,,
ensemble,-0.2,30,10,0,,
ensemble,-0.2,30,25,0,,
ensemble,-0.2,30,50,0,,
ensemble,-0.2,31,5,5,0.5961660167082211,0.5805094197447885
ensemble,-0.2,31,10,10,0.9487667022264494,0.9369629601521735
ensemble,-0.2,31,25,25,1.0922599319759552,1.0893781747517501
ensemble,-0.2,31,50,50,1.0983151505578592,1.0999347877114385
ensemble,-0.2,32,5,0,,
ensemble,-0.2,32,10,0,,
ensemble,-0.2,32,25,0,,
ensemble,-0.2,32,50,0,,
ensemble,-0.2,33,5,0,,
ensemble,-0.2,33,10,0,,
ensemble,-0.2,33,25,0,,
ensemble,-0.2,33,50,0,,
ensemble,-0.2,34,5,5,0.8352366552268145,0.8116142757754532
ensemble,-0.2,34,10,10,0.609816500660081,0.593681885162261
ensemble,-0.2,34,25,25,0.6095982761619181,0.6070388146167696
ensemble,-0.2,34,50,50,0.6084119735534673,0.6061433720968621
ensemble,-0.2,35,5,0,,
ensemble,-0.2,35,10,0,,
ensemble,-0.2,35,25,0,,
ensemble,-0.2,35,50,0,,
ensemble,-0.2,36,5,0,,
ensemble,-0.2,36,10,0,,
ensemble,-0.2,36,25,0,,
ensemble,-0.2,36,50,0,,
ensemble,-0.2,37,5,5,0.3349982212574583,0.3273637131909648
ensemble,-0.2,37,10,10,0.43757237033089097,0.42672435533231534
ensemble,-0.2,37,25,25,0.41834139579646534,0.41758079140176596
ensemble,-0.2,37,50,50,0.3979859829657508,0.39765108005348043
ensemble,-0.2,38,5,0,,
ensemble,-0.2,38,10,0,,
ensemble,-0.2,38,25,0,,
ensemble,-0.2,38,50,0,,
ensemble,-0.2,39,5,0,,
ensemble,-0.2,39,10,0,,
ensemble,-0.2,39,25,0,,
ensemble,-0.2,39,50,0,,
ensemble,-0.2,40,5,5,0.5692942475606168,0.5518278393518333
ensemble,-0.2,40,10,10,0.41801902020166704,0.4068155459093167
ensemble,-0.2,40,25,25,0.4381418139274726,0.43330475567375626
ensemble,-0.2,40,50,50,0.44971687775440167,0.44802124705422225
ensemble,-0.2,41,5,0,,
ensemble,-0.2,41,10,0,,
