mode,pattern,step,cohort,condition,metric,seed,value
Mission,ALL,5,ALL,continuous,attitude_deg,17,1.314380332013162
Mission,ALL,5,ALL,continuous,attitude_deg,23,1.357219062161801
Mission,ALL,5,ALL,continuous,attitude_deg,42,1.3358294233086048
Mission,ALL,5,ALL,continuous,body_rate_rad_s,17,0.5094820689730782
Mission,ALL,5,ALL,continuous,body_rate_rad_s,23,0.509691774492194
Mission,ALL,5,ALL,continuous,body_rate_rad_s,42,0.5125107035519333
Mission,ALL,5,ALL,continuous,p_rad_s,17,0.45353898245688734
Mission,ALL,5,ALL,continuous,p_rad_s,23,0.4502619421104434
Mission,ALL,5,ALL,continuous,p_rad_s,42,0.45734312604951927
Mission,ALL,5,ALL,continuous,position_m,17,0.021375883605560374
Mission,ALL,5,ALL,continuous,position_m,23,0.021479051699496137
Mission,ALL,5,ALL,continuous,position_m,42,0.02111431005928185
Mission,ALL,5,ALL,continuous,q_rad_s,17,0.19137335134780306
Mission,ALL,5,ALL,continuous,q_rad_s,23,0.19607364853429718
Mission,ALL,5,ALL,continuous,q_rad_s,42,0.1913437688092503
Mission,ALL,5,ALL,continuous,r_rad_s,17,0.12834628905857334
Mission,ALL,5,ALL,continuous,r_rad_s,23,0.134364390984459
Mission,ALL,5,ALL,continuous,r_rad_s,42,0.1269995975142718
Mission,ALL,5,ALL,continuous,roll_deg,17,0.9905367498352996
Mission,ALL,5,ALL,continuous,roll_deg,23,1.0125024983131217
Mission,ALL,5,ALL,continuous,roll_deg,42,1.0111968718344098
Mission,ALL,5,ALL,continuous,velocity_m_s,17,0.11640817208431892
Mission,ALL,5,ALL,continuous,velocity_m_s,23,0.12056730927668517
Mission,ALL,5,ALL,continuous,velocity_m_s,42,0.12157953304749099
Mission,ALL,5,ALL,local100ms,attitude_deg,17,1.3143803329553316
Mission,ALL,5,ALL,local100ms,attitude_deg,23,1.3572190610891015
Mission,ALL,5,ALL,local100ms,attitude_deg,42,1.335829422439782
Mission,ALL,5,ALL,local100ms,body_rate_rad_s,17,0.5094820689665056
Mission,ALL,5,ALL,local100ms,body_rate_rad_s,23,0.5096917746544314
Mission,ALL,5,ALL,local100ms,body_rate_rad_s,42,0.5125107035817945
Mission,ALL,5,ALL,local100ms,p_rad_s,17,0.4535389824450002
Mission,ALL,5,ALL,local100ms,p_rad_s,23,0.4502619421468241
Mission,ALL,5,ALL,local100ms,p_rad_s,42,0.4573431261054435
Mission,ALL,5,ALL,local100ms,position_m,17,0.021375883605560374
Mission,ALL,5,ALL,local100ms,position_m,23,0.021479051699496137
Mission,ALL,5,ALL,local100ms,position_m,42,0.02111431005928185
Mission,ALL,5,ALL,local100ms,q_rad_s,17,0.19137335137517472
Mission,ALL,5,ALL,local100ms,q_rad_s,23,0.19607364884066056
Mission,ALL,5,ALL,local100ms,q_rad_s,42,0.19134376874270975
Mission,ALL,5,ALL,local100ms,r_rad_s,17,0.12834628903512266
Mission,ALL,5,ALL,local100ms,r_rad_s,23,0.1343643910799104
Mission,ALL,5,ALL,local100ms,r_rad_s,42,0.12699959751414927
Mission,ALL,5,ALL,local100ms,roll_deg,17,0.9905367500447971
Mission,ALL,5,ALL,local100ms,roll_deg,23,1.0125024979839068
Mission,ALL,5,ALL,local100ms,roll_deg,42,1.0111968699986777
Mission,ALL,5,ALL,local100ms,velocity_m_s,17,0.11640817186259056
Mission,ALL,5,ALL,local100ms,velocity_m_s,23,0.12056730930917377
Mission,ALL,5,ALL,local100ms,velocity_m_s,42,0.12157953304887004
Mission,ALL,5,Sep17,continuous,attitude_deg,17,1.3423319940902028
Mission,ALL,5,Sep17,continuous,attitude_deg,23,1.3773640345946236
Mission,ALL,5,Sep17,continuous,attitude_deg,42,1.352966296822563
Mission,ALL,5,Sep17,continuous,body_rate_rad_s,17,0.5095429117616908
Mission,ALL,5,Sep17,continuous,body_rate_rad_s,23,0.5063530213544658
Mission,ALL,5,Sep17,continuous,body_rate_rad_s,42,0.5101335201639119
Mission,ALL,5,Sep17,continuous,p_rad_s,17,0.45610012921644083
Mission,ALL,5,Sep17,continuous,p_rad_s,23,0.4474502855125416
Mission,ALL,5,Sep17,continuous,p_rad_s,42,0.45900436799856514
Mission,ALL,5,Sep17,continuous,position_m,17,0.016359050906999864
Mission,ALL,5,Sep17,continuous,position_m,23,0.016675062069663113
Mission,ALL,5,Sep17,continuous,position_m,42,0.016065031896764816
Mission,ALL,5,Sep17,continuous,q_rad_s,17,0.18791599710605925
Mission,ALL,5,Sep17,continuous,q_rad_s,23,0.19319806107968945
