seed,mode,pattern,step,flight_id,cohort,n_origins,condition,metric,value,endpoint_elapsed_median_s,local_age_median_s
17,Stabilized,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,71,continuous,position_m,0.027359499856541788,0.098575,0.098575
17,Stabilized,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,71,continuous,velocity_m_s,0.1342512054116243,0.098575,0.098575
17,Stabilized,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,71,continuous,attitude_deg,1.5065811789107453,0.098575,0.098575
17,Stabilized,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,71,continuous,body_rate_rad_s,0.586055618881709,0.098575,0.098575
17,Stabilized,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,71,continuous,p_rad_s,0.49186479477654854,0.098575,0.098575
17,Stabilized,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,71,continuous,q_rad_s,0.2687969947540784,0.098575,0.098575
17,Stabilized,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,71,continuous,r_rad_s,0.1711092858188082,0.098575,0.098575
17,Stabilized,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,71,continuous,roll_deg,1.2099554347575903,0.098575,0.098575
17,Stabilized,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,71,local100ms,position_m,0.027359499856541788,0.098575,0.098575
17,Stabilized,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,71,local100ms,velocity_m_s,0.1342512054116243,0.098575,0.098575
17,Stabilized,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,71,local100ms,attitude_deg,1.5065811789107453,0.098575,0.098575
17,Stabilized,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,71,local100ms,body_rate_rad_s,0.586055618881709,0.098575,0.098575
17,Stabilized,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,71,local100ms,p_rad_s,0.49186479477654854,0.098575,0.098575
17,Stabilized,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,71,local100ms,q_rad_s,0.2687969947540784,0.098575,0.098575
17,Stabilized,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,71,local100ms,r_rad_s,0.1711092858188082,0.098575,0.098575
17,Stabilized,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,71,local100ms,roll_deg,1.2099554347575903,0.098575,0.098575
17,Stabilized,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,80,continuous,position_m,0.018684473472806096,0.0997925,0.0997925
17,Stabilized,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,80,continuous,velocity_m_s,0.1400248977446353,0.0997925,0.0997925
17,Stabilized,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,80,continuous,attitude_deg,1.428862057133791,0.0997925,0.0997925
17,Stabilized,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,80,continuous,body_rate_rad_s,0.5903512174456292,0.0997925,0.0997925
17,Stabilized,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,80,continuous,p_rad_s,0.5316371374350262,0.0997925,0.0997925
17,Stabilized,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,80,continuous,q_rad_s,0.20736342802629248,0.0997925,0.0997925
17,Stabilized,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,80,continuous,r_rad_s,0.1512511909262607,0.0997925,0.0997925
17,Stabilized,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,80,continuous,roll_deg,1.0531635072232406,0.0997925,0.0997925
17,Stabilized,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,80,local100ms,position_m,0.018684473472806096,0.0997925,0.0997925
17,Stabilized,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,80,local100ms,velocity_m_s,0.1400248977446353,0.0997925,0.0997925
17,Stabilized,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,80,local100ms,attitude_deg,1.428862057133791,0.0997925,0.0997925
17,Stabilized,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,80,local100ms,body_rate_rad_s,0.5903512174456292,0.0997925,0.0997925
17,Stabilized,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,80,local100ms,p_rad_s,0.5316371374350262,0.0997925,0.0997925
17,Stabilized,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,80,local100ms,q_rad_s,0.20736342802629248,0.0997925,0.0997925
17,Stabilized,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,80,local100ms,r_rad_s,0.1512511909262607,0.0997925,0.0997925
17,Stabilized,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,80,local100ms,roll_deg,1.0531635072232406,0.0997925,0.0997925
17,Stabilized,ALL,5,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,continuous,position_m,0.02250957843665428,0.10003300000000001,0.10003300000000001
17,Stabilized,ALL,5,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,continuous,velocity_m_s,0.27784806726307376,0.10003300000000001,0.10003300000000001
17,Stabilized,ALL,5,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,continuous,attitude_deg,1.259540986268535,0.10003300000000001,0.10003300000000001
17,Stabilized,ALL,5,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,continuous,body_rate_rad_s,0.5528062519712668,0.10003300000000001,0.10003300000000001
17,Stabilized,ALL,5,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,continuous,p_rad_s,0.47153528126265,0.10003300000000001,0.10003300000000001
17,Stabilized,ALL,5,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,continuous,q_rad_s,0.2516401090700662,0.10003300000000001,0.10003300000000001
17,Stabilized,ALL,5,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,continuous,r_rad_s,0.14116120660534978,0.10003300000000001,0.10003300000000001
17,Stabilized,ALL,5,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,continuous,roll_deg,0.8869660776396032,0.10003300000000001,0.10003300000000001
17,Stabilized,ALL,5,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,local100ms,position_m,0.02250957843665428,0.10003300000000001,0.10003300000000001
17,Stabilized,ALL,5,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,local100ms,velocity_m_s,0.27784806726307376,0.10003300000000001,0.10003300000000001
17,Stabilized,ALL,5,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,local100ms,attitude_deg,1.259540986268535,0.10003300000000001,0.10003300000000001
17,Stabilized,ALL,5,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,local100ms,body_rate_rad_s,0.5528062519712668,0.10003300000000001,0.10003300000000001
17,Stabilized,ALL,5,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,local100ms,p_rad_s,0.47153528126265,0.10003300000000001,0.10003300000000001
17,Stabilized,ALL,5,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,local100ms,q_rad_s,0.2516401090700662,0.10003300000000001,0.10003300000000001
17,Stabilized,ALL,5,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,local100ms,r_rad_s,0.14116120660534978,0.10003300000000001,0.10003300000000001
17,Stabilized,ALL,5,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,local100ms,roll_deg,0.8869660776396032,0.10003300000000001,0.10003300000000001
17,Stabilized,ALL,5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,continuous,position_m,0.059075009979905155,0.09863999999999999,0.09863999999999999
17,Stabilized,ALL,5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,continuous,velocity_m_s,0.09883831951477882,0.09863999999999999,0.09863999999999999
17,Stabilized,ALL,5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,continuous,attitude_deg,1.2146077739879366,0.09863999999999999,0.09863999999999999
17,Stabilized,ALL,5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,continuous,body_rate_rad_s,0.5445749022317898,0.09863999999999999,0.09863999999999999
17,Stabilized,ALL,5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,continuous,p_rad_s,0.49260528484642396,0.09863999999999999,0.09863999999999999
17,Stabilized,ALL,5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,continuous,q_rad_s,0.198774501959985,0.09863999999999999,0.09863999999999999
17,Stabilized,ALL,5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,continuous,r_rad_s,0.1199606387641256,0.09863999999999999,0.09863999999999999
17,Stabilized,ALL,5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,continuous,roll_deg,0.8213758722270595,0.09863999999999999,0.09863999999999999
17,Stabilized,ALL,5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,local100ms,position_m,0.059075009979905155,0.09863999999999999,0.09863999999999999
17,Stabilized,ALL,5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,local100ms,velocity_m_s,0.09883831951477882,0.09863999999999999,0.09863999999999999
17,Stabilized,ALL,5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,local100ms,attitude_deg,1.2146077739879366,0.09863999999999999,0.09863999999999999
17,Stabilized,ALL,5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,local100ms,body_rate_rad_s,0.5445749022317898,0.09863999999999999,0.09863999999999999
17,Stabilized,ALL,5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,local100ms,p_rad_s,0.49260528484642396,0.09863999999999999,0.09863999999999999
17,Stabilized,ALL,5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,local100ms,q_rad_s,0.198774501959985,0.09863999999999999,0.09863999999999999
17,Stabilized,ALL,5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,local100ms,r_rad_s,0.1199606387641256,0.09863999999999999,0.09863999999999999
17,Stabilized,ALL,5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,local100ms,roll_deg,0.8213758722270595,0.09863999999999999,0.09863999999999999
17,Stabilized,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,61,continuous,position_m,0.10130173103799947,0.098707,0.098707
17,Stabilized,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,61,continuous,velocity_m_s,0.12532639459238779,0.098707,0.098707
17,Stabilized,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,61,continuous,attitude_deg,1.3709528420575061,0.098707,0.098707
17,Stabilized,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,61,continuous,body_rate_rad_s,0.5398947523673686,0.098707,0.098707
17,Stabilized,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,61,continuous,p_rad_s,0.46371365339158743,0.098707,0.098707
17,Stabilized,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,61,continuous,q_rad_s,0.2408307770429726,0.098707,0.098707
17,Stabilized,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,61,continuous,r_rad_s,0.13585480529199853,0.098707,0.098707
17,Stabilized,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,61,continuous,roll_deg,1.0236260603170766,0.098707,0.098707
17,Stabilized,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,61,local100ms,position_m,0.10130173103799947,0.098707,0.098707
17,Stabilized,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,61,local100ms,velocity_m_s,0.12532639459238779,0.098707,0.098707
17,Stabilized,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,61,local100ms,attitude_deg,1.3709528420575061,0.098707,0.098707
17,Stabilized,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,61,local100ms,body_rate_rad_s,0.5398947523673686,0.098707,0.098707
17,Stabilized,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,61,local100ms,p_rad_s,0.46371365339158743,0.098707,0.098707
17,Stabilized,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,61,local100ms,q_rad_s,0.2408307770429726,0.098707,0.098707
17,Stabilized,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,61,local100ms,r_rad_s,0.13585480529199853,0.098707,0.098707
17,Stabilized,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,61,local100ms,roll_deg,1.0236260603170766,0.098707,0.098707
17,Stabilized,ALL,5,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,124,continuous,position_m,0.04828717882078836,0.09967899999999999,0.09967899999999999
17,Stabilized,ALL,5,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,124,continuous,velocity_m_s,0.10226364188291966,0.09967899999999999,0.09967899999999999
