mode,pattern,step,flight_id,cohort,metric,continuous,local100ms,local_minus_continuous
Mission,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,attitude_deg,1.3797600578656848,1.3797600578656848,0.0
Mission,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,body_rate_rad_s,0.471634545620871,0.471634545620871,0.0
Mission,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,p_rad_s,0.40092514287261044,0.40092514287261044,0.0
Mission,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,position_m,0.01607413841389885,0.01607413841389885,0.0
Mission,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,q_rad_s,0.2041884744291381,0.2041884744291381,0.0
Mission,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,r_rad_s,0.14133924064321968,0.14133924064321968,0.0
Mission,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,roll_deg,1.1317865369996472,1.1317865369996472,0.0
Mission,ALL,5,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,velocity_m_s,0.11361194059959634,0.11361194059959634,0.0
Mission,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,attitude_deg,1.417304431831442,1.417304431831442,0.0
Mission,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,body_rate_rad_s,0.511940465674688,0.511940465674688,0.0
Mission,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,p_rad_s,0.43976983139653036,0.43976983139653036,0.0
Mission,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,position_m,0.022748202113284887,0.022748202113284887,0.0
Mission,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,q_rad_s,0.21476761685386533,0.21476761685386533,0.0
Mission,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,r_rad_s,0.14981522225128538,0.14981522225128538,0.0
Mission,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,roll_deg,1.1003224132691911,1.1003224132691911,0.0
Mission,ALL,5,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,velocity_m_s,0.11105722087451253,0.11105722087451253,0.0
Mission,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,attitude_deg,1.100913626199507,1.100913626199507,0.0
Mission,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,body_rate_rad_s,0.5547430503709371,0.5547430503709371,0.0
Mission,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,p_rad_s,0.4975839958803853,0.4975839958803853,0.0
Mission,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,position_m,0.07016596028428886,0.07016596028428886,0.0
Mission,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,q_rad_s,0.20405697534089431,0.20405697534089431,0.0
Mission,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,r_rad_s,0.13591152929345773,0.13591152929345773,0.0
Mission,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,roll_deg,0.7357036452769368,0.7357036452769368,0.0
Mission,ALL,5,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,velocity_m_s,0.11176161335497574,0.11176161335497574,0.0
Mission,ALL,5,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,attitude_deg,1.2713042860179324,1.2713042860179324,0.0
Mission,ALL,5,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,body_rate_rad_s,0.5190082509888106,0.5190082509888106,0.0
Mission,ALL,5,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,p_rad_s,0.4728178117110804,0.4728178117110804,0.0
Mission,ALL,5,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,position_m,0.01595762765007338,0.01595762765007338,0.0
Mission,ALL,5,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,q_rad_s,0.1882465851272884,0.1882465851272884,0.0
Mission,ALL,5,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,r_rad_s,0.10144409978720886,0.10144409978720886,0.0
Mission,ALL,5,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,roll_deg,1.02626413006456,1.02626413006456,0.0
Mission,ALL,5,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,velocity_m_s,0.10264717500213526,0.10264717500213526,0.0
Mission,ALL,5,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,attitude_deg,1.4627581771339715,1.4627581771339715,0.0
Mission,ALL,5,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,body_rate_rad_s,0.5523255441537211,0.5523255441537211,0.0
Mission,ALL,5,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,p_rad_s,0.5013925210996267,0.5013925210996267,0.0
