mode,pattern,step,cohort,seed,metric,continuous,local100ms,local_minus_continuous
Mission,ALL,5,ALL,17,attitude_deg,1.314380332013162,1.3143803329553316,9.421696756106712e-10
Mission,ALL,5,ALL,17,body_rate_rad_s,0.5094820689730782,0.5094820689665056,-6.572631328083389e-12
Mission,ALL,5,ALL,17,p_rad_s,0.45353898245688734,0.4535389824450002,-1.1887157924661551e-11
Mission,ALL,5,ALL,17,position_m,0.021375883605560374,0.021375883605560374,0.0
Mission,ALL,5,ALL,17,q_rad_s,0.19137335134780306,0.19137335137517472,2.7371660493713534e-11
Mission,ALL,5,ALL,17,r_rad_s,0.12834628905857334,0.12834628903512266,-2.345068583764487e-11
Mission,ALL,5,ALL,17,roll_deg,0.9905367498352996,0.9905367500447971,2.0949753043453256e-10
Mission,ALL,5,ALL,17,velocity_m_s,0.11640817208431892,0.11640817186259056,-2.2172835789646683e-10
Mission,ALL,5,ALL,23,attitude_deg,1.357219062161801,1.3572190610891015,-1.0726994847942706e-09
Mission,ALL,5,ALL,23,body_rate_rad_s,0.509691774492194,0.5096917746544314,1.6223733467768398e-10
Mission,ALL,5,ALL,23,p_rad_s,0.4502619421104434,0.4502619421468241,3.638067624933683e-11
Mission,ALL,5,ALL,23,position_m,0.021479051699496137,0.021479051699496137,0.0
Mission,ALL,5,ALL,23,q_rad_s,0.19607364853429718,0.19607364884066056,3.0636337911005285e-10
Mission,ALL,5,ALL,23,r_rad_s,0.134364390984459,0.1343643910799104,9.545142454214783e-11
Mission,ALL,5,ALL,23,roll_deg,1.0125024983131217,1.0125024979839068,-3.292148775813075e-10
Mission,ALL,5,ALL,23,velocity_m_s,0.12056730927668517,0.12056730930917377,3.2488595147484034e-11
Mission,ALL,5,ALL,42,attitude_deg,1.3358294233086048,1.335829422439782,-8.688227914888103e-10
Mission,ALL,5,ALL,42,body_rate_rad_s,0.5125107035519333,0.5125107035817945,2.9861224604132985e-11
Mission,ALL,5,ALL,42,p_rad_s,0.45734312604951927,0.4573431261054435,5.5924209707569617e-11
