mode,pattern,step,cohort,metric,unit,n,local_better,local_worse
Mission,ALL,25,Sep7,velocity_m_s,seed,3,3,0
Mission,ALL,30,ALL,attitude_deg,seed,3,3,0
Mission,ALL,30,ALL,body_rate_rad_s,seed,3,3,0
Mission,ALL,30,ALL,p_rad_s,seed,3,3,0
Mission,ALL,30,ALL,position_m,seed,3,3,0
Mission,ALL,30,ALL,q_rad_s,seed,3,3,0
Mission,ALL,30,ALL,r_rad_s,seed,3,3,0
Mission,ALL,30,ALL,roll_deg,seed,3,3,0
Mission,ALL,30,ALL,velocity_m_s,seed,3,3,0
Mission,ALL,30,Sep17,attitude_deg,seed,3,3,0
Mission,ALL,30,Sep17,body_rate_rad_s,seed,3,3,0
Mission,ALL,30,Sep17,p_rad_s,seed,3,3,0
Mission,ALL,30,Sep17,position_m,seed,3,3,0
Mission,ALL,30,Sep17,q_rad_s,seed,3,3,0
Mission,ALL,30,Sep17,r_rad_s,seed,3,3,0
Mission,ALL,30,Sep17,roll_deg,seed,3,3,0
Mission,ALL,30,Sep17,velocity_m_s,seed,3,3,0
Mission,ALL,30,Sep7,attitude_deg,seed,3,3,0
Mission,ALL,30,Sep7,body_rate_rad_s,seed,3,3,0
Mission,ALL,30,Sep7,p_rad_s,seed,3,3,0
Mission,ALL,30,Sep7,position_m,seed,3,3,0
Mission,ALL,30,Sep7,q_rad_s,seed,3,2,1
Mission,ALL,30,Sep7,r_rad_s,seed,3,1,2
Mission,ALL,30,Sep7,roll_deg,seed,3,3,0
Mission,ALL,30,Sep7,velocity_m_s,seed,3,3,0
Mission,ALL,35,ALL,attitude_deg,seed,3,3,0
Mission,ALL,35,ALL,body_rate_rad_s,seed,3,3,0
Mission,ALL,35,ALL,p_rad_s,seed,3,3,0
Mission,ALL,35,ALL,position_m,seed,3,3,0
Mission,ALL,35,ALL,q_rad_s,seed,3,3,0
Mission,ALL,35,ALL,r_rad_s,seed,3,3,0
Mission,ALL,35,ALL,roll_deg,seed,3,3,0
Mission,ALL,35,ALL,velocity_m_s,seed,3,3,0
Mission,ALL,35,Sep17,attitude_deg,seed,3,3,0
Mission,ALL,35,Sep17,body_rate_rad_s,seed,3,3,0
Mission,ALL,35,Sep17,p_rad_s,seed,3,3,0
Mission,ALL,35,Sep17,position_m,seed,3,3,0
Mission,ALL,35,Sep17,q_rad_s,seed,3,3,0
Mission,ALL,35,Sep17,r_rad_s,seed,3,3,0
Mission,ALL,35,Sep17,roll_deg,seed,3,3,0
Mission,ALL,35,Sep17,velocity_m_s,seed,3,3,0
Mission,ALL,35,Sep7,attitude_deg,seed,3,3,0
Mission,ALL,35,Sep7,body_rate_rad_s,seed,3,3,0
Mission,ALL,35,Sep7,p_rad_s,seed,3,3,0
Mission,ALL,35,Sep7,position_m,seed,3,3,0
Mission,ALL,35,Sep7,q_rad_s,seed,3,3,0
Mission,ALL,35,Sep7,r_rad_s,seed,3,1,2
Mission,ALL,35,Sep7,roll_deg,seed,3,3,0
Mission,ALL,35,Sep7,velocity_m_s,seed,3,3,0
Mission,ALL,40,ALL,attitude_deg,seed,3,3,0
Mission,ALL,40,ALL,body_rate_rad_s,seed,3,3,0
Mission,ALL,40,ALL,p_rad_s,seed,3,3,0
Mission,ALL,40,ALL,position_m,seed,3,3,0
Mission,ALL,40,ALL,q_rad_s,seed,3,3,0
Mission,ALL,40,ALL,r_rad_s,seed,3,3,0
Mission,ALL,40,ALL,roll_deg,seed,3,3,0
Mission,ALL,40,ALL,velocity_m_s,seed,3,3,0
Mission,ALL,40,Sep17,attitude_deg,seed,3,3,0
Mission,ALL,40,Sep17,body_rate_rad_s,seed,3,3,0
Mission,ALL,40,Sep17,p_rad_s,seed,3,3,0
Mission,ALL,40,Sep17,position_m,seed,3,3,0
Mission,ALL,40,Sep17,q_rad_s,seed,3,3,0
Mission,ALL,40,Sep17,r_rad_s,seed,3,3,0
Mission,ALL,40,Sep17,roll_deg,seed,3,3,0
Mission,ALL,40,Sep17,velocity_m_s,seed,3,3,0
Mission,ALL,40,Sep7,attitude_deg,seed,3,3,0
Mission,ALL,40,Sep7,body_rate_rad_s,seed,3,3,0
Mission,ALL,40,Sep7,p_rad_s,seed,3,3,0
Mission,ALL,40,Sep7,position_m,seed,3,3,0
Mission,ALL,40,Sep7,q_rad_s,seed,3,3,0
Mission,ALL,40,Sep7,r_rad_s,seed,3,3,0
Mission,ALL,40,Sep7,roll_deg,seed,3,3,0
Mission,ALL,40,Sep7,velocity_m_s,seed,3,3,0
Mission,ALL,45,ALL,attitude_deg,seed,3,3,0
Mission,ALL,45,ALL,body_rate_rad_s,seed,3,3,0
Mission,ALL,45,ALL,p_rad_s,seed,3,3,0
Mission,ALL,45,ALL,position_m,seed,3,3,0
Mission,ALL,45,ALL,q_rad_s,seed,3,3,0
Mission,ALL,45,ALL,r_rad_s,seed,3,3,0
Mission,ALL,45,ALL,roll_deg,seed,3,3,0
Mission,ALL,45,ALL,velocity_m_s,seed,3,3,0
Mission,ALL,45,Sep17,attitude_deg,seed,3,3,0
Mission,ALL,45,Sep17,body_rate_rad_s,seed,3,3,0
Mission,ALL,45,Sep17,p_rad_s,seed,3,3,0
Mission,ALL,45,Sep17,position_m,seed,3,3,0
Mission,ALL,45,Sep17,q_rad_s,seed,3,3,0
Mission,ALL,45,Sep17,r_rad_s,seed,3,3,0
Mission,ALL,45,Sep17,roll_deg,seed,3,3,0
Mission,ALL,45,Sep17,velocity_m_s,seed,3,3,0
Mission,ALL,45,Sep7,attitude_deg,seed,3,3,0
Mission,ALL,45,Sep7,body_rate_rad_s,seed,3,3,0
Mission,ALL,45,Sep7,p_rad_s,seed,3,3,0
Mission,ALL,45,Sep7,position_m,seed,3,3,0
Mission,ALL,45,Sep7,q_rad_s,seed,3,3,0
Mission,ALL,45,Sep7,r_rad_s,seed,3,3,0
Mission,ALL,45,Sep7,roll_deg,seed,3,3,0
Mission,ALL,45,Sep7,velocity_m_s,seed,3,3,0
Mission,ALL,50,ALL,attitude_deg,seed,3,3,0
Mission,ALL,50,ALL,body_rate_rad_s,seed,3,3,0
