mode,pattern,step,cohort,condition,metric,mean,std
Mission,ALL,5,ALL,continuous,attitude_deg,1.335809605827856,0.02141937195009196
Mission,ALL,5,ALL,continuous,body_rate_rad_s,0.5105615156724018,0.0016912995427987305
Mission,ALL,5,ALL,continuous,p_rad_s,0.45371468353895,0.0035438601337291777
Mission,ALL,5,ALL,continuous,position_m,0.021323081788112788,0.00018801632900064332
Mission,ALL,5,ALL,continuous,q_rad_s,0.19293025623045015,0.002722297772757457
Mission,ALL,5,ALL,continuous,r_rad_s,0.12990342585243472,0.003921549688672271
Mission,ALL,5,ALL,continuous,roll_deg,1.0047453733276104,0.01232233343507481
Mission,ALL,5,ALL,continuous,velocity_m_s,0.11951833813616503,0.0027406201657814737
Mission,ALL,5,ALL,local100ms,attitude_deg,1.3358096054947384,0.021419370942285975
Mission,ALL,5,ALL,local100ms,body_rate_rad_s,0.5105615157342438,0.001691299520388566
Mission,ALL,5,ALL,local100ms,p_rad_s,0.4537146835657559,0.0035438601449307126
Mission,ALL,5,ALL,local100ms,position_m,0.021323081788112788,0.00018801632900064332
Mission,ALL,5,ALL,local100ms,q_rad_s,0.192930256319515,0.0027222979611958758
Mission,ALL,5,ALL,local100ms,r_rad_s,0.1299034258763941,0.003921549747663901
Mission,ALL,5,ALL,local100ms,roll_deg,1.0047453726757938,0.012322332730108652
Mission,ALL,5,ALL,local100ms,velocity_m_s,0.11951833807354478,0.0027406202983306974
Mission,ALL,5,Sep17,continuous,attitude_deg,1.3575541085024632,0.017960984869530874
Mission,ALL,5,Sep17,continuous,body_rate_rad_s,0.5086764844266894,0.0020337318056184088
Mission,ALL,5,Sep17,continuous,p_rad_s,0.45418492757584916,0.006010424570407023
Mission,ALL,5,Sep17,continuous,position_m,0.016366381624475932,0.0003050811490826946
Mission,ALL,5,Sep17,continuous,q_rad_s,0.18798792787677698,0.005174542794396367
Mission,ALL,5,Sep17,continuous,r_rad_s,0.12879137728175563,0.005865625623870383
Mission,ALL,5,Sep17,continuous,roll_deg,1.0078584692901236,0.007475089749195459
Mission,ALL,5,Sep17,continuous,velocity_m_s,0.12439276347534506,0.0018341888160745023
Mission,ALL,5,Sep17,local100ms,attitude_deg,1.3575541080027869,0.017960983549757094
Mission,ALL,5,Sep17,local100ms,body_rate_rad_s,0.5086764845194525,0.002033731680550894
Mission,ALL,5,Sep17,local100ms,p_rad_s,0.45418492761605805,0.006010424570624923
Mission,ALL,5,Sep17,local100ms,position_m,0.016366381624475932,0.0003050811490826946
Mission,ALL,5,Sep17,local100ms,q_rad_s,0.18798792801037426,0.005174543075018788
Mission,ALL,5,Sep17,local100ms,r_rad_s,0.12879137731769472,0.005865625714631957
Mission,ALL,5,Sep17,local100ms,roll_deg,1.007858468312399,0.007475088159203023
Mission,ALL,5,Sep17,local100ms,velocity_m_s,0.1243927633814147,0.0018341890106701709
Mission,ALL,5,Sep7,continuous,attitude_deg,1.2923206004786416,0.030300614568241357
Mission,ALL,5,Sep7,continuous,body_rate_rad_s,0.5143315781638266,0.004328416893038494
Mission,ALL,5,Sep7,continuous,p_rad_s,0.45277419546515163,0.0038871702955162375
Mission,ALL,5,Sep7,continuous,position_m,0.0312364821153865,0.00016255075873205092
Mission,ALL,5,Sep7,continuous,q_rad_s,0.20281491293779652,0.005094572205542975
Mission,ALL,5,Sep7,continuous,r_rad_s,0.1321275229937929,0.0008977584488027393
Mission,ALL,5,Sep7,continuous,roll_deg,0.9985191814025837,0.02943227037247608
Mission,ALL,5,Sep7,continuous,velocity_m_s,0.10976948745780496,0.005776643365685095
Mission,ALL,5,Sep7,local100ms,attitude_deg,1.2923206004786416,0.030300614568241357
Mission,ALL,5,Sep7,local100ms,body_rate_rad_s,0.5143315781638266,0.004328416893038494
Mission,ALL,5,Sep7,local100ms,p_rad_s,0.45277419546515163,0.0038871702955162375
Mission,ALL,5,Sep7,local100ms,position_m,0.0312364821153865,0.00016255075873205092
Mission,ALL,5,Sep7,local100ms,q_rad_s,0.20281491293779652,0.005094572205542975
Mission,ALL,5,Sep7,local100ms,r_rad_s,0.1321275229937929,0.0008977584488027393
Mission,ALL,5,Sep7,local100ms,roll_deg,0.9985191814025837,0.02943227037247608
Mission,ALL,5,Sep7,local100ms,velocity_m_s,0.10976948745780496,0.005776643365685095
Mission,ALL,10,ALL,continuous,attitude_deg,2.0197158298442286,0.027715950474464367
Mission,ALL,10,ALL,continuous,body_rate_rad_s,0.5390443584052972,0.0010387871324014906
Mission,ALL,10,ALL,continuous,p_rad_s,0.4810322971928165,0.003204691358998007
Mission,ALL,10,ALL,continuous,position_m,0.04130798729404513,0.0003713833372643599
Mission,ALL,10,ALL,continuous,q_rad_s,0.19904047281995296,0.007551518751647181
Mission,ALL,10,ALL,continuous,r_rad_s,0.13460668404880904,0.0012190658462499719
Mission,ALL,10,ALL,continuous,roll_deg,1.4102939877464429,0.041987577354468265
Mission,ALL,10,ALL,continuous,velocity_m_s,0.16376659795458873,0.0022091999086243505
Mission,ALL,10,ALL,local100ms,attitude_deg,1.2854646617552323,0.022858166977591774
Mission,ALL,10,ALL,local100ms,body_rate_rad_s,0.5214360442826748,0.004896699024627045
Mission,ALL,10,ALL,local100ms,p_rad_s,0.4687505041955136,0.007571386702181679
Mission,ALL,10,ALL,local100ms,position_m,0.01988850681227527,0.00018044792293861825
Mission,ALL,10,ALL,local100ms,q_rad_s,0.18217034579371957,0.0032054190199758506
Mission,ALL,10,ALL,local100ms,r_rad_s,0.1346007317505796,0.003351646290668496
Mission,ALL,10,ALL,local100ms,roll_deg,0.9651019036792113,0.0144416259072924
Mission,ALL,10,ALL,local100ms,velocity_m_s,0.11717820037154865,0.002118687129242307
