horizon_s,split,control,r2_per_log_macro,correlation_fisher_equal_log_macro,log_count
0.1,train,flap_motor,0.9590757523878196,0.9836298817972251,6
0.1,train,left_elevon,0.001393075225064951,0.6063625369462705,6
0.1,train,right_elevon,0.11041192251482997,0.6120434006730652,6
0.1,train,rudder,-0.04041047717682086,0.5448154586609985,6
0.1,validation,flap_motor,0.9398611818227629,0.9783949552422773,5
0.1,validation,left_elevon,-0.7633908920958656,0.5703594816742503,5
0.1,validation,right_elevon,-0.603871437165863,0.6030869015632738,5
0.1,validation,rudder,0.1910385186987023,0.5638715965750375,5
0.2,train,flap_motor,0.9512397334270962,0.9797510639904976,6
0.2,train,left_elevon,-0.015659052461396022,0.6062201730187129,6
0.2,train,right_elevon,0.10448441149265693,0.6180377039276356,6
0.2,train,rudder,-0.057863106051842285,0.5395204160779395,6
0.2,validation,flap_motor,0.9268519322075306,0.9734493879424864,5
0.2,validation,left_elevon,-0.7838597794353175,0.5732647864952262,5
0.2,validation,right_elevon,-0.6296031825967155,0.6091315809715141,5
0.2,validation,rudder,0.18838501789694373,0.5608272462009212,5
0.5,train,flap_motor,0.9198288563649307,0.9643236601113817,6
0.5,train,left_elevon,-0.03300930312629489,0.6167039450030067,6
0.5,train,right_elevon,0.11634711666000859,0.638782895032085,6
0.5,train,rudder,-0.10568396043474808,0.5210337893319669,6
0.5,validation,flap_motor,0.8767996502805406,0.9542517670385556,5
0.5,validation,left_elevon,-0.8147331252341845,0.5831213100455257,5
0.5,validation,right_elevon,-0.7302933987502718,0.625680492384951,5
0.5,validation,rudder,0.1706263627519391,0.5457970406132496,5
1.0,train,flap_motor,0.8527712266770378,0.9306256439221419,6
1.0,train,left_elevon,-0.06896083545072584,0.632180846146705,6
1.0,train,right_elevon,0.12420815114450945,0.6717573857447431,6
1.0,train,rudder,-0.16234811929073095,0.5057585131433827,6
1.0,validation,flap_motor,0.7748655721293994,0.9170465325304504,5
1.0,validation,left_elevon,-0.8251471632286451,0.6084463963709381,5
1.0,validation,right_elevon,-0.9157926251628477,0.6560166809673981,5
1.0,validation,rudder,0.15290050591023457,0.5325692740733982,5
2.0,train,flap_motor,0.7377106387529176,0.8696174759181239,6
2.0,train,left_elevon,-0.18287477878516278,0.6342350345978897,6
2.0,train,right_elevon,0.07170637454951212,0.705750481253216,6
2.0,train,rudder,-0.2367129385228984,0.49054446380202615,6
2.0,validation,flap_motor,0.6389478863420534,0.8746401098401433,5
2.0,validation,left_elevon,-0.9665794072962056,0.6312151414712837,5
2.0,validation,right_elevon,-1.3140858702076137,0.6917373416552031,5
2.0,validation,rudder,0.12337172167653351,0.5198180054798769,5
