horizon_s,candidate,split,log_count,logs_improved,mean_gain,ci_low,ci_high,mean_gain_percent_of_state_only
0.1,state_plus_flap_motor,train,6,6,0.0022300858584366665,0.0016440593837852753,0.0030771205028002533,0.32314853656853837
0.1,state_plus_flap_motor,validation,5,5,0.0008867923545513579,0.00034066448302760843,0.0014212588751125964,0.13382175318930392
0.1,state_plus_left_elevon,train,6,6,0.017355755357416125,0.013256424653936763,0.02157637674557117,2.5149197388849633
0.1,state_plus_left_elevon,validation,5,5,0.007567119717866078,0.005593599816732265,0.009168923617096784,1.1419192125878246
0.1,state_plus_right_elevon,train,6,6,0.01496225147094754,0.010741684173941076,0.019771703495442956,2.168091263533956
0.1,state_plus_right_elevon,validation,5,4,0.005533693120805783,0.0022700372732375575,0.008292320678266685,0.8350641626950713
0.1,state_plus_rudder,train,6,6,0.003793894338479061,0.002663797053824579,0.0051992124059454525,0.5497507635130315
0.1,state_plus_rudder,validation,5,5,0.0027034576023962087,0.0018187436923727818,0.0037796286720253925,0.40796634541199184
0.1,state_plus_all_controls,train,6,6,0.03904282247907901,0.0322854114532062,0.04747062293753388,5.657464218200155
0.1,state_plus_all_controls,validation,5,4,0.005332337479069272,0.0013227090491853889,0.009551484345677718,0.8046785094432798
0.2,state_plus_flap_motor,train,6,6,0.002085033244781783,0.0019606308850507737,0.0021943807930186834,0.295521698244531
0.2,state_plus_flap_motor,validation,5,1,-0.0012356784497756345,-0.0020257287599785958,-0.00035189840439520115,-0.18446366947601484
0.2,state_plus_left_elevon,train,6,6,0.022773770497000245,0.019693483500918058,0.026113427405541362,3.2278350235173723
0.2,state_plus_left_elevon,validation,5,5,0.006732314198776046,0.003631482874317382,0.009259299413806054,1.00500852903698
0.2,state_plus_right_elevon,train,6,6,0.021361785870222676,0.018008664469671438,0.025398817549109203,3.027707713391846
0.2,state_plus_right_elevon,validation,5,4,0.005102246834994229,0.0021839449151164424,0.007954390641817822,0.7616699748436259
0.2,state_plus_rudder,train,6,6,0.006058043045217028,0.004247641272234111,0.007937077856361108,0.8586353110875098
0.2,state_plus_rudder,validation,5,5,0.004650263607840532,0.003713589354548086,0.00573408904637347,0.6941973369275721
0.2,state_plus_all_controls,train,6,6,0.05322815758112085,0.048259997724677726,0.05824552230463267,7.544280438773836
0.2,state_plus_all_controls,validation,5,2,-0.0006108473973998718,-0.006499387795742817,0.007034257221096607,-0.09118808573113278
0.5,state_plus_flap_motor,train,6,6,0.0031735245852500906,0.0025722260048769985,0.003819056404660811,0.44427605109059476
0.5,state_plus_flap_motor,validation,5,0,-0.0029899930456302347,-0.004298070927087805,-0.001609565781974398,-0.4374501100354079
0.5,state_plus_left_elevon,train,6,6,0.022417063018543775,0.01905324880277152,0.027879093485586925,3.138265977587436
0.5,state_plus_left_elevon,validation,5,5,0.008655391278633618,0.004196154993538248,0.012843175959425902,1.2663246400426675
0.5,state_plus_right_elevon,train,6,6,0.022452747668518142,0.01891636975921055,0.02786986086418845,3.143261633032756
0.5,state_plus_right_elevon,validation,5,4,0.007371163714952322,0.001228531060427196,0.012361122001297775,1.0784360796114265
0.5,state_plus_rudder,train,6,6,0.007712242882025322,0.0060323329590330115,0.009790415871159234,1.079671740563416
0.5,state_plus_rudder,validation,5,5,0.003928735779789116,0.0027368106598979727,0.0051244970770318865,0.5747926075214461
0.5,state_plus_all_controls,train,6,6,0.06255209730464527,0.05723044834152844,0.06868867488471773,8.756950838542947
0.5,state_plus_all_controls,validation,5,1,-0.011267510294758499,-0.020626602922830715,0.0030571966454826516,-1.6484899941391873
1.0,state_plus_flap_motor,train,6,6,0.0055231403530232774,0.004594373648493966,0.006784447827366351,0.7837734206580368
1.0,state_plus_flap_motor,validation,5,0,-0.003866682867547411,-0.004937987316720527,-0.0027953784183742947,-0.5581098836499047
1.0,state_plus_left_elevon,train,6,6,0.027239858583801457,0.024177612135852344,0.030931175492778056,3.865532247208
1.0,state_plus_left_elevon,validation,5,5,0.015551263042349195,0.010322391393403962,0.020781472483190823,2.244640666039352
1.0,state_plus_right_elevon,train,6,6,0.02721163833513855,0.025124462614716885,0.029809474108108542,3.8615275905430217
1.0,state_plus_right_elevon,validation,5,4,0.007757720933709323,0.0003245813566763456,0.015104165441712092,1.1197351518117105
1.0,state_plus_rudder,train,6,6,0.011266667044341261,0.008482054618970114,0.013962522351349038,1.5988212510161621
1.0,state_plus_rudder,validation,5,4,0.0032617295397363356,0.0009654214095659475,0.005469727222997522,0.4707920344846803
1.0,state_plus_all_controls,train,6,6,0.06800195565580182,0.062355163196977426,0.0728740865818462,9.649967588929622
1.0,state_plus_all_controls,validation,5,1,-0.02156097884509107,-0.033790118107262554,-0.0029337715940358057,-3.112071976630571
2.0,state_plus_flap_motor,train,6,6,0.012115145212983588,0.008349574623497854,0.016162007965710806,1.7427611527510742
2.0,state_plus_flap_motor,validation,5,1,-0.0031681347250897217,-0.0057566147980927075,-0.0005772732397760341,-0.4541565579586884
2.0,state_plus_left_elevon,train,6,6,0.034728584922072946,0.030127203156676125,0.03891374114448894,4.995699814422638
2.0,state_plus_left_elevon,validation,5,5,0.0258021031667093,0.02099213652851737,0.02907473357136823,3.698767691123303
2.0,state_plus_right_elevon,train,6,6,0.035980790817327045,0.030546440775296845,0.0415700344785058,5.175829375491043
2.0,state_plus_right_elevon,validation,5,4,0.01382852270351691,0.005283770345069234,0.02131404483661179,1.982338131944486
2.0,state_plus_rudder,train,6,6,0.014693534655212412,0.011418836373799146,0.017608734562490763,2.113661944907018
2.0,state_plus_rudder,validation,5,4,0.004019722974464446,-0.00047026811724419914,0.008509714066173091,0.5762329283450952
