split,log_id,proxy,flap_ratio,sample_count,correlation_with_dataset_flap_frequency,rmse_hz_vs_dataset_flap_frequency
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,rpm_raw_ratio_corrected,7.909090995788574,8535,0.9152898292635235,0.23184799547897422
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,rpm_estimate_ratio_corrected,7.909090995788574,8535,0.9999999999999666,2.36026554344498e-07
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,rpm_raw_ratio_corrected,7.909090995788574,8705,0.9249085715002363,0.2348850229357358
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,rpm_estimate_ratio_corrected,7.909090995788574,8705,0.999999999999967,2.464032613112235e-07
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,rpm_raw_ratio_corrected,7.909090995788574,8594,0.9070071067216038,0.23159614583480906
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,rpm_estimate_ratio_corrected,7.909090995788574,8594,0.9999999999999607,2.388655297744814e-07
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,rpm_raw_ratio_corrected,7.909090995788574,6831,0.9433797658718676,0.22883518930962624
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,rpm_estimate_ratio_corrected,7.909090995788574,6831,0.9999999999999681,2.6708431729003273e-07
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,rpm_raw_ratio_corrected,7.909090995788574,5771,0.919757447291876,0.23370616436561548
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,rpm_estimate_ratio_corrected,7.909090995788574,5771,0.999999999999952,2.683491424429219e-07
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,rpm_raw_ratio_corrected,7.909090995788574,6272,0.9132549483824682,0.23280983149327364
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,rpm_estimate_ratio_corrected,7.909090995788574,6272,0.9999999999999578,2.5274451805254077e-07
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,rpm_raw_ratio_corrected,7.909090995788574,7994,0.914160371105494,0.2285415789028079
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,rpm_estimate_ratio_corrected,7.909090995788574,7994,0.9999999999999633,2.3955952903131406e-07
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,rpm_raw_ratio_corrected,7.909090995788574,7544,0.9153630419245863,0.2291283398941874
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,rpm_estimate_ratio_corrected,7.909090995788574,7544,0.999999999999969,2.29730192670393e-07
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,rpm_raw_ratio_corrected,7.909090995788574,9740,0.9105894228236009,0.22644548754869248
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,rpm_estimate_ratio_corrected,7.909090995788574,9740,0.999999999999966,2.3067635283041128e-07
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,rpm_raw_ratio_corrected,7.909090995788574,7885,0.8721804859462299,0.22826200018733406
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,rpm_estimate_ratio_corrected,7.909090995788574,7885,0.9999999999999476,2.3173560282941664e-07
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,rpm_raw_ratio_corrected,7.909090995788574,8000,0.8903592949481783,0.22730340406252747
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,rpm_estimate_ratio_corrected,7.909090995788574,8000,0.9999999999999604,2.2667935736716108e-07
