split,log_id,control,pwm_output_index,sample_count,command_pwm_correlation
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,flap_motor,2,8535,0.9917137433467514
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,left_elevon,0,8535,-0.9864798215062875
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,right_elevon,1,8535,0.9889220998350702
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,rudder,4,8535,-0.9898945646499677
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,flap_motor,2,8705,0.9967442066343115
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,left_elevon,0,8705,-0.9785176900342608
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,right_elevon,1,8705,0.9830286432628556
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,rudder,4,8705,-0.9850534734326176
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,flap_motor,2,8594,0.9974968043745489
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,left_elevon,0,8594,-0.9866706045197672
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,right_elevon,1,8594,0.9864774611995416
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,rudder,4,8594,-0.9849351405870047
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,flap_motor,2,6831,0.9944331068683646
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,left_elevon,0,6831,-0.9311613394663252
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,right_elevon,1,6831,0.9192217760685176
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,rudder,4,6831,-0.9555083942464268
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,flap_motor,2,5771,0.9735149884979011
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,left_elevon,0,5771,-0.9552354434455319
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,right_elevon,1,5771,0.9607822315500821
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,rudder,4,5771,-0.9724200345852669
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,flap_motor,2,6272,0.9942359045210717
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,left_elevon,0,6272,-0.9509108861700124
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,right_elevon,1,6272,0.9446157201158302
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,rudder,4,6272,-0.9721357720364129
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,flap_motor,2,7994,0.997448868745943
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,left_elevon,0,7994,-0.988073300197477
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,right_elevon,1,7994,0.9872079995892379
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,rudder,4,7994,-0.9931739365721144
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,flap_motor,2,7544,0.9980020867734818
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,left_elevon,0,7544,-0.979522294171964
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,right_elevon,1,7544,0.9818307661730535
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,rudder,4,7544,-0.9949270679779101
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,flap_motor,2,9740,0.9980933771723944
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,left_elevon,0,9740,-0.983441750538383
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,right_elevon,1,9740,0.9792555657858276
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,rudder,4,9740,-0.9900034087497076
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,flap_motor,2,7885,0.9949310679962949
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,left_elevon,0,7885,-0.9886224111204573
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,right_elevon,1,7885,0.9866360536398268
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,rudder,4,7885,-0.9878264748435236
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,flap_motor,2,8000,0.9968681333990981
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,left_elevon,0,8000,-0.9870393608713134
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,right_elevon,1,8000,0.978007235309879
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,rudder,4,8000,-0.9774852243412503
