horizon_s,model,split,standardized_trajectory_innovation_rmse_per_log_macro,window_count,log_count
0.1,state_history_only,train,0.6901116997519421,4151,6
0.1,state_history_only,validation,0.6626668186725244,3860,5
0.1,state_plus_flap_motor,train,0.6878816138935054,4151,6
0.1,state_plus_flap_motor,validation,0.6617800263179732,3860,5
0.1,state_plus_left_elevon,train,0.672755944394526,4151,6
0.1,state_plus_left_elevon,validation,0.6550996989546585,3860,5
0.1,state_plus_right_elevon,train,0.6751494482809947,4151,6
0.1,state_plus_right_elevon,validation,0.6571331255517187,3860,5
0.1,state_plus_rudder,train,0.686317805413463,4151,6
0.1,state_plus_rudder,validation,0.6599633610701282,3860,5
0.1,state_plus_all_controls,train,0.6510688772728631,4151,6
0.1,state_plus_all_controls,validation,0.6573344811934552,3860,5
0.2,state_history_only,train,0.705543199422369,4151,6
0.2,state_history_only,validation,0.669876324853391,3860,5
0.2,state_plus_flap_motor,train,0.7034581661775872,4151,6
0.2,state_plus_flap_motor,validation,0.6711120033031667,3860,5
0.2,state_plus_left_elevon,train,0.6827694289253688,4151,6
0.2,state_plus_left_elevon,validation,0.6631440106546149,3860,5
0.2,state_plus_right_elevon,train,0.6841814135521463,4151,6
0.2,state_plus_right_elevon,validation,0.6647740780183968,3860,5
0.2,state_plus_rudder,train,0.6994851563771521,4151,6
0.2,state_plus_rudder,validation,0.6652260612455504,3860,5
0.2,state_plus_all_controls,train,0.6523150418412481,4151,6
0.2,state_plus_all_controls,validation,0.6704871722507908,3860,5
0.5,state_history_only,train,0.7143136744507886,4151,6
0.5,state_history_only,validation,0.6835049247989033,3860,5
0.5,state_plus_flap_motor,train,0.7111401498655384,4151,6
0.5,state_plus_flap_motor,validation,0.6864949178445335,3860,5
0.5,state_plus_left_elevon,train,0.6918966114322447,4151,6
0.5,state_plus_left_elevon,validation,0.6748495335202698,3860,5
0.5,state_plus_right_elevon,train,0.6918609267822703,4151,6
0.5,state_plus_right_elevon,validation,0.676133761083951,3860,5
0.5,state_plus_rudder,train,0.7066014315687633,4151,6
0.5,state_plus_rudder,validation,0.6795761890191143,3860,5
0.5,state_plus_all_controls,train,0.6517615771461432,4151,6
0.5,state_plus_all_controls,validation,0.6947724350936619,3860,5
1.0,state_history_only,train,0.7046858450987257,4151,6
1.0,state_history_only,validation,0.6928174864527095,3860,5
1.0,state_plus_flap_motor,train,0.6991627047457025,4151,6
1.0,state_plus_flap_motor,validation,0.6966841693202569,3860,5
1.0,state_plus_left_elevon,train,0.6774459865149242,4151,6
1.0,state_plus_left_elevon,validation,0.6772662234103604,3860,5
1.0,state_plus_right_elevon,train,0.6774742067635872,4151,6
1.0,state_plus_right_elevon,validation,0.6850597655190002,3860,5
1.0,state_plus_rudder,train,0.6934191780543845,4151,6
1.0,state_plus_rudder,validation,0.6895557569129732,3860,5
1.0,state_plus_all_controls,train,0.6366838894429239,4151,6
1.0,state_plus_all_controls,validation,0.7143784652978006,3860,5
2.0,state_history_only,train,0.695169570073269,4151,6
2.0,state_history_only,validation,0.6975864753180346,3860,5
2.0,state_plus_flap_motor,train,0.6830544248602854,4151,6
2.0,state_plus_flap_motor,validation,0.7007546100431243,3860,5
2.0,state_plus_left_elevon,train,0.6604409851511961,4151,6
2.0,state_plus_left_elevon,validation,0.6717843721513252,3860,5
2.0,state_plus_right_elevon,train,0.659188779255942,4151,6
2.0,state_plus_right_elevon,validation,0.6837579526145177,3860,5
2.0,state_plus_rudder,train,0.6804760354180566,4151,6
2.0,state_plus_rudder,validation,0.6935667523435701,3860,5
2.0,state_plus_all_controls,train,0.6159092508441063,4151,6
2.0,state_plus_all_controls,validation,0.7345810037139353,3860,5
