experiment,horizon_s,signal,median,p10,p90
A2_multi_horizon,0.2,omega,0.7156613395452206,0.48724565975677575,0.9585321963568488
A2_multi_horizon,0.2,velocity,0.635512791673557,0.44402239403072463,0.8155944798206727
A2_multi_horizon,0.2,frequency,0.35652505119912314,0.191865529534688,0.5326090595216717
A2_multi_horizon,0.5,omega,0.6097298828123152,0.45593004807241505,0.7988633411723494
A2_multi_horizon,0.5,velocity,0.6319901175976081,0.46585096210522986,0.7722083231464058
A2_multi_horizon,0.5,frequency,0.3424240145921467,0.22352981476037934,0.49965287760513954
A2_multi_horizon,1.0,omega,0.5039788909559666,0.35560841780305724,0.6824959401831397
A2_multi_horizon,1.0,velocity,0.6694892759955248,0.44029143339537075,0.9249424189065767
A2_multi_horizon,1.0,frequency,0.39092862394536265,0.23435202075926206,0.6172934512027969
A2_multi_horizon,2.0,omega,0.41100115610004806,0.2825659094973684,0.5875418970580124
A2_multi_horizon,2.0,velocity,0.6483336648507058,0.39639990854158674,1.0075646307587944
A2_multi_horizon,2.0,frequency,0.5290766906737723,0.2544270258704825,0.8004913026181775
A2_multi_horizon,3.0,omega,0.3701665896233124,0.25908934061408506,0.5511639964515022
A2_multi_horizon,3.0,velocity,0.6115361586933938,0.3392038723589525,1.0413491901342258
A2_multi_horizon,3.0,frequency,0.6081083456493939,0.275645966401836,0.8385242422253502
A2_multi_horizon,5.0,omega,0.3283399431458292,0.23311136545625744,0.4937614022785103
A2_multi_horizon,5.0,velocity,0.6113026996172212,0.29723946101200593,1.1876660178271858
A2_multi_horizon,5.0,frequency,0.6646280099207835,0.310210599650219,0.8424140756791768
A2_multi_horizon,5.0,omega_last1s,0.1680648072570562,0.10045590951331063,0.39098625294908784
