case,log_id,controller,common_duration_s,height_error_m,cross_track_m,speed_error_m_s,surface_limit_fraction
0,2026.9.7/log_21_2026-9-7-05-54-56.ulg,e624_baseline_a,4.36,0.27099087968377816,1.8448736444106273,0.27235802079053223,0.0
0,2026.9.7/log_21_2026-9-7-05-54-56.ulg,open_hold,4.36,0.4573349831060249,4.241645152438571,0.40651114006766037,0.0
0,2026.9.7/log_21_2026-9-7-05-54-56.ulg,previous_px4_like,4.36,0.29081288320166493,0.49916130049110335,0.4723695835865221,0.4036697247706422
1,2026.9.7/log_22_2026-9-7-06-01-40.ulg,e624_baseline_a,5.96,0.11662376232757617,1.1397366575226968,0.16309190735274584,0.0
1,2026.9.7/log_22_2026-9-7-06-01-40.ulg,open_hold,5.96,0.3900799687519275,1.673945512761021,0.11843782829510767,0.0
1,2026.9.7/log_22_2026-9-7-06-01-40.ulg,previous_px4_like,5.96,1.6571728191472346,1.5642564022045593,1.6914058291256948,0.7986577181208053
2,2026.9.7/log_23_2026-9-7-06-09-22.ulg,e624_baseline_a,5.4,0.39199955747900955,0.20711473114391438,0.22609084122479808,0.0
2,2026.9.7/log_23_2026-9-7-06-09-22.ulg,open_hold,5.4,1.1166169804020116,1.8547392758258496,0.34226840482714116,0.0
2,2026.9.7/log_23_2026-9-7-06-09-22.ulg,previous_px4_like,5.4,1.724414079386983,0.8940020614441061,1.7135606079914256,0.6481481481481481
3,2026.9.7/log_24_2026-9-7-06-16-04.ulg,e624_baseline_a,4.28,0.3437426192443769,3.3862810110977817,0.5309071688658318,0.0
3,2026.9.7/log_24_2026-9-7-06-16-04.ulg,open_hold,4.28,0.11126244280025162,4.560483654265185,0.849597576114175,0.0
3,2026.9.7/log_24_2026-9-7-06-16-04.ulg,previous_px4_like,4.28,0.45957472193117266,1.9100457061901726,0.5761578910183319,0.8925233644859814
4,2026.9.7/log_26_2026-9-7-06-30-26.ulg,e624_baseline_a,6.82,0.6175876577878174,2.539754547671249,0.4313231616117778,0.07917888563049853
4,2026.9.7/log_26_2026-9-7-06-30-26.ulg,open_hold,6.82,0.28027569552014076,3.1320411261174317,0.29842249861602577,0.0
4,2026.9.7/log_26_2026-9-7-06-30-26.ulg,previous_px4_like,6.82,1.1363274563628174,4.491868634773924,1.7487184962312614,0.782991202346041
5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,e624_baseline_a,4.94,0.43758592451120354,0.49597585179888687,0.16212708117713548,0.0
5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,open_hold,4.94,0.5990133981732552,0.3147330774099344,0.12886852063626006,0.0
5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,previous_px4_like,4.94,2.1129556871885313,3.180669115586577,1.6942529020132298,0.7611336032388664
6,2026.9.7/log_28_2026-9-7-06-44-02.ulg,e624_baseline_a,4.48,0.1310710247866401,1.9665285168458584,0.09036114142065517,0.0
6,2026.9.7/log_28_2026-9-7-06-44-02.ulg,open_hold,4.48,0.09663176173371683,4.479429187095613,0.07464349606054815,0.0
6,2026.9.7/log_28_2026-9-7-06-44-02.ulg,previous_px4_like,4.48,0.7556007295788453,2.5408502397794916,1.9689577512651069,0.8348214285714286
7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,e624_baseline_a,7.5,0.48714061857839286,1.2386209908004986,0.3340614732605796,0.0
7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,open_hold,7.5,2.165121855953462,3.4059671968544785,0.18898729231705458,0.0
