case,log_id,controller,common_duration_s,height_error_m,cross_track_m,speed_error_m_s,surface_limit_fraction
7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,previous_px4_like,7.5,2.04561948025558,2.721675186195457,1.797496823378908,0.8666666666666667
8,2026.9.7/log_30_2026-9-7-06-58-22.ulg,e624_baseline_a,6.44,0.8340864046523271,1.356780335056047,0.543667066762673,0.0
8,2026.9.7/log_30_2026-9-7-06-58-22.ulg,open_hold,6.44,2.575035716909883,0.4310436169386523,0.4488813208305282,0.0
8,2026.9.7/log_30_2026-9-7-06-58-22.ulg,previous_px4_like,6.44,1.0400584835092932,0.3028714737278586,1.3593013539340113,0.5900621118012422
9,9.17数据/log_10_2026-9-17-06-34-34.ulg,e624_baseline_a,3.78,0.4151374829715431,0.8177892645999227,0.3044969042848789,0.0
9,9.17数据/log_10_2026-9-17-06-34-34.ulg,open_hold,3.78,0.3870829565038874,1.5051298896873635,0.5103654701682839,0.0
9,9.17数据/log_10_2026-9-17-06-34-34.ulg,previous_px4_like,3.78,2.160200105566973,1.5359686855822168,1.780180035447451,0.8941798941798942
10,9.17数据/log_11_2026-9-17-06-40-30.ulg,e624_baseline_a,5.58,0.5270893479469502,0.4252647366113892,0.3733311236293204,0.0
10,9.17数据/log_11_2026-9-17-06-40-30.ulg,open_hold,5.58,0.47964013434257413,1.2476578285387165,0.47557502518481326,0.0
10,9.17数据/log_11_2026-9-17-06-40-30.ulg,previous_px4_like,5.58,2.179029281371162,3.2095880359277396,2.109389350842071,0.7956989247311828
11,9.17数据/log_12_2026-9-17-06-46-02.ulg,e624_baseline_a,5.24,0.40349958963034926,1.998826628766128,0.20147944200216672,0.0
11,9.17数据/log_12_2026-9-17-06-46-02.ulg,open_hold,5.24,0.3552907465777297,3.410010817786033,0.5321509792297013,0.0
11,9.17数据/log_12_2026-9-17-06-46-02.ulg,previous_px4_like,5.24,1.7270948341739119,1.0716589973556427,1.4470168294505028,0.7633587786259542
12,9.17数据/log_13_2026-9-17-06-52-30.ulg,e624_baseline_a,5.08,0.07342343233621867,3.602196036980534,0.166376307904157,0.0
12,9.17数据/log_13_2026-9-17-06-52-30.ulg,open_hold,5.08,0.07744634084280753,4.8312923440800875,0.34758279269689385,0.0
12,9.17数据/log_13_2026-9-17-06-52-30.ulg,previous_px4_like,5.08,0.818674325378966,2.9485128947616235,1.340796404973815,0.9606299212598425
13,9.17数据/log_6_2026-9-17-06-02-24.ulg,e624_baseline_a,4.68,0.3252160835785879,3.0190663861114877,0.22645878521920454,0.0
13,9.17数据/log_6_2026-9-17-06-02-24.ulg,open_hold,4.68,0.14706508028512208,4.822202625868129,0.2714241733545122,0.0
13,9.17数据/log_6_2026-9-17-06-02-24.ulg,previous_px4_like,4.68,0.9396006803115908,1.2662151057238589,1.12166395636617,0.9487179487179487
14,9.17数据/log_7_2026-9-17-06-12-16.ulg,e624_baseline_a,6.5600000000000005,0.19245423619630062,1.8188472227158206,0.20953158689239892,0.0
14,9.17数据/log_7_2026-9-17-06-12-16.ulg,open_hold,6.5600000000000005,1.9161556644495505,3.3263489110026283,0.3596105634108292,0.0
14,9.17数据/log_7_2026-9-17-06-12-16.ulg,previous_px4_like,6.5600000000000005,1.627428690751194,1.0956970689146854,1.6089179226288046,0.6402439024390244
15,9.17数据/log_8_2026-9-17-06-17-52.ulg,e624_baseline_a,5.5600000000000005,0.4970776839941786,1.3572148999376197,0.33423434488776205,0.0
15,9.17数据/log_8_2026-9-17-06-17-52.ulg,open_hold,5.5600000000000005,0.3547419827613733,3.3922294090293894,0.5973500808787071,0.0
15,9.17数据/log_8_2026-9-17-06-17-52.ulg,previous_px4_like,5.5600000000000005,1.9952683081083114,1.9517731198728003,1.5053865855269817,0.841726618705036
16,9.17数据/log_9_2026-9-17-06-28-10.ulg,e624_baseline_a,8.06,0.83900122314686,3.1468897584394155,0.43405323505526366,0.007444168734491315
16,9.17数据/log_9_2026-9-17-06-28-10.ulg,open_hold,8.06,0.3822995570033179,5.018664357674136,0.7697844946574394,0.0
16,9.17数据/log_9_2026-9-17-06-28-10.ulg,previous_px4_like,8.06,1.0419071436245904,3.6429612279904093,1.6268178488071463,0.8759305210918115
