log,diagnostic,n,n_total,rmse,p95_abs,max_abs,unit
log_0_2026-9-18-18-15-06.ulg,attitude_roll,5265,8031,0.002987297388079091,0.005376174251951938,0.027053849746687453,rad/s
log_0_2026-9-18-18-15-06.ulg,attitude_pitch,5265,8031,0.0035699604041777083,0.005655884985668305,0.05877074212971686,rad/s
log_0_2026-9-18-18-15-06.ulg,attitude_yaw,5265,8031,0.0001152945115316321,3.894277986749019e-08,0.00452398776181423,rad/s
log_0_2026-9-18-18-15-06.ulg,allocation_0,8155,10243,0.000761246659379068,6.631170108573055e-08,0.03496859277103681,normalized
log_0_2026-9-18-18-15-06.ulg,allocation_1,8155,10243,0.0007451939073107725,8.006250088454775e-08,0.038623400577051825,normalized
log_0_2026-9-18-18-15-06.ulg,allocation_2,8155,10243,0.00018685914378571613,0.0,0.009413008578121662,normalized
