flight,split,firmware,topic,instance,rows,timestamp_sample_present,mean_rate_hz,duplicate_or_backward,interval_ms_count,interval_ms_mean,interval_ms_median,interval_ms_p05,interval_ms_p95,interval_ms_min,interval_ms_max,publish_lag_ms_count,publish_lag_ms_mean,publish_lag_ms_median,publish_lag_ms_p05,publish_lag_ms_p95,publish_lag_ms_min,publish_lag_ms_max
2026.9.7/log_21_2026-9-7-05-54-56.ulg,validation,c9af571575af33d5403fbb479256848797c801e2,sensor_gyro,0,20985,True,99.96063645028691,0,20984,10.003937905070531,9.979000000000001,7.48,12.475,4.8950000000000005,89.804,20985,0.0802183940910174,0.069,0.066,0.16679999999999928,0.065,0.327
2026.9.7/log_21_2026-9-7-05-54-56.ulg,validation,c9af571575af33d5403fbb479256848797c801e2,sensor_gyro,1,210,True,1.0000018660321903,0,209,999.9981339712918,1000.326,997.8144,1002.7950000000001,995.373,1002.851,210,0.1908619047619048,0.187,0.185,0.22119999999999992,0.184,0.256
2026.9.7/log_21_2026-9-7-05-54-56.ulg,validation,c9af571575af33d5403fbb479256848797c801e2,sensor_selection,0,1,False,,0,0,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0
2026.9.7/log_21_2026-9-7-05-54-56.ulg,validation,c9af571575af33d5403fbb479256848797c801e2,vehicle_angular_velocity,0,20985,True,99.96020455828823,0,20984,10.00398112847884,9.856,7.389,12.322000000000001,4.624,91.153,20985,0.18200681439123184,0.179,0.177,0.19,0.176,0.56
2026.9.7/log_21_2026-9-7-05-54-56.ulg,validation,c9af571575af33d5403fbb479256848797c801e2,vehicle_attitude,0,10493,True,49.98070274220945,0,10492,20.007721883339684,19.7145,14.519,24.929000000000002,13.552,98.507,10493,0.5701979414847993,0.638,0.374,0.881,0.302,1.651
2026.9.7/log_21_2026-9-7-05-54-56.ulg,validation,c9af571575af33d5403fbb479256848797c801e2,vehicle_imu,0,420,True,2.0000137852978805,0,419,499.996553699284,498.92900000000003,494.1238,503.9301,493.911,504.128,420,0.13057380952380954,0.098,0.095,0.2074499999999996,0.091,5.131
2026.9.7/log_21_2026-9-7-05-54-56.ulg,validation,c9af571575af33d5403fbb479256848797c801e2,vehicle_imu,1,420,True,2.0000259000967398,0,419,499.9935250596659,497.82,497.6286,502.672,492.74,503.024,420,0.3264190476190476,0.3065,0.293,0.4283499999999997,0.262,0.7000000000000001
2026.9.7/log_21_2026-9-7-05-54-56.ulg,validation,c9af571575af33d5403fbb479256848797c801e2,vehicle_local_position,0,10493,True,49.98065321893652,0,10492,20.007741707967977,19.714,9.90155,29.565,8.899000000000001,98.504,10493,0.6343008672448299,0.604,0.556,0.8643999999999996,0.482,1.558
2026.9.7/log_22_2026-9-7-06-01-40.ulg,validation,c9af571575af33d5403fbb479256848797c801e2,sensor_gyro,0,21987,True,100.00029109518013,0,21986,9.999970890566724,9.979000000000001,7.481,12.475,4.886,12.74,21987,0.08202947196070405,0.069,0.066,0.169,0.064,0.335
2026.9.7/log_22_2026-9-7-06-01-40.ulg,validation,c9af571575af33d5403fbb479256848797c801e2,sensor_gyro,1,220,True,0.9999917717572022,0,219,1000.0082283105024,1000.357,995.4279,1002.8261,995.414,1002.8670000000001,220,0.18756818181818183,0.187,0.163,0.19805,0.161,0.281
