cohort,flights,valid_rows,comparison_rows,gyro_vs_local_ms,gyro_vs_attitude_ms,p_rmse_rad_s,q_rmse_rad_s,r_rmse_rad_s
Validation,17,131684,131684,-4.956352941176471,12.392764705882353,0.008665364422155382,0.0034635282784165884,0.0012223521651627178
Sep18 development,3,22541,22541,-4.947333333333334,12.370666666666667,0.0013241648230956666,0.0021700869231723666,0.0003594324557587667
