flight,split,firmware,cached_local_sample_timestamp_present_rows,cached_rows,valid_core_rows,comparison_rows,excluded_from_sensitivity,label_max_abs_difference,selected_sample_changed_fraction,gyro_publication_age_ms_count,gyro_publication_age_ms_mean,gyro_publication_age_ms_median,gyro_publication_age_ms_p05,gyro_publication_age_ms_p95,gyro_publication_age_ms_min,gyro_publication_age_ms_max,gyro_sample_age_to_grid_ms_count,gyro_sample_age_to_grid_ms_mean,gyro_sample_age_to_grid_ms_median,gyro_sample_age_to_grid_ms_p05,gyro_sample_age_to_grid_ms_p95,gyro_sample_age_to_grid_ms_min,gyro_sample_age_to_grid_ms_max,local_publication_lag_ms_count,local_publication_lag_ms_mean,local_publication_lag_ms_median,local_publication_lag_ms_p05,local_publication_lag_ms_p95,local_publication_lag_ms_min,local_publication_lag_ms_max,gyro_minus_local_sample_ms_count,gyro_minus_local_sample_ms_mean,gyro_minus_local_sample_ms_median,gyro_minus_local_sample_ms_p05,gyro_minus_local_sample_ms_p95,gyro_minus_local_sample_ms_min,gyro_minus_local_sample_ms_max,gyro_minus_attitude_sample_ms_count,gyro_minus_attitude_sample_ms_mean,gyro_minus_attitude_sample_ms_median,gyro_minus_attitude_sample_ms_p05,gyro_minus_attitude_sample_ms_p95,gyro_minus_attitude_sample_ms_min,gyro_minus_attitude_sample_ms_max,causal_aligned_sample_age_ms_count,causal_aligned_sample_age_ms_mean,causal_aligned_sample_age_ms_median,causal_aligned_sample_age_ms_p05,causal_aligned_sample_age_ms_p95,causal_aligned_sample_age_ms_min,causal_aligned_sample_age_ms_max,timing_sensitivity_rmse_p,timing_sensitivity_rmse_q,timing_sensitivity_rmse_r
2026.9.7/log_21_2026-9-7-05-54-56.ulg,validation,c9af571575af33d5403fbb479256848797c801e2,10493,10493,8468,8468,0,0.0,0.0,8468,4.299709848842703,5.307,0.388,10.246,0.145,11.224,8468,4.481811407652339,5.487,0.5690000000000001,10.426649999999999,0.515,11.412,8468,0.6376335616438358,0.608,0.557,0.8696499999999996,0.482,1.558,8468,-3.8441778460085025,-4.9270000000000005,-9.855,0.0,-9.862,0.0,8468,13.694953235710912,12.319,7.392,24.639,0.0,24.646,8468,3.8441778460085025,4.9270000000000005,0.0,9.855,0.0,9.862,0.0,0.0,0.0
2026.9.7/log_22_2026-9-7-06-01-40.ulg,validation,c9af571575af33d5403fbb479256848797c801e2,10995,10995,9234,9234,0,0.0,0.00021659085986571366,9234,4.282954624214858,5.308,0.384,10.245000000000001,0.017,12.864,9234,4.458701321204244,5.481,0.562,10.424,0.41500000000000004,13.044,9234,0.63056443578081,0.603,0.499,0.868,0.40700000000000003,5.548,9234,-3.8281368854234348,-4.9270000000000005,-9.855,0.0,-12.32,4.99,9234,13.688676846437078,12.32,7.392,24.639,0.0,24.949,9234,3.8300280485163527,4.9270000000000005,0.0,9.855,0.0,12.32,0.002207720062088653,0.0017975811819864094,0.0010416307146762433
2026.9.7/log_23_2026-9-7-06-09-22.ulg,validation,c9af571575af33d5403fbb479256848797c801e2,10653,10653,8211,8211,0,0.0,0.0,8211,4.275663500182683,5.296,0.377,10.242,0.013000000000000001,13.004,8211,4.457597125806845,5.476,0.558,10.421,0.504,13.182,8211,0.6319360613810742,0.597,0.546,0.864,0.47800000000000004,1.441,8211,-3.8256610644257703,-4.9270000000000005,-9.855,0.0,-12.321,0.0,8211,13.70532614785044,12.32,7.392,24.639,-2.464,24.645,8211,3.8256610644257703,4.9270000000000005,0.0,9.855,0.0,12.321,0.0,0.0,0.0
2026.9.7/log_24_2026-9-7-06-16-04.ulg,validation,c9af571575af33d5403fbb479256848797c801e2,10246,10246,8220,8220,0,0.0,0.0009732360097323601,8220,4.233408150851582,5.295,0.362,10.28205,0.107,12.908,8220,4.321978223844282,5.423,0.444,10.41405,0.426,12.99,8220,0.5207076642335767,0.489,0.437,0.728,0.366,5.514,8220,-3.8012705596107055,-4.988,-9.978,0.0,-12.474,4.99,8220,13.670280291970805,12.474,7.484,24.947,-2.495,27.442,8220,3.81098199513382,4.988,0.0,9.978,0.0,12.474,0.023350892598848965,0.005829630492211702,0.002060776710119058
2026.9.7/log_26_2026-9-7-06-30-26.ulg,validation,c9af571575af33d5403fbb479256848797c801e2,10051,10051,7566,7566,0,0.0,0.0009251916468411313,7566,4.249438012159662,5.311999999999999,0.364,10.338000000000001,0.148,12.898,7566,4.336968279143537,5.426,0.446,10.42,0.428,12.979000000000001,7566,0.5226940259053661,0.487,0.438,0.73,0.383,5.785,7566,-3.814274253238171,-4.989,-9.979000000000001,0.0,-12.475,4.9910000000000005,7566,13.6904681469733,12.475,7.485,24.949,0.0,24.957,7566,3.8235075337034106,4.989,0.0,9.979000000000001,0.0,12.475,0.030757300309207217,0.00610069615286547,0.0028288398977268105
2026.9.7/log_27_2026-9-7-06-37-24.ulg,validation,c9af571575af33d5403fbb479256848797c801e2,10580,10580,7866,7866,0,0.0,0.00038138825324180017,7866,4.294249300788202,5.308,0.385,10.244,0.161,12.976,7866,4.465497584541064,5.457,0.56025,10.423,0.40900000000000003,13.154,7866,0.6196240783117213,0.598,0.456,0.859,0.381,5.539,7866,-3.8458735062293408,-4.928,-9.856,0.0,-12.322000000000001,4.99,7866,13.676475336892954,12.321,7.392,24.641000000000002,0.0,24.953,7866,3.8496796338672765,4.928,0.0,9.856,0.0,12.322000000000001,0.010664060615490543,0.003338480447421164,0.0020142631003956866
2026.9.7/log_28_2026-9-7-06-44-02.ulg,validation,c9af571575af33d5403fbb479256848797c801e2,9264,9264,7336,7336,0,0.0,0.0002726281352235551,7336,4.300474645583424,5.3,0.375,10.24325,0.10300000000000001,12.783,7336,4.468519765539804,5.454,0.548,10.422,0.4,13.023,7336,0.6183681842966194,0.589,0.453,0.864,0.357,5.529,7336,-3.850151581243184,-4.928,-9.856,0.0,-12.321,4.99,7336,13.645580834242091,12.32,7.392,24.641000000000002,0.0,24.952,7336,3.85287213740458,4.928,0.0,9.856,0.0,12.321,0.005961103035795966,0.0035843641119308552,0.001129608876147915
2026.9.7/log_29_2026-9-7-06-51-04.ulg,validation,c9af571575af33d5403fbb479256848797c801e2,12733,12733,10263,10263,0,0.0,0.0010718113612004287,10263,4.2622335574393455,5.319,0.364,10.3329,0.125,12.85,10263,4.349847997661502,5.426,0.44510000000000005,10.416,0.425,12.929,10263,0.5165163207639092,0.487,0.437,0.707,0.365,5.6450000000000005,10263,-3.8333316768975934,-4.989,-9.979000000000001,0.0,-12.475,4.99,10263,13.671722595732245,12.474,7.485,24.948,0.0,24.955000000000002,10263,3.842812238136997,4.989,0.0,9.979000000000001,0.0,12.475,0.021787765503762564,0.005505849068815981,0.002083462053401284
2026.9.7/log_30_2026-9-7-06-58-22.ulg,validation,c9af571575af33d5403fbb479256848797c801e2,13193,13193,8338,8338,0,0.0,0.0014391940513312545,8338,4.22616418805469,5.298,0.36,10.314,0.218,12.931000000000001,8338,4.314383665147519,5.41,0.442,10.408,0.405,13.015,8338,0.509860038378508,0.47800000000000004,0.425,0.657,0.35000000000000003,5.61,8338,-3.8045236267690092,-4.989,-9.979000000000001,0.0,-12.475,4.99,8338,13.71873290957064,12.474,7.485,24.948,0.0,24.955000000000002,8338,3.8188857040057567,4.989,0.0,9.979000000000001,0.0,12.475,0.00857579747240866,0.007551742545050077,0.0022368758851028484
9.17数据/log_10_2026-9-17-06-34-34.ulg,validation,a644ca7868f07004e45658d4ae9a7a8c880c6bb5,0,9272,6607,6607,0,0.0,0.0007567731194187983,6607,4.254114121386409,5.328,0.3683,10.301,0.014,12.862,6607,4.343522022097775,5.434,0.45,10.422,0.389,12.941,6607,0.5163211745118814,0.487,0.444,0.67,0.362,5.537,6607,-3.8272008475858943,-4.989,-9.979000000000001,0.0,-12.475,4.99,6607,13.64988693809596,12.475,7.485,24.949,0.0,29.941,6607,3.8347531406084463,4.989,0.0,9.979000000000001,0.0,12.475,0.00544950170723844,0.004220041579768118,0.0017812453440435318
9.17数据/log_11_2026-9-17-06-40-30.ulg,validation,a644ca7868f07004e45658d4ae9a7a8c880c6bb5,0,11858,7409,7409,0,0.0,0.0014846807936293696,7409,4.204621811310568,5.296,0.373,10.3082,0.171,13.042,7409,4.293421244432447,5.429,0.456,10.426,0.421,13.121,7409,0.5090619516803888,0.484,0.443,0.6365999999999995,0.37,5.603,7409,-3.784359292752059,-4.988,-9.979000000000001,0.0,-12.475,4.993,7409,13.718351464435147,12.475,7.485,24.949,0.0,44.909,7409,3.7981661492779053,4.988,0.0,9.979000000000001,0.0,12.475,0.020330572176909256,0.007309483885490149,0.002501629621680706
