tau_s,interval,group,cohort,axis,component,seed,rmse,true_amplitude,pred_amplitude,error_mse,cross_term
0.05,0_500ms,high,Sep7,q,slow,42,0.16074491911862085,0.5905427793181774,0.5711510664589228,0.026809117491405757,0.014551027615522365
0.05,0_500ms,high,Sep7,r,fast,17,0.071492350208307,0.07426574204924968,0.04861686401623937,0.005196611324862933,0.0044297422542166585
0.05,0_500ms,high,Sep7,r,fast,23,0.069526961622698,0.07426574204924968,0.047081375162834414,0.004895277615629062,0.004203540948323305
0.05,0_500ms,high,Sep7,r,fast,42,0.06997653096022985,0.07426574204924968,0.047112324038747565,0.004959957415401387,0.004134826158040571
0.05,0_500ms,high,Sep7,r,raw,17,0.15542082314274427,0.23619175839969517,0.20622546179585258,0.024823811724083898,0.0044297422542166585
0.05,0_500ms,high,Sep7,r,raw,23,0.15433490922251744,0.23619175839969517,0.20153320419502174,0.02438589672666118,0.004203540948323305
0.05,0_500ms,high,Sep7,r,raw,42,0.14782242819570668,0.23619175839969517,0.20391887897511296,0.022312002609838025,0.004134826158040571
0.05,0_500ms,high,Sep7,r,slow,17,0.12081202919100832,0.20394600860027332,0.18391427694223156,0.015197458145004308,0.0044297422542166585
0.05,0_500ms,high,Sep7,r,slow,23,0.12145855694035992,0.20394600860027332,0.18045445614236963,0.015287078162708813,0.004203540948323305
0.05,0_500ms,high,Sep7,r,slow,42,0.11300902800829278,0.20394600860027332,0.18270932279386043,0.013217219036396066,0.004134826158040571
0.05,0_500ms,low,ALL,p,fast,17,0.3557911151813955,0.3978885364380136,0.23119416253546132,0.1271865584170703,0.06967486385056602
0.05,0_500ms,low,ALL,p,fast,23,0.3528141038446273,0.3978885364380136,0.23034447372697597,0.12525745721148396,0.0682978567923944
0.05,0_500ms,low,ALL,p,fast,42,0.35508133445195567,0.3978885364380136,0.23926194722780525,0.12701555233333242,0.06939681846363645
0.05,0_500ms,low,ALL,p,raw,17,0.49275707407145586,0.7960764429828395,0.6546632143975859,0.2437260787734033,0.06967486385056602
0.05,0_500ms,low,ALL,p,raw,23,0.48762072563696807,0.7960764429828395,0.6563856482906272,0.23903386939209798,0.0682978567923944
0.05,0_500ms,low,ALL,p,raw,42,0.49221881175107335,0.7960764429828395,0.6650307141764821,0.2437364806949243,0.06939681846363645
0.05,0_500ms,low,ALL,p,slow,17,0.216080659203767,0.6014672184086967,0.5626126638984222,0.046864656505766954,0.06967486385056602
0.05,0_500ms,low,ALL,p,slow,23,0.21272197504991214,0.6014672184086967,0.5653237140069552,0.0454785553882196,0.0682978567923944
0.05,0_500ms,low,ALL,p,slow,42,0.21705847948736476,0.6014672184086967,0.5688361297629809,0.04732410989795542,0.06939681846363645
0.05,0_500ms,low,ALL,q,fast,17,0.1277787846818425,0.3567274492246586,0.3348413749604387,0.01646421118270421,0.009648525630551068
0.05,0_500ms,low,ALL,q,fast,23,0.1333883633609932,0.3567274492246586,0.3280823265788127,0.017868793527748665,0.010564696179886653
0.05,0_500ms,low,ALL,q,fast,42,0.1217664719736723,0.3567274492246586,0.3338048897227126,0.014901319164576887,0.008860458063376882
0.05,0_500ms,low,ALL,q,raw,17,0.19897331670726395,0.7299457125344078,0.7056916317777958,0.03989144025647096,0.009648525630551068
0.05,0_500ms,low,ALL,q,raw,23,0.20934732024618313,0.7299457125344078,0.698074064707815,0.04396601234198576,0.010564696179886653
0.05,0_500ms,low,ALL,q,raw,42,0.1931836883795344,0.7299457125344078,0.7073323695923354,0.03749561912811218,0.008860458063376882
0.05,0_500ms,low,ALL,q,slow,17,0.11684065160479683,0.5598509447934608,0.5507433748781354,0.013778703443215683,0.009648525630551068
0.05,0_500ms,low,ALL,q,slow,23,0.12437826831731827,0.5598509447934608,0.5478699042567191,0.015532522634350435,0.010564696179886653
0.05,0_500ms,low,ALL,q,slow,42,0.1167358279921629,0.5598509447934608,0.5540316583475386,0.013733841900158415,0.008860458063376882
0.05,0_500ms,low,ALL,r,fast,17,0.06158339421186311,0.062051774819379346,0.04171818286825149,0.0038431259663539693,0.002970592529480485
0.05,0_500ms,low,ALL,r,fast,23,0.06126650692414336,0.062051774819379346,0.04146871429821914,0.0037906207161017133,0.002927675595572485
0.05,0_500ms,low,ALL,r,fast,42,0.06022322812918977,0.062051774819379346,0.04051093464428854,0.0036723139711146856,0.002787984710692274
0.05,0_500ms,low,ALL,r,raw,17,0.12638942671617143,0.19544340567806226,0.17344371165483008,0.01615833132430114,0.002970592529480485
0.05,0_500ms,low,ALL,r,raw,23,0.1266933801876308,0.19544340567806226,0.17313160807288006,0.016242305571126985,0.002927675595572485
0.05,0_500ms,low,ALL,r,raw,42,0.12263313539660406,0.19544340567806226,0.17003458469279137,0.015217521798529657,0.002787984710692274
0.05,0_500ms,low,ALL,r,slow,17,0.09599637015933664,0.16754105940140007,0.1543508996235241,0.009344612828466686,0.002970592529480485
0.05,0_500ms,low,ALL,r,slow,23,0.09687996968716091,0.16754105940140007,0.15418842065786253,0.009524009259452786,0.002927675595572485
0.05,0_500ms,low,ALL,r,slow,42,0.0928856862147361,0.16754105940140007,0.15136495616634998,0.008757223116722695,0.002787984710692274
0.05,0_500ms,low,Sep17,p,fast,17,0.3342272053720371,0.36230604312041814,0.2252234548354609,0.11204845709236765,0.06196994417486332
0.05,0_500ms,low,Sep17,p,fast,23,0.32733650693312716,0.36230604312041814,0.22524874637014017,0.10750578478008296,0.05919699246543388
0.05,0_500ms,low,Sep17,p,fast,42,0.32822600611458186,0.36230604312041814,0.23427486340044956,0.108230769394576,0.05955211983611517
0.05,0_500ms,low,Sep17,p,raw,17,0.4665629405431881,0.7234650217725949,0.6053602485449392,0.21818936308696568,0.06196994417486332
0.05,0_500ms,low,Sep17,p,raw,23,0.4560593031240309,0.7234650217725949,0.6082951671115259,0.2085587859117366,0.05919699246543388
0.05,0_500ms,low,Sep17,p,raw,42,0.45920289676843556,0.7234650217725949,0.6127574932048825,0.21154313810462388,0.05955211983611517
