axis,component,rmse_mean,rmse_std,true_amplitude_mean,amplitude_ratio,relative_error
p,fast,0.44287646935412645,0.001661076160780011,0.5214872829245781,0.6537317134548009,0.8492565089419044
p,raw,0.531463181314039,0.0028986910896813384,0.8547710630685428,0.8355121979897066,0.6217608483447478
p,slow,0.18194770781180888,0.002353871230372584,0.5607831034688,0.962460358990466,0.3244529064558947
q,fast,0.20488176009418532,0.005608316094905544,0.44955146927790673,0.8844667266560012,0.4557470592261153
q,raw,0.27448155044222916,0.006873458919571915,0.7846274738910569,0.9206687401492246,0.349824036980306
q,slow,0.13827668660872572,0.003520807940362131,0.5422694805347446,0.9445507471140404,0.2549962547631629
r,fast,0.0971012705830191,0.000934250896745608,0.11488815872372578,0.6892255947492087,0.8451808407559284
r,raw,0.16221952252150043,0.0004704061352280961,0.27127233131945455,0.8336753370030426,0.5979950912519278
r,slow,0.10712786481556895,0.0008502735890217039,0.20330407245190688,0.8619133476934924,0.5269341805285817
