tau_s,interval,group,cohort,axis,component,rmse_mean,rmse_std,true_amplitude_mean,true_amplitude_std,pred_amplitude_mean,pred_amplitude_std,error_mse_mean,error_mse_std,cross_term_mean,cross_term_std,relative_error,amplitude_ratio
0.05,0_500ms,ALL,ALL,p,fast,0.35636555146555216,0.0017002083656905455,0.40304503909326145,0.0,0.2386696768649099,0.0037093506671707368,0.1279863737130284,0.0011568915430447437,0.07057683823847044,0.000796069134846838,0.8841829495464698,0.59216626856852
0.05,0_500ms,ALL,ALL,p,raw,0.5007768805535951,0.003081808197859397,0.8369252833214785,0.0,0.6979566395722733,0.004936585003551828,0.25219043758996995,0.003040432036734043,0.07057683823847044,0.000796069134846838,0.5983531511512927,0.8339533450373433
0.05,0_500ms,ALL,ALL,p,slow,0.2310086189039728,0.0025534044925100145,0.6462739142656244,0.0,0.6049861794282679,0.0031437055152352127,0.05362722563847113,0.0011849377949499599,0.07057683823847044,0.000796069134846838,0.35744691810201423,0.9361141863751802
0.05,0_500ms,ALL,ALL,q,fast,0.13485770876628933,0.0050738321814940805,0.34423884077072886,0.0,0.31604610036738395,0.003011949777364906,0.018244878532652335,0.0013800907367016095,0.011293121200412108,0.0007836007184070403,0.3917562250219978,0.9181012219881314
0.05,0_500ms,ALL,ALL,q,raw,0.22430169920485846,0.0069325679724145575,0.7344042189487587,0.0,0.6979674916766232,0.0040671551385287035,0.05050641288138938,0.0031815699787857356,0.011293121200412108,0.0007836007184070403,0.3054199491472537,0.9503860049656416
0.05,0_500ms,ALL,ALL,q,slow,0.14418102329667806,0.0036890860926994057,0.5749569260652404,0.0,0.5558725973713186,0.0027003448355483726,0.020968413148324937,0.0011198612996073146,0.011293121200412108,0.0007836007184070403,0.2507683910921665,0.9668073766420611
0.05,0_500ms,ALL,ALL,r,fast,0.06319234330396657,0.0005689174852113451,0.06673361433442694,0.0,0.04354324388171602,0.0006570306561014323,0.00402609158589656,7.532530760974455e-05,0.0033532541750083303,6.812563269521546e-05,0.9469342239922186,0.6524934145407537
0.05,0_500ms,ALL,ALL,r,raw,0.13833478326558263,0.0011296555500376745,0.22253362623412207,0.0,0.1910077256847594,0.0016734155048186811,0.0193422817316446,0.0003003939336129772,0.0033532541750083303,6.812563269521546e-05,0.6216354157642857,0.8583319694966232
0.05,0_500ms,ALL,ALL,r,slow,0.10849879960440145,0.0009933928555997283,0.1926404440194401,0.0,0.17038240137738983,0.0013852206077262746,0.01196293597073971,0.00018283096223122532,0.0033532541750083303,6.812563269521546e-05,0.5632192147223893,0.884458101436871
0.05,0_500ms,ALL,Sep17,p,fast,0.3280995347171559,0.003631787208685589,0.36372113712936566,0.0,0.23098363931720334,0.003318740887654338,0.10818987444549988,0.0023887407005690315,0.06048411032238212,0.0013942848756185104,0.902063425036692,0.6350569591314369
0.05,0_500ms,ALL,Sep17,p,raw,0.47031031463535783,0.005181455815008298,0.7714719533665048,0.0,0.6515015427243828,0.0032950749941923108,0.22223240229094884,0.004910313442753066,0.06048411032238212,0.0013942848756185104,0.6096272360687188,0.8444915461688502
0.05,0_500ms,ALL,Sep17,p,slow,0.23082873188169672,0.0034845798343980474,0.6018534090859581,0.0,0.5603194978740481,0.0017388983017414693,0.05355841752306684,0.0015968115770662228,0.06048411032238212,0.0013942848756185104,0.38352982370284994,0.930989987620095
0.05,0_500ms,ALL,Sep17,q,fast,0.13524674748391508,0.006831599206384966,0.3690109691818964,0.0,0.3258075643903588,0.005116042067488209,0.018364139347865696,0.0018832185939719472,0.011517641720167157,0.0011127113355157681,0.36651145569943194,0.8829210825702003
0.05,0_500ms,ALL,Sep17,q,raw,0.2311333855723859,0.010595137912688329,0.8065568456235903,0.0,0.7455383832777587,0.006172169317954967,0.05362166264872967,0.004982872478778319,0.011517641720167157,0.0011127113355157681,0.286568004259743,0.9243469785460005
0.05,0_500ms,ALL,Sep17,q,slow,0.1536626996681635,0.00649318854886169,0.6401405515161429,0.0,0.6034098416880364,0.0032572475797244733,0.023739881580696814,0.0020188025206340932,0.011517641720167157,0.0011127113355157681,0.2400452514751965,0.9426208670250438
0.05,0_500ms,ALL,Sep17,r,fast,0.061722972823910476,0.0006630007261721873,0.07102059158943282,0.0,0.0458415131674342,0.0006787894940848035,0.0038214332296993094,8.072211332253375e-05,0.003522910586536483,5.651704746770919e-05,0.8690855911300838,0.645467914889278
0.05,0_500ms,ALL,Sep17,r,raw,0.14537128932495658,0.0005693498988747306,0.2652480913943733,0.0,0.22199261425320826,0.0012236820662949288,0.021160882894865618,0.000151961169885143,0.003522910586536483,5.651704746770919e-05,0.5480578147075796,0.8369244547103927
0.05,0_500ms,ALL,Sep17,r,slow,0.11745465213962654,0.0008547450448484859,0.23334996525243948,0.0,0.1988982237864143,0.0010028257573251721,0.013816539078629826,0.00019649904859949727,0.003522910586536483,5.651704746770919e-05,0.5033412026119796,0.8523602031448556
0.05,0_500ms,ALL,Sep7,p,fast,0.3814908996863487,0.0014693649796148527,0.4379996186167244,0.0,0.245501710240649,0.004077217059437534,0.1455832619508315,0.0011390817303765172,0.07954815194166005,0.0007255237676904276,0.870984547637645,0.5605066758185412
0.05,0_500ms,ALL,Sep7,p,raw,0.5278582724809172,0.00243743284168898,0.8951060210592331,0.0,0.7392500589926202,0.006446389609996269,0.2788198023002109,0.0026430893521822165,0.07954815194166005,0.0007255237676904276,0.589715921982371,0.8258798864047645
0.05,0_500ms,ALL,Sep7,p,slow,0.23116851847932932,0.0017542065930768408,0.6857588077586612,0.0,0.6446898963653522,0.004517384464930055,0.05368838840771941,0.0008437654435937853,0.07954815194166005,0.0007255237676904276,0.3370988689666008,0.9401117259761652
0.05,0_500ms,ALL,Sep7,q,fast,0.1345118965728442,0.004365918158769598,0.32221917107191317,0.0,0.30736924345807304,0.0018277530421666984,0.018138868919129345,0.001174182572943013,0.011093547405074289,0.0006466531724073978,0.4174546664165545,0.953913581353836
0.05,0_500ms,ALL,Sep7,q,raw,0.2182290891003896,0.004739692960757282,0.6702685507933528,0.0,0.6556822546978361,0.002196428891209558,0.0477373019770869,0.0020677538723822136,0.011093547405074289,0.0006466531724073978,0.3255845568796062,0.9782381314500705
0.05,0_500ms,ALL,Sep7,q,slow,0.13575286652202434,0.0012448293360932646,0.5170159256644382,0.0,0.5136172690897917,0.002445075205508647,0.018504885652883264,0.0003330354896122483,0.011093547405074289,0.0006466531724073978,0.2625699901749889,0.9934263986737376
0.05,0_500ms,ALL,Sep7,r,fast,0.06449845039734979,0.0007476442961069801,0.06292296788553284,0.0,0.04150033784996655,0.0009459399600823019,0.004208010124738562,0.00010454549069400706,0.003202448475872194,8.597608837908037e-05,1.0250382740159842,0.6595419644773025
0.05,0_500ms,ALL,Sep7,r,raw,0.1320801112128058,0.0023105433346118994,0.18456521275834317,0.0,0.16346560251280481,0.0020751794409297345,0.01772574736433703,0.0006107603976877652,0.003202448475872194,8.597608837908037e-05,0.7156284179388794,0.885679376247545
0.05,0_500ms,ALL,Sep7,r,slow,0.10053804179531246,0.002598174303566222,0.15645420292344067,0.0,0.14503500368047917,0.0017253441360912379,0.01031528876372627,0.0005125109905512606,0.003202448475872194,8.597608837908037e-05,0.6426036496092711,0.9270125120988321
0.05,0_500ms,high,ALL,p,fast,0.3697201159259537,0.0011914134410860283,0.4092384667579611,0.0,0.2433272463070207,0.0017923298796927473,0.1377274749440685,0.0008708798916799805,0.07766833044288023,0.0008058873536203387,0.9034344177245195,0.5945854705074279
0.05,0_500ms,high,ALL,p,raw,0.531463181314039,0.0028986910896813384,0.8547710630685428,0.0,0.7141716496823962,0.0026264651405603686,0.28391334863756135,0.0030947123504051215,0.07766833044288023,0.0008058873536203387,0.6217608483447478,0.8355121979897066
0.05,0_500ms,high,ALL,p,slow,0.26091230753054656,0.0028379731519457985,0.6584056777637448,0.0,0.6185159546890676,0.001610806180179749,0.0685175432506126,0.0014940870669763213,0.07766833044288023,0.0008058873536203387,0.3962789452495723,0.9394146733209205
0.05,0_500ms,high,ALL,q,fast,0.15916353503219158,0.004309753840559592,0.34623468826059306,0.0,0.3031941000507008,0.0031728815221502144,0.025708787612493258,0.001435772387423095,0.01657358178543539,0.0008431691299472712,0.4596984081282964,0.8756895548908784
0.05,0_500ms,high,ALL,q,raw,0.27448155044222916,0.006873458919571915,0.7846274738910569,0.0,0.722381987873748,0.0059067565625932775,0.07703203726173555,0.004011942012444095,0.01657358178543539,0.0008431691299472712,0.349824036980306,0.9206687401492246
0.05,0_500ms,high,ALL,q,slow,0.18283891558896812,0.004646401601988066,0.6303163242764039,0.0,0.5917691097136992,0.00513108086953084,0.034749667863806906,0.0018528911832913302,0.01657358178543539,0.0008431691299472712,0.2900748537630929,0.9388446513630176
0.05,0_500ms,high,ALL,r,fast,0.07058038656200029,0.0006632691963034135,0.07806203419101854,0.0,0.048423599695223925,0.00046056146956497546,0.0050463602146485235,9.957043821010221e-05,0.004495109484831666,5.7784619911652875e-05,0.9041576650345725,0.6203220323048579
0.05,0_500ms,high,ALL,r,raw,0.16221952252150043,0.0004704061352280961,0.27127233131945455,0.0,0.2261530522323473,0.0024334238656984466,0.02679383288019187,0.00014600805599231968,0.004495109484831666,5.7784619911652875e-05,0.5979950912519278,0.8336753370030426
0.05,0_500ms,high,ALL,r,slow,0.1295249027635739,0.0005777316398506288,0.23632424024714482,0.0,0.2024221354137998,0.0019939923925528544,0.017252363180711685,6.994372914661229e-05,0.004495109484831666,5.7784619911652875e-05,0.5480813251662988,0.8565441073759905
0.05,0_500ms,high,Sep17,p,fast,0.3489833650694832,0.0018150124851674739,0.37811553524958325,0.0,0.2326001197652926,0.0017838959570487898,0.12260599945534693,0.00131514262796011,0.06921399103040314,0.0009284702325204817,0.9229543156409303,0.6151562104206058
0.05,0_500ms,high,Sep17,p,raw,0.5139860898476986,0.003255553641947879,0.7999743747884395,0.0,0.6671817540875296,0.0012762973135362872,0.2657014124572545,0.003419248899889894,0.06921399103040314,0.0009284702325204817,0.6425031926599235,0.8340039070176115
0.05,0_500ms,high,Sep17,p,slow,0.27114944630243676,0.0037100412303861245,0.6202959562436632,0.0,0.573335808637733,0.0009467305702430323,0.07388142197150437,0.00196078854772066,0.06921399103040314,0.0009284702325204817,0.43712915354864007,0.9242939646256805
0.05,0_500ms,high,Sep17,q,fast,0.1690038587775502,0.006705765791299284,0.36766428527073575,0.0,0.31177487453633357,0.005402801072076999,0.028792647236232996,0.002320792947572468,0.018095622290611905,0.0012706111417902185,0.45966895765549104,0.8479879254705225
0.05,0_500ms,high,Sep17,q,raw,0.29789836826904004,0.011158058367258717,0.8356886339580636,0.0,0.7544989334504475,0.007728499402214692,0.08961418096136,0.006805600577153555,0.018095622290611905,0.0012706111417902185,0.3564705276151801,0.9028469489610286
0.05,0_500ms,high,Sep17,q,slow,0.20485654511457163,0.008198606288862254,0.6750615623544088,0.0,0.6231410285652713,0.005390313703289239,0.0427259114345151,0.003431802121486703,0.018095622290611905,0.0012706111417902185,0.30346350101773606,0.9230877053523022
0.05,0_500ms,high,Sep17,r,fast,0.07085988039753753,0.0005304693746585775,0.0823328628505085,0.0,0.049346188145667845,0.00010685685762526372,0.005079073072668093,7.413653109543324e-05,0.004764066645049588,0.00011717194851685561,0.8606512386942936,0.5993498396292323
0.05,0_500ms,high,Sep17,r,raw,0.17312467514782526,0.003948823405131086,0.31073797585418383,0.0,0.25119615663149275,0.002786774867243511,0.03011625322268906,0.0013556074864212611,0.004764066645049588,0.00011717194851685561,0.5571403838617567,0.8083857659849354
0.05,0_500ms,high,Sep17,r,slow,0.14201056307022167,0.004096800041918199,0.2727497508498752,0.0,0.22499276679990143,0.0024319746659265348,0.020273113504971383,0.0011770370434843614,0.004764066645049588,0.00011717194851685561,0.520662485035178,0.8249054897349484
