partition,flight_id,channel,other,correlation
train,2026.9.6/log_17_2026-9-6-18-34-06.ulg,drive,drive,1.0
train,2026.9.6/log_17_2026-9-6-18-34-06.ulg,drive,common,0.13081831163585395
train,2026.9.6/log_17_2026-9-6-18-34-06.ulg,drive,differential,0.0477710245206734
train,2026.9.6/log_17_2026-9-6-18-34-06.ulg,drive,rudder,0.004076229203677713
train,2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,drive,0.13081831163585395
train,2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,common,1.0
train,2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,differential,-0.0423538414581987
train,2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,rudder,-0.008994787892505166
train,2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,drive,0.04777102452067341
train,2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,common,-0.04235384145819869
train,2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,differential,1.0
train,2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,rudder,-0.09923031939866732
train,2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,drive,0.0040762292036777125
train,2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,common,-0.008994787892505164
train,2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,differential,-0.0992303193986673
train,2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,rudder,0.9999999999999999
train,2026.9.6/log_18_2026-9-6-18-46-20.ulg,drive,drive,1.0
train,2026.9.6/log_18_2026-9-6-18-46-20.ulg,drive,common,0.08605739574561716
train,2026.9.6/log_18_2026-9-6-18-46-20.ulg,drive,differential,-0.04361462723514123
train,2026.9.6/log_18_2026-9-6-18-46-20.ulg,drive,rudder,-0.04942624417976649
train,2026.9.6/log_18_2026-9-6-18-46-20.ulg,common,drive,0.08605739574561716
train,2026.9.6/log_18_2026-9-6-18-46-20.ulg,common,common,1.0
train,2026.9.6/log_18_2026-9-6-18-46-20.ulg,common,differential,-0.15844078116729385
train,2026.9.6/log_18_2026-9-6-18-46-20.ulg,common,rudder,-0.08367376137550268
train,2026.9.6/log_18_2026-9-6-18-46-20.ulg,differential,drive,-0.04361462723514123
train,2026.9.6/log_18_2026-9-6-18-46-20.ulg,differential,common,-0.15844078116729385
train,2026.9.6/log_18_2026-9-6-18-46-20.ulg,differential,differential,1.0
train,2026.9.6/log_18_2026-9-6-18-46-20.ulg,differential,rudder,-0.12377943330607029
train,2026.9.6/log_18_2026-9-6-18-46-20.ulg,rudder,drive,-0.04942624417976649
train,2026.9.6/log_18_2026-9-6-18-46-20.ulg,rudder,common,-0.08367376137550267
train,2026.9.6/log_18_2026-9-6-18-46-20.ulg,rudder,differential,-0.12377943330607029
train,2026.9.6/log_18_2026-9-6-18-46-20.ulg,rudder,rudder,0.9999999999999999
train,2026.9.6/log_19_2026-9-6-18-52-30.ulg,drive,drive,1.0
train,2026.9.6/log_19_2026-9-6-18-52-30.ulg,drive,common,0.1266954172055968
train,2026.9.6/log_19_2026-9-6-18-52-30.ulg,drive,differential,0.01859804382519984
train,2026.9.6/log_19_2026-9-6-18-52-30.ulg,drive,rudder,0.09559845803626542
train,2026.9.6/log_19_2026-9-6-18-52-30.ulg,common,drive,0.1266954172055968
train,2026.9.6/log_19_2026-9-6-18-52-30.ulg,common,common,1.0
train,2026.9.6/log_19_2026-9-6-18-52-30.ulg,common,differential,-0.0745396526749421
train,2026.9.6/log_19_2026-9-6-18-52-30.ulg,common,rudder,0.2225282993460636
train,2026.9.6/log_19_2026-9-6-18-52-30.ulg,differential,drive,0.018598043825199837
train,2026.9.6/log_19_2026-9-6-18-52-30.ulg,differential,common,-0.0745396526749421
train,2026.9.6/log_19_2026-9-6-18-52-30.ulg,differential,differential,0.9999999999999999
train,2026.9.6/log_19_2026-9-6-18-52-30.ulg,differential,rudder,-0.14588569018102668
train,2026.9.6/log_19_2026-9-6-18-52-30.ulg,rudder,drive,0.0955984580362654
train,2026.9.6/log_19_2026-9-6-18-52-30.ulg,rudder,common,0.2225282993460636
train,2026.9.6/log_19_2026-9-6-18-52-30.ulg,rudder,differential,-0.14588569018102668
train,2026.9.6/log_19_2026-9-6-18-52-30.ulg,rudder,rudder,1.0
train,2026.9.6/log_20_2026-9-6-18-58-10.ulg,drive,drive,1.0
train,2026.9.6/log_20_2026-9-6-18-58-10.ulg,drive,common,0.08368101512312709
train,2026.9.6/log_20_2026-9-6-18-58-10.ulg,drive,differential,0.124133927631291
train,2026.9.6/log_20_2026-9-6-18-58-10.ulg,drive,rudder,0.05115852821391148
train,2026.9.6/log_20_2026-9-6-18-58-10.ulg,common,drive,0.0836810151231271
train,2026.9.6/log_20_2026-9-6-18-58-10.ulg,common,common,1.0
train,2026.9.6/log_20_2026-9-6-18-58-10.ulg,common,differential,-0.20843101328828104
train,2026.9.6/log_20_2026-9-6-18-58-10.ulg,common,rudder,-0.11503467354572147
train,2026.9.6/log_20_2026-9-6-18-58-10.ulg,differential,drive,0.12413392763129101
train,2026.9.6/log_20_2026-9-6-18-58-10.ulg,differential,common,-0.20843101328828104
train,2026.9.6/log_20_2026-9-6-18-58-10.ulg,differential,differential,0.9999999999999998
train,2026.9.6/log_20_2026-9-6-18-58-10.ulg,differential,rudder,-0.10124480454934721
train,2026.9.6/log_20_2026-9-6-18-58-10.ulg,rudder,drive,0.051158528213911474
train,2026.9.6/log_20_2026-9-6-18-58-10.ulg,rudder,common,-0.11503467354572147
train,2026.9.6/log_20_2026-9-6-18-58-10.ulg,rudder,differential,-0.1012448045493472
train,2026.9.6/log_20_2026-9-6-18-58-10.ulg,rudder,rudder,0.9999999999999998
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,drive,drive,0.9999999999999999
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,drive,common,0.20322233079871171
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,drive,differential,0.0941278416259352
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,drive,rudder,0.0206587488957366
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,common,drive,0.20322233079871171
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,common,common,1.0
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,common,differential,-0.04367292063588601
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,common,rudder,-0.08909678066306896
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,differential,drive,0.0941278416259352
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,differential,common,-0.04367292063588601
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,differential,differential,1.0
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,differential,rudder,-0.01747821574760967
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,rudder,drive,0.0206587488957366
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,rudder,common,-0.08909678066306896
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,rudder,differential,-0.01747821574760967
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,rudder,rudder,1.0
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,drive,drive,1.0
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,drive,common,0.12078725036944966
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,drive,differential,-0.030749331759458494
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,drive,rudder,0.07184834958734777
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,common,drive,0.12078725036944966
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,common,common,1.0
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,common,differential,-0.1061645949552171
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,common,rudder,-0.08671593602397108
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,differential,drive,-0.030749331759458497
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,differential,common,-0.1061645949552171
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,differential,differential,1.0
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,differential,rudder,-0.06197660249139065
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,rudder,drive,0.07184834958734777
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,rudder,common,-0.08671593602397108
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,rudder,differential,-0.06197660249139065
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,rudder,rudder,1.0
train,9.11数据/log_13_2026-9-11-18-28-08.ulg,drive,drive,1.0
train,9.11数据/log_13_2026-9-11-18-28-08.ulg,drive,common,-0.014842094358607151
train,9.11数据/log_13_2026-9-11-18-28-08.ulg,drive,differential,0.0160033073507419
train,9.11数据/log_13_2026-9-11-18-28-08.ulg,drive,rudder,-0.15383995327886002
train,9.11数据/log_13_2026-9-11-18-28-08.ulg,common,drive,-0.014842094358607151
train,9.11数据/log_13_2026-9-11-18-28-08.ulg,common,common,0.9999999999999999
train,9.11数据/log_13_2026-9-11-18-28-08.ulg,common,differential,-0.2419139180997114
train,9.11数据/log_13_2026-9-11-18-28-08.ulg,common,rudder,-0.06813496912431054
train,9.11数据/log_13_2026-9-11-18-28-08.ulg,differential,drive,0.0160033073507419
train,9.11数据/log_13_2026-9-11-18-28-08.ulg,differential,common,-0.24191391809971138
train,9.11数据/log_13_2026-9-11-18-28-08.ulg,differential,differential,1.0
train,9.11数据/log_13_2026-9-11-18-28-08.ulg,differential,rudder,-0.03141845134823354
train,9.11数据/log_13_2026-9-11-18-28-08.ulg,rudder,drive,-0.15383995327886002
train,9.11数据/log_13_2026-9-11-18-28-08.ulg,rudder,common,-0.06813496912431054
train,9.11数据/log_13_2026-9-11-18-28-08.ulg,rudder,differential,-0.03141845134823353
train,9.11数据/log_13_2026-9-11-18-28-08.ulg,rudder,rudder,1.0
train,9.11数据/log_14_2026-9-11-18-34-58.ulg,drive,drive,1.0
train,9.11数据/log_14_2026-9-11-18-34-58.ulg,drive,common,0.15560476588718355
train,9.11数据/log_14_2026-9-11-18-34-58.ulg,drive,differential,-0.07771729097243331
train,9.11数据/log_14_2026-9-11-18-34-58.ulg,drive,rudder,-0.0569539748159066
train,9.11数据/log_14_2026-9-11-18-34-58.ulg,common,drive,0.15560476588718355
train,9.11数据/log_14_2026-9-11-18-34-58.ulg,common,common,1.0
train,9.11数据/log_14_2026-9-11-18-34-58.ulg,common,differential,-0.21217471478974573
train,9.11数据/log_14_2026-9-11-18-34-58.ulg,common,rudder,-0.11084612184724828
train,9.11数据/log_14_2026-9-11-18-34-58.ulg,differential,drive,-0.07771729097243331
