partition,channel,subset,flight_id,cohort,n_origins,positive,negative,zero,one_direction
train,drive,isolated,9.12数据/log_3_2026-9-12-18-40-02.ulg,train,3,1,2,0,3
train,drive,isolated,9.12数据/log_7_2026-9-12-05-49-02.ulg,train,1,0,1,0,0
train,drive,isolated,9.12数据/log_8_2026-9-12-05-55-30.ulg,train,0,0,0,0,0
train,drive,isolated,9.12数据/log_9_2026-9-12-06-03-32.ulg,train,2,2,0,0,2
train,drive,isolated,9.13数据/log_1_2026-9-13-06-11-06.ulg,train,5,3,2,0,5
train,drive,isolated,9.13数据/log_2_2026-9-13-06-20-06.ulg,train,3,1,2,0,3
train,drive,isolated,9.13数据/log_3_2026-9-13-06-31-26.ulg,train,2,0,2,0,2
train,drive,isolated,9.13数据/log_4_2026-9-13-06-36-26.ulg,train,6,2,4,0,6
train,drive,isolated,9.13数据/log_5_2026-9-13-06-42-40.ulg,train,5,2,3,0,5
train,drive,isolated,9.13数据/log_7_2026-9-13-18-12-52.ulg,train,1,1,0,0,1
train,drive,isolated,9.14数据/log_11_2026-9-14-18-13-22.ulg,train,2,1,1,0,2
train,drive,isolated,9.14数据/log_12_2026-9-14-18-20-30.ulg,train,3,1,2,0,3
train,drive,isolated,9.14数据/log_13_2026-9-14-18-28-32.ulg,train,7,2,5,0,7
train,drive,isolated,9.14数据/log_14_2026-9-14-18-34-22.ulg,train,5,1,4,0,5
train,drive,isolated,9.15数据/log_10_2026-9-15-17-44-04.ulg,train,0,0,0,0,0
train,drive,isolated,9.15数据/log_11_2026-9-15-17-51-56.ulg,train,1,0,1,0,1
train,drive,isolated,9.15数据/log_12_2026-9-15-18-03-58.ulg,train,2,1,1,0,2
train,drive,isolated,9.15数据/log_13_2026-9-15-18-10-58.ulg,train,14,8,6,0,13
train,drive,isolated,9.15数据/log_14_2026-9-15-18-17-26.ulg,train,3,1,2,0,3
train,drive,isolated,9.15数据/log_15_2026-9-15-18-23-44.ulg,train,10,6,4,0,10
train,drive,isolated,9.16数据/log_1_2026-9-16-18-02-34.ulg,train,8,3,5,0,8
train,drive,isolated,9.16数据/log_2_2026-9-16-18-08-46.ulg,train,15,6,9,0,15
train,drive,isolated,9.16数据/log_3_2026-9-16-18-13-58.ulg,train,3,1,2,0,3
train,drive,isolated,9.16数据/log_4_2026-9-16-18-20-50.ulg,train,11,5,6,0,11
train,drive,isolated,9.16数据/log_5_2026-9-16-18-26-48.ulg,train,12,6,6,0,12
train,drive,isolated,9.18数据/log_0_2026-9-18-18-15-06.ulg,train,7,2,5,0,7
train,drive,isolated,9.18数据/log_1_2026-9-18-18-23-36.ulg,train,3,2,1,0,3
train,drive,isolated,9.18数据/log_2_2026-9-18-18-29-40.ulg,train,4,1,3,0,4
train,drive,predominant,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train,63,26,37,0,62
train,drive,predominant,2026.9.6/log_18_2026-9-6-18-46-20.ulg,train,48,22,26,0,47
train,drive,predominant,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train,119,59,60,0,118
train,drive,predominant,2026.9.6/log_20_2026-9-6-18-58-10.ulg,train,40,23,17,0,39
train,drive,predominant,2026.9.6/log_24_2026-9-6-06-28-38.ulg,train,78,34,44,0,75
train,drive,predominant,2026.9.6/log_28_2026-9-6-07-01-38.ulg,train,68,35,33,0,64
