channel,scale,train_q25,train_q75
drive,0.09660183638334274,0.035559622151735255,0.298090108236999
common,0.21465620398521423,0.09869611051941929,0.1776259381469868
differential,0.21465620398521423,0.19426443317332534,0.49610551587099494
rudder,0.12501497566699982,0.087882228682019,0.22538001550260417
