partition,n_origins,n_flights,dt_median_s,dt_p05_s,dt_p95_s,dt_max_s,flap_frequency_median_hz,flap_frequency_p05_hz,flap_frequency_p95_hz
train,28293,41,0.019926,0.010001,0.029709,0.049200999999999995,3.871560573577881,2.9331417083740234,4.486751079559326
validation,2582,17,0.019844,0.009991,0.029608,0.049855,3.7965948581695557,3.0663142800331116,4.364364910125732
