partition,channel,subset,window_id,flight_id,activity,mean_departure,persistence
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:2255,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.38331197592800353,-0.03088001012802124,0.8339493288320059
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:2305,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3861365779558099,-0.03580002784729004,0.9597476086384955
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:1:25,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3819566857930027,-0.03163033723831177,0.8572437424748192
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:1:35,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.34454183822259765,-0.02918821096420288,0.8769606926224353
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:1:65,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.38184960042183985,0.031617548465728756,0.8571374488737257
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:1:75,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.38189820332555735,0.03162321090698242,0.8571818505517858
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:1:85,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3819064844294484,0.03162348747253418,0.8571707602217559
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:1:95,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3836263067671612,0.031716759204864504,0.855844850389177
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:1:105,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3862686451585125,0.03193203687667847,0.8557596072749636
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:1:115,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3882691184360991,0.032217068672180174,0.8589498156347216
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:1735,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.4563805399763276,-0.032480008602142334,0.7367219939216475
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:1745,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.5406993818984704,-0.04999999761581421,0.9572573908574549
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:1915,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3833904203087361,-0.029040017127990723,0.7840977881569896
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:2095,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.33055092107388634,0.023400015830993652,0.7328117043927411
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:2105,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.4460064304527837,0.04080000638961792,0.9469645654453307
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:25,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3376667109598971,0.027690157890319825,0.8488907516963565
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:35,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.29877889279302233,0.025785934925079346,0.893403370191636
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:115,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3461900009175395,-0.027782659530639648,0.8307568186267063
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:125,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3570760865398131,-0.029715018272399904,0.861449558830072
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:155,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3601416854365615,0.02998792886734009,0.8619611600214803
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:165,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.33958227570151706,0.02855109453201294,0.8703468567413288
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:175,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3234469376145674,0.02582789659500122,0.8266099202998648
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:185,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.38181630944101613,0.03161507844924927,0.8571452167547704
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:195,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3566661591145346,0.030020270347595215,0.8712991927529508
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:385,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.32355324833880095,-0.027376134395599366,0.875872674825682
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:415,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.37029653035344684,0.030310752391815184,0.8473477716758386
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:425,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3713985191419664,0.03098158836364746,0.8635313903248174
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:525,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.38306074944144813,0.03170785427093506,0.8568677886482541
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:535,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.32936642406425504,0.02817901372909546,0.8856478682242479
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:645,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3817777726303229,-0.031668782234191895,0.8586878966056719
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:655,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.34912817898423126,-0.0295013165473938,0.8747241399506662
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:725,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.32383477692654355,-0.027710323333740235,0.8857939806403028
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:855,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3699319479883105,-0.030326886177062987,0.8486343361176498
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:865,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.37403302042182063,-0.03075439453125,0.8511612715972595
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:875,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.31518289454570897,-0.026726021766662597,0.8777812419227248
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:975,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3038386321446818,0.02554347276687622,0.870265098881638
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:1025,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3286379669728486,-0.02657835006713867,0.8371916722220173
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:1035,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.38631331524317586,-0.03193455696105957,0.8557281832480862
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:1045,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3905713493667539,-0.032354443073272704,0.8575277128135546
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:1055,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3564159641581699,-0.02927642107009888,0.8503064124422487
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:1085,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3323945211572688,0.026284759044647218,0.8185868449773338
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:1095,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3745794774310994,0.030812582969665527,0.8515276298775245
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:1105,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3748934305073247,0.03081272840499878,0.8508185371484277
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:1115,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3738975071439748,0.03081481695175171,0.8531426238254224
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:1125,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.39530855959048283,0.033182356357574466,0.8689316624916442
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:1135,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3130974448899936,0.02726547956466675,0.901463682661591
train,drive,high,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:1155,2026.9.6/log_17_2026-9-6-18-34-06.ulg,0.3829058325016372,-0.031743786334991454,0.8581858772188119
