steps,count,position,velocity,attitude,body_rate,phase,frequency
10,128,0.0030616901349276304,0.09135591983795166,0.01888768933713436,0.1401166170835495,0.0024117135908454657,0.00037838981370441616
25,128,0.015992259606719017,0.09237495064735413,0.054423920810222626,0.14949211478233337,0.005498539190739393,0.00035296339774504304
50,128,0.08067046105861664,0.1357908844947815,0.12221378087997437,0.1587725430727005,0.013651752844452858,0.0003644572861958295
100,128,0.7200522422790527,0.35999831557273865,0.30114731192588806,0.1655683070421219,0.03469589725136757,0.00036786377313546836
10,128,0.003428370924666524,0.08658963441848755,0.019637921825051308,0.14752605557441711,0.002673875307664275,0.0004340051382314414
25,128,0.015251225791871548,0.08923506736755371,0.05586261302232742,0.15932908654212952,0.005606439430266619,0.00040768185863271356
50,128,0.0742533877491951,0.13606566190719604,0.11053764820098877,0.16220441460609436,0.013648192398250103,0.00041910065920092165
100,128,0.6673962473869324,0.33784905076026917,0.23349341750144958,0.16685965657234192,0.03444543480873108,0.000419967487687245
10,128,0.0035550971515476704,0.07946489751338959,0.01792455092072487,0.13627023994922638,0.002705441787838936,0.0004594024212565273
25,128,0.015446090139448643,0.09079858660697937,0.052596911787986755,0.1491767019033432,0.006150619592517614,0.0004279571585357189
50,128,0.07591979205608368,0.14195550978183746,0.10594668239355087,0.1526229977607727,0.01730325259268284,0.00043443735921755433
100,128,0.698532223701477,0.3605532646179199,0.24076415598392487,0.15762747824192047,0.04762459173798561,0.000440164003521204
10,128,0.0031858899164944887,0.07687034457921982,0.025832349434494972,0.23223070800304413,0.002623580861836672,0.00041671746294014156
25,128,0.015318769961595535,0.0886765643954277,0.06989181041717529,0.2380400002002716,0.0060174367390573025,0.0003832932561635971
50,128,0.08439669758081436,0.14683440327644348,0.1339774876832962,0.2523227035999298,0.017604632303118706,0.000405720726121217
100,128,0.8190667629241943,0.3898197412490845,0.2747288942337036,0.26835551857948303,0.056447096168994904,0.00042766594560816884
10,128,0.003543337807059288,0.07410722225904465,0.02716449834406376,0.25524693727493286,0.0017741566989570856,0.0003072583058383316
25,128,0.017781607806682587,0.08800603449344635,0.056105583906173706,0.279901921749115,0.0047953128814697266,0.0002983073645737022
50,128,0.09207681566476822,0.14333166182041168,0.10433406382799149,0.30048179626464844,0.015629775822162628,0.00033023548894561827
100,128,0.8083512783050537,0.3709304630756378,0.21443992853164673,0.3283759355545044,0.04861917719244957,0.0003506624198053032
10,128,0.0032510419841855764,0.07031378149986267,0.01674213446676731,0.15166427195072174,0.0015590133843943477,0.00032119452953338623
25,128,0.012332937680184841,0.07610850036144257,0.05205388739705086,0.167231485247612,0.004299014341086149,0.0003325932193547487
50,128,0.06085815280675888,0.12446187436580658,0.10275300592184067,0.17773005366325378,0.01430464442819357,0.0003663355018943548
100,128,0.6217885613441467,0.3138623535633087,0.21885715425014496,0.19758309423923492,0.05057023838162422,0.0004069418355356902
10,8,0.0026006153784692287,0.06180967018008232,0.01280954759567976,0.12937206029891968,0.0017855716869235039,0.0004278971755411476
25,8,0.011179134249687195,0.06668470054864883,0.03265579417347908,0.12183926999568939,0.0044158389791846275,0.0004185783618595451
50,8,0.054554689675569534,0.09493003785610199,0.06718332320451736,0.13865837454795837,0.00878292229026556,0.00041314857662655413
100,8,0.5021356344223022,0.2395838350057602,0.12766645848751068,0.16306442022323608,0.016761941835284233,0.00043736034422181547
