contract,trained_target,evaluation_target,signal,baseline_rmse,candidate_rmse,change_pct,ci95_low,ci95_high,improved_flights,oracle_not_deployable,scope
P_oracle,D0_raw,D0_raw,angular,23.129341287685477,24.088047795515088,4.144979729016507,2.32614662763182,5.693235422105647,0,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,D0_raw,D0_raw,az_n,2.3690526440288258,2.135258977138117,-9.868656464008241,-11.560318520380509,-8.12035778415071,5,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,D0_raw,D0_raw,linear,4.395206831968392,4.271972971805306,-2.8038239126028874,-4.238566884974637,-1.5895434991220592,5,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,D0_raw,D0_raw,q_dot,9.119540085368588,8.848309710723838,-2.9741672508234562,-4.503205582415404,-1.295746989806823,5,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,D0_raw,increment2,angular,18.149709140095418,19.359790255816293,6.667220429707199,4.5184684283963605,8.447920282816066,0,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,D0_raw,increment2,az_n,3.3774977556414365,2.7297192656135643,-19.179242649262683,-21.26837976954613,-16.69764312436518,5,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,D0_raw,increment2,linear,4.9326596552206565,4.50502220778299,-8.669510514171819,-10.174420436554655,-7.432321426990274,5,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,D0_raw,increment2,q_dot,10.282070674226174,10.105223726652708,-1.7199546003585087,-4.570182661474931,0.6824604617654773,3,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,D0_raw,increment2_state,angular,0.7268057544167361,0.7758697994599412,6.750640696643773,4.644166285201323,8.580497329822556,0,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,D0_raw,increment2_state,delta_q_2,0.4171169508797594,0.4098571679780152,-1.740467004860935,-4.546260901868493,0.6252197136559223,3,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,D0_raw,increment2_state,delta_vz_2,0.136454067684338,0.11018388586613943,-19.252032763852746,-21.327727496693825,-16.840693613293123,5,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,D0_raw,increment2_state,linear,0.1986235702235385,0.1812734560548211,-8.735173851316302,-10.240986715834122,-7.46241157228239,5,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,increment2,D0_raw,angular,24.177207691464968,24.22628783780096,0.20300171534415323,-0.09932294098529137,0.5068296797890559,1,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,increment2,D0_raw,az_n,3.039244636363507,3.334237087260502,9.706110767376618,7.917013283243857,11.449266783404566,0,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,increment2,D0_raw,linear,4.774577552697913,5.005176856497235,4.829732081093141,3.9254793230337315,5.636401603843022,0,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,increment2,D0_raw,q_dot,13.065424388674533,13.052188689849824,-0.10130324458638151,-1.0644805900719034,0.9733085999268587,3,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,increment2,increment2,angular,14.493104534442413,14.436021846017265,-0.39386101362542947,-1.4610657475058186,0.6458320704899578,3,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,increment2,increment2,az_n,1.9834267840847228,1.7597875909998,-11.275394427434026,-12.73544438742038,-9.610089694348623,5,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,increment2,increment2,linear,3.9039226716345103,3.816362568932246,-2.2428749252250024,-3.7373938939716633,-0.9146997457020523,5,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,increment2,increment2,q_dot,6.569255514872867,6.45614951842833,-1.7217475585850406,-2.626592616255141,-0.9183912027991514,5,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,increment2,increment2_state,angular,0.5761583440269148,0.5743270692702469,-0.31784226951719896,-1.373116132398844,0.7206221017780123,3,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,increment2,increment2_state,delta_q_2,0.2612024971322244,0.25737155697480074,-1.4666552576962366,-2.4102992996020367,-0.6254652972506047,5,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,increment2,increment2_state,delta_vz_2,0.07965382393088256,0.07033561080005055,-11.698387686845567,-13.178083199471791,-9.975401186899735,5,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
P_oracle,increment2,increment2_state,linear,0.1566636884263612,0.15299494614868295,-2.3417949076327993,-3.866101434986824,-0.9907813207048588,5,True,LOCAL_PROBE_ONLY_NOT_FULL_SIMULATOR
