model,horizon_s,signal,amplitude_mse,phase_mse,dc_mse,amplitude_mse_fraction,phase_mse_fraction,dc_mse_fraction,native_residual_mse
S0,0.5,az_n,69.30513356263296,18.266062573847734,0.8225320114242667,0.7840503507971518,0.2066443282410717,0.009305320961776423,1.9410660424991266
S0,0.5,q_dot,251.20605060098796,29.913457934367507,1.207375380721052,0.8897702093282076,0.10595327486864296,0.004276515803149488,73.12693345568235
S0,1.0,az_n,69.38106606815211,20.369811232314458,0.31633186687596593,0.7703254792678641,0.22616234499359114,0.003512175738544641,2.5018400499812716
S0,1.0,q_dot,257.88327951564736,20.78908430501517,0.38826564582765083,0.924112011101925,0.07449665810888433,0.0013913307891906482,78.61249212105011
S0,2.0,az_n,69.40979720111436,21.48403103629139,0.17526069165264646,0.762166372996041,0.23590914643965705,0.0019244805643018146,3.1096398464366954
S0,2.0,q_dot,260.8395426741205,14.23207658414072,0.16498441272410158,0.947692055472117,0.05170851694258509,0.0005994275852979282,84.26427721026764
S0,3.0,az_n,69.74385039168314,21.1607791630987,0.17250025825138351,0.7657668893920582,0.23233910869324048,0.001894001914701297,3.4382343596179847
S0,3.0,q_dot,260.73709589057114,11.03258574135346,0.11726835619482691,0.9589908449153758,0.040577842157689246,0.00043131292693507784,87.43706149045047
S0,5.0,az_n,71.41757241574514,19.202443609034454,0.1600666005442516,0.7867097093368652,0.2115270558663027,0.0017632347968319616,3.871969105438128
S0,5.0,q_dot,260.31341629188347,8.069371605474922,0.08606373374608398,0.9696224150784272,0.03005701241111881,0.0003205725104539939,89.84594246565905
S1,0.5,az_n,4.713266578079992,4.979253514797709,0.6265918039076763,0.45675118413516524,0.4825273303169484,0.06072148554788645,2.78965141381533
S1,0.5,q_dot,170.8308785322481,31.156763268104097,1.051553711285725,0.8413689686947973,0.1534519637432184,0.0051790675619843626,72.18039399180482
S1,1.0,az_n,5.544913871889549,9.200597215783647,0.3076716346587378,0.36835491697469874,0.611206107405727,0.02043897561957419,5.64643125815474
S1,1.0,q_dot,179.29577470534335,31.940383609062774,0.3850779792849332,0.8472484985226816,0.1509318448774935,0.0018196565998249642,78.91169631145867
S1,2.0,az_n,6.655291814392135,19.78575135769629,0.09927716876338555,0.2507615480491421,0.7454978351275343,0.003740616823323514,12.04376581477944
S1,2.0,q_dot,188.3157737250773,39.86285794969568,0.19523269775981966,0.824594242613896,0.17455087542184666,0.0008548819642572938,88.28575851735359
S1,3.0,az_n,7.898731393187062,27.831178098552652,0.060511048951369224,0.22069400900743216,0.7776152858251734,0.0016907051673945156,17.474406478297183
S1,3.0,q_dot,191.65080732350052,43.86428224210482,0.1490105687848854,0.8132371761936137,0.18613052313479522,0.0006323006715910924,94.82462833683554
S1,5.0,az_n,12.703791646189229,41.096899314676826,0.0723379862456968,0.23580986431375148,0.7628473861201026,0.001342749566145844,28.259607009887734
S1,5.0,q_dot,198.84473399585605,46.44732887582361,0.11479413397404571,0.8102655990222598,0.18926663029123733,0.0004677706865028677,104.52694120740112
