contract,trained_target,evaluation_target,signal,baseline_rmse,candidate_rmse,change_pct,ci95_low,ci95_high,improved_flights,oracle_not_deployable
P1,D0_raw,D0_raw,angular,23.129341287685477,23.800961638600548,2.903759093531355,0.821985381416579,4.811658177892197,1,False
P2,D0_raw,D0_raw,angular,23.129341287685477,24.291214791403274,5.02337480893329,3.19774970341562,6.692790640059076,0,False
P_oracle,D0_raw,D0_raw,angular,23.129341287685477,24.088047795515088,4.144979729016507,2.32614662763182,5.693235422105647,0,True
P1,D0_raw,D0_raw,az_n,2.3690526440288258,2.426809387059452,2.437967901481697,0.6728873441755878,4.247102494741071,1,False
P2,D0_raw,D0_raw,az_n,2.3690526440288258,2.166417237662988,-8.553436196387542,-9.64068724331254,-7.147423909369266,5,False
P_oracle,D0_raw,D0_raw,az_n,2.3690526440288258,2.135258977138117,-9.868656464008241,-11.560318520380509,-8.12035778415071,5,True
P1,D0_raw,D0_raw,linear,4.395206831968392,4.4543811517480725,1.3463375454660698,0.1873899493819664,2.434631309840496,1,False
P2,D0_raw,D0_raw,linear,4.395206831968392,4.314124447021603,-1.8447911110129889,-2.899064974034715,-0.683717988804744,4,False
P_oracle,D0_raw,D0_raw,linear,4.395206831968392,4.271972971805306,-2.8038239126028874,-4.238566884974637,-1.5895434991220592,5,True
P1,D0_raw,D0_raw,q_dot,9.119540085368588,9.319584034795358,2.1935749780597202,-1.2746682428024991,4.6346990830384405,1,False
P2,D0_raw,D0_raw,q_dot,9.119540085368588,8.640248672544837,-5.255653337087985,-6.911788006782171,-3.8196624504573506,5,False
P_oracle,D0_raw,D0_raw,q_dot,9.119540085368588,8.848309710723838,-2.9741672508234562,-4.503205582415404,-1.295746989806823,5,True
P1,D0_raw,increment2,angular,18.149709140095418,18.753597781278273,3.3272634647834476,2.6540889826391023,4.110577215016842,0,False
P2,D0_raw,increment2,angular,18.149709140095418,19.808443268797806,9.139177470552395,7.088632148134444,10.945530442491712,0,False
P_oracle,D0_raw,increment2,angular,18.149709140095418,19.359790255816293,6.667220429707199,4.5184684283963605,8.447920282816066,0,True
