contract,target,seed,epochs,steps,wall_time_s,checkpoint_sha256
P0,D0_raw,415,30,870,4.200157204642892,8f3aeeb493c6a2505afef8a2e7e3432946aa3fddb6e3aba8153e40e20eb75aaa
P1,D0_raw,415,30,870,3.7596187898889184,f28aff6092aa354108993829082b6593176eabcf7abe3042e181836e96889d3e
P2,D0_raw,415,30,870,2.4902557795867324,6f6d4d86407b90c9e5d5a74ed66a60adb80c675e754f71ce78e495f64c5fe0f8
P_oracle,D0_raw,415,30,870,2.1148816030472517,d3075a089dfbb8bd6de380d3e56b11ad9da5d0925a4fee070f165869e23c1895
P0,D0_raw,416,30,870,2.691521789878607,ea34f5cae11db1b5ca7204c1d67a2b950909a099fef25322dde3865376e6a71f
P1,D0_raw,416,30,870,2.022204713895917,4d46c8cc5f19928879531d302bdc0eae30a6d75b4dd07ab104c76be80d2d3ea3
P2,D0_raw,416,30,870,2.995272871106863,36dad1fd2da2bf9b440bdac12170b352d7da8c03f8f0f9c6eb700f03c50bacd6
P_oracle,D0_raw,416,30,870,1.9193354155868292,424a42ac8a1610fb63b02a707c9f187ee294c48736e66676a833a62517387677
P0,D0_raw,417,30,870,2.703945329412818,a1f6ca91ce908ea3a7b3b58eddb839f660d56a18cc497ca7cdbe35b968391c8b
P1,D0_raw,417,30,870,1.9625853290781379,4aeab48222b83550667c4ca8a4c74df8b2c69a45cca93a181ab532c07ed26967
P2,D0_raw,417,30,870,2.8319929875433445,13055729986d801fcb4146fcef19ed0e04ea0c0f6df743185c0437a8099ea643
P_oracle,D0_raw,417,30,870,2.124903251416981,6bcb79b37b43ffb1cca4070ec192f49412c81e83b78d0cf65d08dcf70d8fef91
P0,increment2,415,30,870,1.96043720562011,182f3875a5d445199efad77c0d7c708ab6377c75fa29b97308bce7ab9c6e311c
P1,increment2,415,30,870,2.7930689807981253,033e6f211af91237e3e95bd92447a3a1066f7f1a7afd4568fb77a36e5f6458f5
P2,increment2,415,30,870,2.000505831092596,a935757c4c459e3f61424409a73f08348bb9ae1cdfa5de89e9d555c194487435
P_oracle,increment2,415,30,870,2.4657062347978354,11556e73728481e9813d97fd2bf376e516f5b89760d757fffb61c28cc61b1ae7
P0,increment2,416,30,870,1.7239848067983985,3a4193eb05b9ecceb2897254843ef38f3723e39bd2900fb66f1426e8c3441950
P1,increment2,416,30,870,2.7523752255365252,21bd83d85bed4a965c3109e0c20d271b7e23c7b515ca8be7d5c9ee513be75a3b
P2,increment2,416,30,870,1.8753046784549952,7478f7f06a110e4f901ff1dd8e43a19c4b0221e8f5396e82134db58215af8200
P_oracle,increment2,416,30,870,2.659964742138982,c3f2e6635949a4f275d2c266485aebb0e1f8dc8ce2a3cf4b51109cd35e3fd0c4
P0,increment2,417,30,870,2.2600416792556643,35bb88eda8d10efa9b5c7c5b5bab9a6cbecb593732dd0a0843eb0b756d4da700
P1,increment2,417,30,870,2.651041948236525,fe0990a720dc93593b37bbc12b3ca2d592437575990580e8be81f59712fb8616
P2,increment2,417,30,870,2.1027417881414294,6fc77e7f30fe7665ce7d222ad72944613c336cb668bfa92bdaa8f035a04e5030
P_oracle,increment2,417,30,870,2.5919547444209456,d28356056061b90d9ede4cce3a53bd6c3272d4c249c9fab9c1b74b4e764e29d8
