contract,seed,trained_target,evaluation_target,signal,change_pct
P1,415,D0_raw,D0_raw,angular,3.8348382347926924
P1,416,D0_raw,D0_raw,angular,-0.20459606653495666
P1,417,D0_raw,D0_raw,angular,5.131071381312813
P2,415,D0_raw,D0_raw,angular,6.562029729568963
P2,416,D0_raw,D0_raw,angular,3.121585600829646
P2,417,D0_raw,D0_raw,angular,5.410127185523272
P_oracle,415,D0_raw,D0_raw,angular,5.032570394214897
P_oracle,416,D0_raw,D0_raw,angular,2.56684733485375
P_oracle,417,D0_raw,D0_raw,angular,4.857929991228049
P1,415,D0_raw,D0_raw,az_n,-1.5496383222501353
P1,416,D0_raw,D0_raw,az_n,10.575227745519067
P1,417,D0_raw,D0_raw,az_n,-1.0930625744590472
P2,415,D0_raw,D0_raw,az_n,-9.122801207947528
P2,416,D0_raw,D0_raw,az_n,-7.5488130664123965
P2,417,D0_raw,D0_raw,az_n,-8.911629859135694
P_oracle,415,D0_raw,D0_raw,az_n,-9.695817299737651
P_oracle,416,D0_raw,D0_raw,az_n,-6.546655316458095
P_oracle,417,D0_raw,D0_raw,az_n,-13.127058967869976
P1,415,D0_raw,D0_raw,linear,-0.4278725719619847
P1,416,D0_raw,D0_raw,linear,3.006018295861157
P1,417,D0_raw,D0_raw,linear,1.4958379925238408
P2,415,D0_raw,D0_raw,linear,-3.7881794451180895
P2,416,D0_raw,D0_raw,linear,-1.0987834382725326
P2,417,D0_raw,D0_raw,linear,-0.6209354920700294
P_oracle,415,D0_raw,D0_raw,linear,-4.2886005068951345
P_oracle,416,D0_raw,D0_raw,linear,-1.083878241647518
P_oracle,417,D0_raw,D0_raw,linear,-3.006073503936535
P1,415,D0_raw,D0_raw,q_dot,-3.5756188863587224
P1,416,D0_raw,D0_raw,q_dot,5.830831128506153
P1,417,D0_raw,D0_raw,q_dot,4.454111926613069
P2,415,D0_raw,D0_raw,q_dot,-6.783959398067008
P2,416,D0_raw,D0_raw,q_dot,-5.994760498723062
P2,417,D0_raw,D0_raw,q_dot,-3.003404779892227
P_oracle,415,D0_raw,D0_raw,q_dot,-4.032341485573843
