split,method,history_steps,log_id,segment_id,n,median_circular_jump_rad,p95_circular_jump_rad,jump_over_45deg_fraction,median_offset_rate_rad_s
train,E1,12,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,1731,0.0174532925199433,0.06981317007977264,0.0011560693641618498,0.8852349624634401
train,E1,12,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,4017,0.01745329251994332,0.0872664625997165,0.00398406374501992,0.8853247702102073
train,E1,12,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,409,0.017453292519943313,0.10471975511965981,0.014705882352941176,0.8853247702102421
train,E1,12,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,5,2072,0.034906585039886584,2.530727415391778,0.061323032351521006,1.7706495404204146
train,E1,12,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,1647,0.017453292519943542,0.05235987755983107,0.0018226002430133657,0.8743696468086721
train,E1,12,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,3,3950,0.017453292519943542,0.08726646259971593,0.002025829323879463,0.874413452903091
train,E1,12,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,4,872,0.017453292519943542,0.06981317007977283,0.0,0.874413452903091
train,E1,12,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,5,1916,0.034906585039886195,0.2617993877991496,0.04386422976501306,1.7488269058036696
train,E1,12,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,1,1526,0.017453292519943098,0.05235987755983018,0.0,0.8743696468086499
train,E1,12,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,2,3951,0.017453292519943542,0.08726646259971638,0.0035443037974683543,0.874413452903091
train,E1,12,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,3,897,0.017453292519943542,0.06981317007977328,0.0,0.874413452903091
train,E1,12,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,4,1917,0.017453292519943542,0.12217304763960346,0.030793319415448852,1.165923545872329
train,E1,12,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,1884,0.017453292519943098,0.05235987755983018,0.0015932023366967605,0.8742820477872426
train,E1,12,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,3,3073,0.034906585039886195,0.13962634015954611,0.00390625,1.748651690198912
train,E1,12,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,4,1601,0.034906585039886195,0.24521875990520284,0.043125,1.748651690208804
train,E1,12,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,650,0.01745329251994332,0.05235987755983009,0.0,0.8743696468086499
train,E1,12,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,3,3350,0.01745329251994332,0.0698131700797735,0.003881755747984473,0.8743696468086832
train,E1,12,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,4,1556,0.034906585039886195,0.10471975511965999,0.012218649517684888,1.748739293617311
train,E1,12,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,1095,0.017453292519943098,0.052359877559830625,0.0,0.8743696468080496
train,E1,12,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,3,3410,0.017453292519943098,0.08726646259971638,0.0,0.8743696468086943
train,E1,12,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,4,1533,0.034906585039886195,0.1570796326794901,0.037859007832898174,1.7487392936173443
train,E1,25,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,1731,0.01745329251994221,0.034906585039886445,0.0005780346820809249,0.5901566416422934
train,E1,25,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,4017,0.017453292519943098,0.03490658503988661,0.0,0.8852798640591008
train,E1,25,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,409,0.017453292519943292,0.03490658503988661,0.0,0.8852798640591572
