split,contract,log_id,signal,n,rmse,r2,validation_fit,oracle_not_deployable
train,P0,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,q_dot,2369,21.34038838692924,-0.7683164101247182,False,False
train,P0,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,az_n,2369,17.32068561852751,-3.2057449802015476,False,False
train,P0,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,q_dot,2416,21.566824281196418,-0.6921072673633202,False,False
train,P0,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,az_n,2416,17.46899289330671,-2.8667689141525248,False,False
train,P0,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,q_dot,2387,21.748157187578375,-0.6608005308011,False,False
train,P0,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,az_n,2387,17.536445614893328,-2.779089153357197,False,False
train,P0,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,q_dot,1867,26.4963367489299,-0.32902839877085044,False,False
train,P0,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,az_n,1867,17.62470412789289,-2.49890894061461,False,False
train,P0,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,q_dot,1567,25.59101479246489,-0.36600841069658974,False,False
train,P0,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,az_n,1567,17.598035814561104,-2.434572051828446,False,False
train,P0,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,q_dot,1712,24.421012049907883,-0.46169911872617697,False,False
train,P0,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,az_n,1712,17.383547981219497,-2.7553459742271533,False,False
train,P1,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,q_dot,2369,13.950793113560305,0.2442935385972389,False,False
train,P1,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,az_n,2369,3.2353985839991655,0.853253294733641,False,False
train,P1,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,q_dot,2416,22.400126458599082,-0.8253932120415879,False,False
train,P1,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,az_n,2416,18.36497289954378,-3.2735920803878047,False,False
train,P1,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,q_dot,2387,23.97451371958705,-1.0182369943007243,False,False
