model,log_id,horizon_s,mean_frequency_error_hz,slow_rms_hz,zero_mean_residual_rms_hz,frequency_integral_rmse_rad,phase_drift_unwrapped_rmse_rad,phase_drift_circular_rmse_rad,integral_vs_phase_correlation,encoder_frequency_closure_rmse_rad,decomposition_identity_max_rad
S0,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.2,-0.043349467754077935,0.06903517520698127,0.15330639418280967,0.1592152751287318,0.2197269728225021,0.2197269728225021,0.93444355822372,0.09109154909287909,1.3458955495371239e-06
S0,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.5,-0.043349467754077935,0.073937709828906,0.1510905662185622,0.2713877133478295,0.34133904634261575,0.3413390463426158,0.9623277950321891,0.10902727561781135,3.099140040555004e-06
S0,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,1.0,-0.043349467754077935,0.08158002841143934,0.15178283855357064,0.521778141294099,0.606071528563439,0.606071528563439,0.9779632616279073,0.14433185761906125,4.455483629539625e-06
S0,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,2.0,-0.043349467754077935,0.08658393777694584,0.1513318161772819,0.9313728609278632,1.0119998874266434,1.0119998874266434,0.9861377017884978,0.17496304266470442,7.401190956490833e-06
S0,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,3.0,-0.043349467754077935,0.08928287202048227,0.15148116800257272,1.3044495749518283,1.3478282504578203,1.3213038167782194,0.9917109714619816,0.15675814179379746,1.3028533342451798e-05
S0,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,5.0,-0.043349467754077935,0.09239052932677803,0.15212914343650308,2.253729678640167,2.2879547516007017,1.700063242012646,0.9976887751469784,0.1368957646708898,4.5061790748146535e-05
S0,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,0.2,-0.022845673464114466,0.06489981884638465,0.1551693687910521,0.16381542666325263,0.2517046849378557,0.2517046849378557,0.8784093895077686,0.13322720233585555,1.2961526047045036e-06
S0,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,0.5,-0.022845673464114466,0.06746946494975394,0.15629924896410652,0.2583395162292809,0.3202975416369909,0.3202975416369909,0.936121478869522,0.12000530651365335,2.7882296859127464e-06
S0,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,1.0,-0.022845673464114466,0.07013975808026805,0.15620650401912767,0.44937813667070975,0.5280880333195997,0.5280880333195997,0.9681176454089496,0.14601749169706155,3.90919887913177e-06
S0,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,2.0,-0.022845673464114466,0.07003107177775386,0.15629087343750056,0.6742695531761652,0.7474542796152143,0.7474542796152143,0.9893434390239603,0.12673998323786234,7.836051260756705e-06
S0,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,3.0,-0.022845673464114466,0.07030789796868285,0.15661832630426423,0.8917610714493085,0.9417364392317173,0.9417364392317173,0.9889905746019584,0.13948754407376623,1.2813711396941763e-05
S0,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,5.0,-0.022845673464114466,0.07249535104457841,0.15786895463558903,1.442586296284388,1.4836354796210605,1.4514648010675113,0.9947425598342462,0.14394766199939915,4.134249402354406e-05
S0,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,0.2,0.0006811786472625663,0.06265584897110377,0.15446275255493877,0.15099456056674126,0.21696577370976347,0.21696577370976347,0.922918649082599,0.09697640903158056,1.19841794556097e-06
S0,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,0.5,0.0006811786472625663,0.07047681001833427,0.15364991202605985,0.27525289598195724,0.34401227509304483,0.34401227509304483,0.9596632857487958,0.11083508111469795,2.3283192978063028e-06
S0,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,1.0,0.0006811786472625663,0.07917919294034609,0.15406118642705097,0.5285445755730529,0.6238936368630457,0.6238936368630457,0.9834159961449307,0.1412076607925355,3.877879928226857e-06
S0,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,2.0,0.0006811786472625663,0.08302758626958827,0.15455024377854232,0.8278004595399443,0.902015049962861,0.9001007732412488,0.9876361153468222,0.15300068290624058,9.047614801693804e-06
S0,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,3.0,0.0006811786472625663,0.08549774267924368,0.1551658835794951,1.0916118450711747,1.147300639493782,1.147300639493782,0.9924549912075296,0.147553231808538,1.389132722012798e-05
S0,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,5.0,0.0006811786472625663,0.0892864706855809,0.15620459585669996,1.7166792919258114,1.7730347509068243,1.5955857215792297,0.9980739228524262,0.1222891470725009,3.967978224928004e-05
S0,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,0.2,-0.01702934365220981,0.06103317392642622,0.15836018604374796,0.14435551099623045,0.2107810017026517,0.2107810017026517,0.9296445222339909,0.09314005898658631,1.1323220042991355e-06
S0,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,0.5,-0.01702934365220981,0.06779491479096551,0.15488269734768764,0.2553393114071607,0.3211512377986439,0.3211512377986439,0.9525432423928898,0.11024262758804707,2.3881904446243496e-06
S0,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,1.0,-0.01702934365220981,0.07943441272581706,0.15443244540450324,0.472967737219005,0.5695786969219376,0.5695786969219376,0.976302322814189,0.1485468712959023,3.676556497494987e-06
S0,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,2.0,-0.01702934365220981,0.08470063587676402,0.15458630789335906,0.8145668889022171,0.902987738606947,0.902987738606947,0.9867793393029296,0.1652022400222945,7.582616282982013e-06
S0,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,3.0,-0.01702934365220981,0.08611608181538254,0.15461251295634348,1.04848623210523,1.1102401175742393,1.1102401175742393,0.9912383975071172,0.15439515848672525,1.3973690143609385e-05
S0,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,5.0,-0.01702934365220981,0.08921059865761467,0.15472971006799593,1.690976264976156,1.741066590299012,1.5953257754261143,0.9978018000317957,0.12183657513313914,2.9888800897048817e-05
S0,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,0.2,-0.03889889259831357,0.06961094124169905,0.1567754633743701,0.16247528535146138,0.23160016888736995,0.23160016888736995,0.9591268418959039,0.08842225234096568,1.382239305430799e-06
S0,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,0.5,-0.03889889259831357,0.07566427799665061,0.1517672392566341,0.2854464659753422,0.35609687638856735,0.35609687638856735,0.9573535543380637,0.11845354909031132,2.3358718109767196e-06
S0,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,1.0,-0.03889889259831357,0.08295842450280616,0.15250653977315382,0.5382132098177039,0.622044082134263,0.622044082134263,0.9838879727548251,0.1328377504206318,3.13798426665457e-06
S0,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,2.0,-0.03889889259831357,0.08846427366654513,0.15257808367898168,0.9430959658191345,1.0087713948226316,1.0087713948226316,0.9900584830193094,0.1461711552386809,8.111647447406334e-06
S0,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,3.0,-0.03889889259831357,0.09043358861491117,0.15270120394436806,1.3612033007543431,1.4135414303394558,1.3843520030871845,0.993833763069775,0.14813859406198648,1.4353737317174264e-05
S0,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,5.0,-0.03889889259831357,0.0947876026191164,0.1540081292626504,2.2347718853527963,2.2901015647449903,1.7871979255123016,0.9982441601876738,0.1326230475762688,2.964650447678796e-05
S1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.2,-0.033424779477458345,0.0631626557154422,0.11736844612494259,0.11663413120254151,0.1747434394722603,0.1747434394722603,0.8798024886334388,0.09109154909287909,1.4306405944353173e-06
S1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.5,-0.033424779477458345,0.07004947323057102,0.11641968249868706,0.24997285991014304,0.3163106608671061,0.3163106608671061,0.9527157718220898,0.10902727561781135,2.7249802953405178e-06
S1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,1.0,-0.033424779477458345,0.08011230055047439,0.12104394134553992,0.5044961483805348,0.5855075202942227,0.5855075202942227,0.9756507548570114,0.14433185761906125,4.932366635623797e-06
S1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,2.0,-0.033424779477458345,0.08719546909811682,0.12925361161580382,0.9046756863136494,0.9845075979557287,0.9845075979557287,0.9859393296539964,0.17496304266470442,7.015272448618326e-06
S1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,3.0,-0.033424779477458345,0.09057281553542879,0.13568195667612468,1.2410757295894672,1.2875052866785788,1.2875052866785788,0.9921694473570314,0.15675814179379746,1.2072535635176962e-05
S1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,5.0,-0.033424779477458345,0.09498121619028736,0.14727157805900873,2.160610053264182,2.198835440179336,1.7923497447686239,0.9978664933135358,0.1368957646708898,4.2200780004358895e-05
S1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,0.2,-0.022112981117922335,0.06173893430476703,0.11951064435917702,0.1266278621014698,0.2157294742684549,0.2157294742684549,0.8204598737108951,0.13322720233585555,1.0552536017088832e-06
S1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,0.5,-0.022112981117922335,0.06546723858542512,0.12077049420703956,0.24098275563518967,0.3018537107247985,0.3018537107247985,0.9265471004145098,0.12000530651365335,2.320385559334559e-06
S1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,1.0,-0.022112981117922335,0.06914118594153189,0.12359994050025752,0.4436145923709189,0.5156976096291483,0.5156976096291483,0.964735318895734,0.14601749169706155,3.760187163026618e-06
S1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,2.0,-0.022112981117922335,0.06974639121227907,0.13025585256006134,0.6669139482548013,0.7322115914511285,0.7322115914511285,0.9878328060336111,0.12673998323786234,7.228762902655728e-06
S1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,3.0,-0.022112981117922335,0.07071818710726849,0.1354831013556942,0.8901970289276935,0.9389164943056755,0.9389164943056755,0.9891774781355428,0.13948754407376623,1.4009968540285023e-05
S1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,5.0,-0.022112981117922335,0.07348424584348201,0.1462398999906105,1.5037136816307712,1.5444332865499801,1.4731217961484373,0.9952852143568569,0.14394766199939915,4.052186616698705e-05
S1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,0.2,0.007865485984977648,0.058576359423671016,0.11434219510825522,0.10404581878872926,0.17044513037557255,0.17044513037557255,0.8588804231960784,0.09697640903158056,1.0759919155944875e-06
S1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,0.5,0.007865485984977648,0.06778937359970483,0.11503200036989937,0.25059040623788054,0.3157613543860692,0.3157613543860692,0.9482531198811436,0.11083508111469795,2.28596382395585e-06
S1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,1.0,0.007865485984977648,0.0792109231651588,0.11903252354568922,0.5314190313172426,0.6197731894921388,0.6197731894921388,0.9812169488932656,0.1412076607925355,3.534141948757785e-06
S1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,2.0,0.007865485984977648,0.08455211064743737,0.128294332931078,0.8794616966133364,0.9509766209758943,0.9509766209758943,0.9884088166603163,0.15300068290624058,9.371592293527797e-06
S1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,3.0,0.007865485984977648,0.08723420308979661,0.1356148587239644,1.1775755222363256,1.2293590098654983,1.2187205312628047,0.9930260263088514,0.147553231808538,1.509441588887217e-05
S1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,5.0,0.007865485984977648,0.09126009749831945,0.1476112318017146,1.8268581270287279,1.8845089110598947,1.6638623427581456,0.9982792404440836,0.1222891470725009,3.847722083749616e-05
S1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,0.2,-0.004922095864482996,0.05763473279233367,0.11638359782329588,0.11046711777939987,0.17486743454789297,0.17486743454789297,0.8824606177709561,0.09314005898658631,1.2216802766362722e-06
S1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,0.5,-0.004922095864482996,0.06552136265508428,0.11785582905050479,0.24399121773475752,0.30199799640618546,0.30199799640618546,0.9403589379799232,0.11024262758804707,2.1242573709501222e-06
S1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,1.0,-0.004922095864482996,0.0791191403726993,0.12029450688190539,0.48610918128034936,0.57610233014086,0.57610233014086,0.9748479471080264,0.1485468712959023,3.996956787877259e-06
S1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,2.0,-0.004922095864482996,0.08585769742988598,0.12827212184685907,0.8474361538840348,0.9296916901530473,0.9272999444831111,0.9868131368074892,0.1652022400222945,8.500719051618422e-06
S1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,3.0,-0.004922095864482996,0.08784553437576198,0.13420431719501122,1.0940570476564173,1.1597300101528556,1.158647321315941,0.9922893584731391,0.15439515848672525,1.4539331400387212e-05
S1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,5.0,-0.004922095864482996,0.09098022447933748,0.1435872094276073,1.7082804201575297,1.7651836651190753,1.586746304470343,0.9980908533551113,0.12183657513313914,3.0168803897834273e-05
S1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,0.2,-0.030002141162052322,0.06104459229702309,0.11423265207057405,0.10676150908614072,0.17319973312487075,0.17319973312487075,0.9077576611233925,0.08842225234096568,1.5847255530332394e-06
S1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,0.5,-0.030002141162052322,0.06860320422576625,0.11385961773911128,0.24401504299269033,0.31439883262108903,0.31439883262108903,0.9428342826655673,0.11845354909031132,2.119667463884589e-06
S1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,1.0,-0.030002141162052322,0.07820998859730177,0.1182661560846038,0.5037332797554839,0.5872871723470442,0.5872871723470442,0.9818122820218712,0.1328377504206318,3.875605736974874e-06
S1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,2.0,-0.030002141162052322,0.08580760376323153,0.127655911135228,0.886789037709432,0.9486529431773679,0.9486529431773679,0.9889826370077861,0.1461711552386809,8.543499724955606e-06
S1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,3.0,-0.030002141162052322,0.08812028846639262,0.13683248333143552,1.245872130254996,1.2942592383474534,1.266220274331177,0.9931608143052504,0.14813859406198648,1.499037539076653e-05
S1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,5.0,-0.030002141162052322,0.09393464222322769,0.1509692245065506,2.108378763023578,2.167127654387035,1.7660352318944925,0.9982491595594757,0.1326230475762688,3.19341260350825e-05
