split,log_id,offset_rad,contract
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0.03490658503988659,ORACLE_NOT_DEPLOYABLE_FULL_LOG_TRUTH
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,2.792526803190927,ORACLE_NOT_DEPLOYABLE_FULL_LOG_TRUTH
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,2.111848394913139,ORACLE_NOT_DEPLOYABLE_FULL_LOG_TRUTH
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,3.9444441095071845,ORACLE_NOT_DEPLOYABLE_FULL_LOG_TRUTH
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,1.6755160819145563,ORACLE_NOT_DEPLOYABLE_FULL_LOG_TRUTH
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,4.101523742186674,ORACLE_NOT_DEPLOYABLE_FULL_LOG_TRUTH
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,1.4660765716752369,ORACLE_NOT_DEPLOYABLE_FULL_LOG_TRUTH
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,3.5081117965086026,ORACLE_NOT_DEPLOYABLE_FULL_LOG_TRUTH
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,2.286381320112572,ORACLE_NOT_DEPLOYABLE_FULL_LOG_TRUTH
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,2.0420352248333655,ORACLE_NOT_DEPLOYABLE_FULL_LOG_TRUTH
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,4.241150082346221,ORACLE_NOT_DEPLOYABLE_FULL_LOG_TRUTH
