feature,lower,upper,mean,scale
vb_x,3.633351511860289,10.382163677740424,7.00194502689629,1.4019740192982515
vb_y,-3.3368744349899906,2.7638703016471844,-0.23877972610304968,1.3552541915902494
vb_z,0.09121056200129182,3.50903708381773,1.7239967978367163,0.7160431893970717
p,-1.2883049106597901,1.6031107330322265,-0.013350631979559713,0.5904853033535845
q,-1.135089030265808,1.147718892097473,0.04881592393121244,0.549684695999106
r,-0.6834817814826966,0.7744109463691703,0.045018959501103795,0.3028267224429756
gravity_b_x,-4.725806548411528,-0.20056345129393818,-2.5000072600854315,0.9055133089327427
gravity_b_y,-4.770322557139749,4.889860640922702,0.15023601446522902,1.976016179088035
gravity_b_z,7.883302922906481,9.754558152286142,9.219820302252788,0.4099955651864846
flap_frequency_hz,2.310874195098877,4.725668811798095,3.8102650338504658,0.469173351090247
drive,0.37374746799468994,0.8675369739532469,0.6865710733375514,0.09554037264139263
common,-0.19659981295466422,0.32626572133041837,-0.0026559598310613676,0.1145385037048129
differential,-0.7042266869544983,0.5855172294378279,-0.135777593811844,0.28263049004096313
rudder,-0.2885781407356262,0.23723802924156107,-0.04760869182974416,0.12478206705384577
drive_delta5,-0.020000040531158447,0.015819087028503417,-7.140095287511489e-05,0.010101791113504259
common_delta5,-0.06708755671977996,0.07526232749223698,0.00028748196671233135,0.034032660311787984
differential_delta5,-0.18304466366767883,0.18631636392325124,-0.00014924577326492797,0.07054777704205135
rudder_delta5,-0.05770935595035553,0.05723721265792836,9.05701050854122e-05,0.023835062791908893
