experiment,signal,axis,frequency_hz,pred_power,truth_power
S0,omega,p,0.0,0.0006096114423072442,0.003296467152936268
S0,omega,p,0.390625,0.0033468276246591236,0.017908190432901854
S0,omega,p,0.78125,0.0005445416346446649,0.012339025051069118
S0,omega,p,1.171875,7.100705645044894e-05,0.0076611601400244774
S0,omega,p,1.5625,3.986786241988582e-05,0.006478493873278358
S0,omega,p,1.953125,4.97566111210314e-05,0.008182799744918862
S0,omega,p,2.34375,0.00014654397301723626,0.013279872495866762
S0,omega,p,2.734375,0.0004169861240270149,0.028138925283918568
S0,omega,p,3.125,0.0012391895501156092,0.05791927008132236
S0,omega,p,3.515625,0.0037989576799379574,0.08975749177740837
S0,omega,p,3.90625,0.00788249290007223,0.0971643273479508
S0,omega,p,4.296875,0.0074262101852520255,0.06130554897377865
S0,omega,p,4.6875,0.0022007965131437446,0.022735032446980843
S0,omega,p,5.078125,0.00015251562531128164,0.007195076692625238
S0,omega,p,5.46875,8.589334325328547e-06,0.004472465803024483
S0,omega,p,5.859375,2.021139704350694e-06,0.0058367335748351476
S0,omega,p,6.25,9.908517488926906e-07,0.009881117879316748
S0,omega,p,6.640625,9.181271922208723e-07,0.013944790258572412
S0,omega,p,7.03125,9.671807981620482e-07,0.016918643676195968
S0,omega,p,7.421875,1.0062277148052397e-06,0.021271159965408983
S0,omega,p,7.8125,9.646343540110489e-07,0.022906657885054464
S0,omega,p,8.203125,7.70966154132293e-07,0.020172295176155045
S0,omega,p,8.59375,4.864375006159753e-07,0.01303459870644731
S0,omega,p,8.984375,2.932011680513238e-07,0.005599957683451892
S0,omega,p,9.375,3.963532484228008e-07,0.0028533830626276723
S0,omega,p,9.765625,1.1093715605550368e-06,0.002349240929765378
S0,omega,p,10.15625,2.426522858732998e-06,0.0026856775449343962
S0,omega,p,10.546875,2.6825866338376072e-06,0.0033374347823129577
S0,omega,p,10.9375,1.463262573017183e-06,0.003943528864769219
S0,omega,p,11.328125,5.816713094932273e-07,0.004512247885550384
S0,omega,p,11.71875,2.487537679366403e-07,0.004277837052897436
S0,omega,p,12.109375,1.01898580819202e-07,0.003666500528010423
S0,omega,p,12.5,7.040559292235223e-08,0.002781554085009465
S0,omega,p,12.890625,9.386945822734608e-08,0.0019227557005560606
S0,omega,p,13.28125,7.478586430880524e-08,0.0016386608653693043
S0,omega,p,13.671875,3.976249422272036e-08,0.001465411832840275
S0,omega,p,14.0625,4.3527657650624785e-08,0.0013973248484065314
S0,omega,p,14.453125,5.11002216337732e-08,0.0014727123619747867
S0,omega,p,14.84375,3.930156846095751e-08,0.0014446949524365524
S0,omega,p,15.234375,3.0418118922897896e-08,0.001469285548962406
S0,omega,p,15.625,5.994599512854381e-08,0.0015304401592672217
S0,omega,p,16.015625,9.519783531250825e-08,0.0016414568398524475
S0,omega,p,16.40625,9.947914839173598e-08,0.0015277498016762192
S0,omega,p,16.796875,9.257000395939027e-08,0.0014348429931480531
S0,omega,p,17.1875,1.1040438088136077e-07,0.0012635407561067582
S0,omega,p,17.578125,9.300542234021466e-08,0.001027488574992658
S0,omega,p,17.96875,1.041734653659922e-07,0.0009550603562462034
S0,omega,p,18.359375,1.746208693482808e-07,0.0009254843054366097
S0,omega,p,18.75,2.2485810611693886e-07,0.0008240435997699886
S0,omega,p,19.140625,1.5872028110724689e-07,0.0007066935073478998
S0,omega,p,19.53125,6.839497027770812e-08,0.000619926275603269
S0,omega,p,19.921875,2.610094514837537e-08,0.0005866336316195685
S0,omega,p,20.3125,1.6293909434223388e-08,0.0006389941142187725
S0,omega,p,20.703125,1.2639980018232582e-08,0.0006618299329873364
S0,omega,p,21.09375,1.3548039173294195e-08,0.0007408870643596824
S0,omega,p,21.484375,1.2655757789809659e-08,0.0008394716883969933
