experiment,base_epochs,actuator_epochs,base_optimizer_steps,actuator_optimizer_steps,wall_time_s,base_windows_per_s,actuator_windows_per_s,peak_gpu_bytes,checkpoint_sha256,device,old_checkpoint_max_parameter_difference
S0,40,25,680,425,1118.0451912973076,280.34333703465813,207.2094454999437,144409088,0bc3f7bc1a72ff203cd32e6f2a14459b95f8c680afed7ca86e8f03e4a40cdf71,cuda:1,0.0
S1,40,25,680,425,1111.336873991415,280.8672032909064,209.2121968607898,144403456,a1de4f0476033fa3e27abd230c57abfbf14514387804d6f4d70b1f5c1c4da2f0,cuda:1,
