experiment,signal,axis,relative_spectral_l1,high_frequency_ratio
S0,angular_acceleration,p,0.9845614993643751,6.090494756833655e-05
S0,angular_acceleration,q,0.9966662518758387,5.012048639545777e-05
S0,angular_acceleration,r,0.9926335996198775,2.28604559045895e-05
S0,omega,p,0.9559523541047574,5.3457456616999935e-05
S0,omega,q,0.9864040299181345,3.664005245363053e-05
S0,omega,r,0.9235596549004974,2.3939935543462878e-05
S1,angular_acceleration,p,0.9448792420991564,0.00043788423520703173
S1,angular_acceleration,q,0.8715391562745003,0.0029563741177845073
S1,angular_acceleration,r,0.990045986757169,5.8898520847487363e-05
S1,omega,p,0.8974219344997892,0.0004652606543034866
S1,omega,q,0.7163638632404186,0.0023158553793809207
S1,omega,r,0.9440778886766683,7.142242462748673e-05
