experiment,horizon_s,metric,change_pct,ci95_low,ci95_high,improved_flights
S1,0.2,position_m,-43.70641628149604,-48.49270508420814,-38.562742702073436,5
S1,0.2,velocity_m_s,-35.322893100724826,-37.788385839977344,-32.92767988204868,5
S1,0.2,attitude_deg,0.47420529026704905,-1.964302945475993,3.7379415481325617,3
S1,0.2,body_rate_rad_s,-5.197406286225881,-7.982091745793252,-1.841228714698906,4
S1,0.2,frequency_hz,-20.04667250102077,-21.664834059924964,-18.692929131518387,5
S1,0.2,phase_rad,-19.614212871432724,-22.950970054803367,-16.335432679555637,5
S1,0.5,position_m,-15.209314417941954,-19.36041907451861,-10.31724386411298,5
S1,0.5,velocity_m_s,-6.547291111408471,-8.393717711861193,-4.233909657604307,5
S1,0.5,attitude_deg,-2.364573364440925,-3.4851911654272136,-1.0990406834784028,5
S1,0.5,body_rate_rad_s,-5.696340286685331,-7.3221453961607175,-4.209198181614848,5
S1,0.5,frequency_hz,-11.59687022465048,-14.042123238234494,-8.312863021418515,5
S1,0.5,phase_rad,-7.87775383763366,-9.951124458093474,-6.170447708249482,5
S1,1.0,position_m,-0.6663028761007217,-3.39058522539164,2.2703471776997164,3
S1,1.0,velocity_m_s,-1.40410930535807,-1.8581974126275602,-0.9720617491095984,5
S1,1.0,attitude_deg,-0.8453967661807393,-1.7445595818447068,-0.03096055547944232,4
S1,1.0,body_rate_rad_s,-4.575601281848007,-6.350878817931116,-2.8790669623084963,5
S1,1.0,frequency_hz,-10.243981777085587,-11.687167718426561,-8.87937326464594,5
S1,1.0,phase_rad,-2.2140797100811183,-4.165089755020088,-0.18843350929693692,4
S1,2.0,position_m,4.87945755544632,3.212892296919101,6.960594497205517,0
S1,2.0,velocity_m_s,6.101418993166408,4.98854989835904,7.57730347030201,0
S1,2.0,attitude_deg,4.59937824960559,2.544896331522306,6.056988393066831,0
S1,2.0,body_rate_rad_s,-0.6032431312294362,-2.95110207958198,1.3650057825458362,2
S1,2.0,frequency_hz,-6.049466502746926,-8.040199698649797,-3.9329411219276467,5
S1,2.0,phase_rad,-0.6051789142858865,-3.9771151399087823,3.2381237061634094,3
S1,3.0,position_m,6.618428130910381,5.272528513322339,8.277860162527606,0
S1,3.0,velocity_m_s,7.160020895070818,5.764741762261938,8.195805340278195,0
S1,3.0,attitude_deg,6.0681726392488144,3.737338611788532,7.758748856001918,0
S1,3.0,body_rate_rad_s,1.326246631425021,-1.3199109717811353,4.2419053983676624,1
S1,3.0,frequency_hz,-0.9585350290809758,-3.475843570683723,1.5004185532260683,3
S1,3.0,phase_rad,-0.5914161929241546,-5.160326927072476,4.340169317848175,3
S1,5.0,position_m,7.005969850723459,5.2409789431017595,8.698811349060676,0
S1,5.0,velocity_m_s,7.041497570778832,4.591556517717743,10.338031885049826,0
S1,5.0,attitude_deg,4.584724761183168,2.159263511535303,7.445337944687536,0
S1,5.0,body_rate_rad_s,4.057885903215763,2.7048538700585434,6.07289342979731,0
S1,5.0,frequency_hz,6.613686120578821,3.2673450485611655,10.354756105035602,0
S1,5.0,phase_rad,1.8755629415074804,-0.46044251311637696,4.262035735712821,2
