experiment,signal,s0_rmse,candidate_rmse,change_pct,ci95_low,ci95_high,x_or_p_change_pct,y_or_q_change_pct,z_or_r_change_pct
S1,velocity,0.39022262031982285,0.14488737807314866,-62.87058450009886,-63.326290559234565,-62.32495501038826,-28.928859667923856,-30.58723738341079,-70.40581093497795
S1,omega,0.6780148811033939,0.6225405492813181,-8.181875260878869,-9.308407927382333,-7.419670761314457,-0.9920584119278208,-15.556008564028723,-0.09597489361528044
