experiment,horizon_s,signal,lag_steps,log_id,n_origins,rmse,axis_0_rmse,axis_1_rmse,axis_2_rmse
S0,0.2,velocity,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.3897319156484204,0.0997766324971568,0.10683384738777729,0.3612784504157976
S0,0.2,velocity,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.3747343629792062,0.08327685513650726,0.08969874727092109,0.3541820759638072
S0,0.2,velocity,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.38545013465476957,0.0960995268977588,0.09438601215598558,0.3611481246589785
S0,0.2,velocity,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.3853102377824511,0.09320934818080222,0.10389672798308246,0.3591398984603192
S0,0.2,velocity,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.38083167790568284,0.09825937626480628,0.08408328264487154,0.3582008702560222
S0,0.2,omega,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.8829658849298988,0.6155474013625917,0.619996820330127,0.12780490368656425
S0,0.2,omega,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.8406111694052765,0.5861601375376869,0.5910636997182647,0.11699202607897426
S0,0.2,omega,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.8597193938713337,0.5834311567342194,0.6206728456461149,0.11614964583595609
S0,0.2,omega,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.9006554883864761,0.6055947792487928,0.653741678387127,0.13060279494279584
S0,0.2,omega,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.916055684531956,0.6477846566160584,0.6357109975432955,0.12411520220599018
S0,0.5,velocity,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.4061136188084639,0.1009378337936238,0.10825993566241929,0.3781793376443588
S0,0.5,velocity,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.3875881094167421,0.08530357051160037,0.09093870366862183,0.36698500731540445
S0,0.5,velocity,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.39744761529578426,0.0955167608322484,0.09759621749118774,0.3732507650840565
S0,0.5,velocity,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.40193684060434104,0.09443049122613606,0.1049509988332803,0.3763261803352072
S0,0.5,velocity,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.3950790718872799,0.1005607374727788,0.08871811285441643,0.3716236100865988
S0,0.5,omega,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.8862291435955106,0.6137679807129678,0.625382954487514,0.13261644334706826
S0,0.5,omega,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.8402220235126493,0.569263628971969,0.6071793177602464,0.11508799072690919
S0,0.5,omega,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.856241999488463,0.5751701707581011,0.6231258717318376,0.11850647381698345
S0,0.5,omega,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.8947710794549539,0.5991639979175263,0.6515805933229984,0.13061592029044344
S0,0.5,omega,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.9231254355340457,0.6491838359591641,0.6447932519068518,0.12232162177903715
S0,1.0,velocity,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.4135020997706649,0.10406482612548658,0.10933841610811566,0.3849670235762924
S0,1.0,velocity,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.3946785892219974,0.08666936673747061,0.0920446354865321,0.373881525001896
S0,1.0,velocity,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.40285867813409815,0.09618726356394756,0.09914105560506509,0.37843648868673585
S0,1.0,velocity,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.4070846067473735,0.0966517694788551,0.1052871021800812,0.3811704849824959
S0,1.0,velocity,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.4020472339624518,0.10346285192942872,0.09362860575059259,0.3770558324607745
S0,1.0,omega,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.8994042927517573,0.6265500977071473,0.6316292918593482,0.13193746453798155
S0,1.0,omega,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.8465849642606095,0.5736840046743025,0.6120675256084046,0.1138688218460053
S0,1.0,omega,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.8677217517348413,0.5907800418820489,0.624355357822029,0.11874496918418224
S0,1.0,omega,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.9035048171421486,0.616218290607132,0.6479430406304445,0.1294827749890532
S0,1.0,omega,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.9396145872988162,0.6704160311887715,0.6467176158485867,0.12318377791308714
S0,2.0,velocity,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.4178221305074284,0.1068304823466186,0.11174799132979013,0.388168735496707
S0,2.0,velocity,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.3978893688327693,0.08728644533428029,0.09346201766476502,0.37677828698728966
S0,2.0,velocity,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.40684622089533845,0.0975958900307914,0.10116806343247246,0.3817904040795675
S0,2.0,velocity,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.41148750973261033,0.09889400783557709,0.10821566601845882,0.3844883814998098
S0,2.0,velocity,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.4073465344590533,0.10663609598908091,0.09715820145578749,0.3809464871315718
S0,2.0,omega,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.9044026754252495,0.6305791916260591,0.634915951025538,0.13113282402934717
S0,2.0,omega,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.8515117036024142,0.5791675491741541,0.6139339759718936,0.11279275022283972
S0,2.0,omega,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.8738797598767809,0.598919274434378,0.6254030124774632,0.11761211424599256
S0,2.0,omega,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.9099342790207466,0.6228381139593878,0.6509303948032465,0.1278385585721619
S0,2.0,omega,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.9505036597112184,0.68319301219753,0.6492577051874119,0.12316228101030373
S0,3.0,velocity,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.4195258535046868,0.10836553716373289,0.11340400357812853,0.3890994526936569
S0,3.0,velocity,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.3989252255055869,0.08776971369652763,0.09495310120540133,0.3773880250800093
S0,3.0,velocity,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.408339512435203,0.09985297592951571,0.10199548882030865,0.38258000584733276
S0,3.0,velocity,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.4133801844824591,0.1009092632797823,0.11009862282651929,0.3854591946740762
S0,3.0,velocity,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.4085296149122708,0.10948047470236687,0.09928355496865576,0.3808585664417942
S0,3.0,omega,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.9045821120551377,0.6308774204627399,0.6350146076350757,0.13045660539230602
S0,3.0,omega,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.8521807160994583,0.5806382741045624,0.6135524703719363,0.11235894996463254
S0,3.0,omega,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.8744494608220325,0.6007297419179142,0.624575201687361,0.11701048732644372
S0,3.0,omega,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.9137980076568091,0.6271376814323136,0.6523660453424818,0.12705774360292485
S0,3.0,omega,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.9546916345458709,0.6885847413168774,0.6497084254280225,0.12315085474845623
S0,5.0,velocity,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.4208659713549898,0.10917895993377712,0.11423088822603011,0.3900761781081357
S0,5.0,velocity,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.400186285164625,0.08869366383992017,0.09658493646338691,0.37809237876063745
S0,5.0,velocity,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.4088649284733855,0.10228105130824759,0.10390787473868968,0.3819846460868748
S0,5.0,velocity,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.41499269677683254,0.10343177720047965,0.11136557179335496,0.38615866591648246
S0,5.0,velocity,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.4095995742085754,0.11116344875730817,0.10205752350260752,0.38078702807309794
S0,5.0,omega,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.9023143744521877,0.6282527925522551,0.6346189958075757,0.12933827412456073
S0,5.0,omega,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.8519319267803859,0.5811445553830086,0.6128558599972991,0.1116544154227539
S0,5.0,omega,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.8739172307583527,0.6016604698695699,0.6231611372504853,0.11578515549654106
S0,5.0,omega,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.9154811034881555,0.6288664157204722,0.6531927371423035,0.1263801019437892
