experiment,horizon_s,p_rmse,q_rmse,r_rmse,delta_p2_rmse,delta_q2_rmse,delta_r2_rmse,q_dot_rmse,pitch_axis_so3_error_deg
S0,0.2,0.4700567768764615,0.48904965883536455,0.19816412589440505,0.6077036262998698,0.6242372083249859,0.12313291455005607,18.559493813435147,2.284775542294935
S0,0.5,0.5155030722496378,0.49528126916231896,0.1961633362096371,0.6013099228639456,0.6304123978418896,0.12382968999208824,18.7651008074672,4.105859019892221
S0,1.0,0.5250341265922633,0.4875819846224057,0.2153527723645483,0.6155296932118804,0.6325425663537626,0.12344356169406186,18.822301443369405,6.261593541597496
S0,2.0,0.5311073387382337,0.4875068281033651,0.24662783412761194,0.6229394282783017,0.6348882078931106,0.12250770561612898,18.8713827176427,7.489333166040524
S0,3.0,0.5430725599806169,0.48530917702554277,0.25862536957021937,0.6255935718468815,0.6350433500929754,0.12200692820695265,18.866660418523526,7.811528310840471
S0,5.0,0.547452841236127,0.49959383784116157,0.26370795975072403,0.6267017291768692,0.6346596706938697,0.12125936836149824,18.840163152352115,7.39530453251875
S1,0.2,0.48182905135566356,0.42739277330363457,0.18429243551366858,0.5833394466129949,0.5164383806982636,0.11878125621544655,16.064431112547005,2.2781557946479163
S1,0.5,0.5092692893127637,0.4358673077968772,0.1954987413775658,0.5884862555332597,0.5423403483635936,0.12121112065601414,16.650697306834978,3.7538215670702018
S1,1.0,0.510581915703355,0.44928975732467613,0.21857064769095516,0.6031539745318157,0.5624788433880646,0.12163514292905413,17.134237518714066,5.637899448563797
S1,2.0,0.5286844313837264,0.48027543865463435,0.2540778889628172,0.614067712631439,0.593878654443691,0.1216399678507879,17.87432875583274,7.677259866637712
S1,3.0,0.5465702640732094,0.4933388278087281,0.2672188486253477,0.620884340375786,0.6096095580159093,0.12171260569818791,18.240751313879223,8.739914560628069
S1,5.0,0.5628242486313371,0.5336476563179765,0.26235470456542687,0.6290917538375066,0.6316944859381263,0.12141321017970792,18.73510411308261,8.518178954502444
