experiment,signal,mode,lag_steps,log_id,n_origins,rmse,axis_0_rmse,axis_1_rmse,axis_2_rmse
S0,velocity,teacher_state,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,7841,0.4023709318151106,0.09940162310270782,0.10777221867424198,0.3747089977253535
S0,velocity,teacher_state,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,7391,0.3825322685260009,0.08644230563308963,0.09249014088454537,0.360976783324968
S0,velocity,teacher_state,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,9475,0.3867727681068293,0.09612390920997102,0.09851936971214342,0.3614516593110819
S0,velocity,teacher_state,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,7586,0.39225850414567964,0.09514860450928846,0.10143793031211959,0.3667748947631705
S0,velocity,teacher_state,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,7792,0.38717862900549405,0.09975749152763719,0.09410686479929982,0.362076831128883
S0,omega,teacher_state,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,7841,0.6849661056457073,0.46785461225063607,0.4858721286052441,0.1192430388905881
S0,omega,teacher_state,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,7391,0.6338840139303169,0.42239080009335894,0.4609796597037327,0.10436813906711648
S0,omega,teacher_state,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,9475,0.6607690107438338,0.44544445999905863,0.4757838513493026,0.10874118543935601
S0,omega,teacher_state,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,7586,0.6983211082660559,0.4628426994592045,0.5086374068993788,0.12131361881472737
S0,omega,teacher_state,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,7792,0.7121341669310558,0.4901432571334385,0.5037668029340107,0.11451492242873193
S1,velocity,teacher_state,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,7841,0.1533078406264919,0.06982432427470857,0.074512040765933,0.11434952347095338
S1,velocity,teacher_state,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,7391,0.13912025971163772,0.06201274314980307,0.0650574153624872,0.10619039059925757
S1,velocity,teacher_state,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,9475,0.14265474164805095,0.06836946456365524,0.06731160116309327,0.10557054503417092
S1,velocity,teacher_state,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,7586,0.14462726640493376,0.06926452348039851,0.06927308058169457,0.10639883590302601
S1,velocity,teacher_state,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,7792,0.1447267819746291,0.06944868735936749,0.06697155904714869,0.10787739116046018
S1,omega,teacher_state,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,7841,0.6325618500264508,0.4648556169755046,0.41163186875978136,0.12084268325612083
S1,omega,teacher_state,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,7391,0.588748357831326,0.4245395081808458,0.3942516131799374,0.10467330293664019
S1,omega,teacher_state,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,9475,0.6089488413098268,0.4450906474445,0.40095227918862164,0.10931732115024652
S1,omega,teacher_state,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,7586,0.6436119132902425,0.4550946201719878,0.4392116947009764,0.119240382662658
S1,omega,teacher_state,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,7792,0.6388317839487443,0.47639043508014306,0.410197386137916,0.11356190361608323
