signal,train_rms_vector_increment,axis_rms,baseline_normalized_error,baseline_vector_increment_rmse,lambda_inc
velocity_n,0.43225985166341907,"[0.12083129330841155, 0.12495323247163984, 0.39577148408189516]",0.8687029259715195,0.4028844841933282,0.16458798840801334
angular_velocity_b,1.1953394754557984,"[0.9394217673710562, 0.7185339575380806, 0.1732978835331027]",0.5517290365260304,0.8878798141091055,0.36716770482593264
