experiment,horizon_s,signal,log_id,n_origins,rmse,axis_0_rmse,axis_1_rmse,axis_2_rmse
S0,0.2,body_rate_endpoint,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.7457727534701164,0.49632059113143023,0.5217282674663017,0.19401671465097492
S0,0.2,body_rate_endpoint,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.6591503052114777,0.4344012451540137,0.4573114174181456,0.19141826080087848
S0,0.2,body_rate_endpoint,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.6753194467936559,0.44094054483122985,0.47863131354268657,0.18038807288185682
S0,0.2,body_rate_endpoint,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.6980747882086704,0.4353262995030851,0.5017185149217971,0.21465776174691834
S0,0.2,body_rate_endpoint,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.7585982289463641,0.5432952037625487,0.4858587808278919,0.21033981939139682
S0,0.2,SO3_log_error_deg,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,3.019964982932996,1.6284087815924395,2.159844630158211,1.342961098375846
S0,0.2,SO3_log_error_deg,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,2.7614467414127866,1.533158763587163,1.860224538861857,1.3470623505656185
S0,0.2,SO3_log_error_deg,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,3.358711252777452,1.9118451328309598,2.4696575968200785,1.2355487938860714
S0,0.2,SO3_log_error_deg,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,3.536564304310115,2.0234824303794774,2.5493879917282145,1.383266713290692
S0,0.2,SO3_log_error_deg,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,3.460197553990355,2.1081208213753904,2.3847629539063124,1.3570922477121534
S0,0.2,angular_acceleration,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,29.863984784003602,23.03942874720691,18.489354233730058,4.380192941095519
S0,0.2,angular_acceleration,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,27.710584940016815,20.81566399519252,17.868180349749224,3.9131548839738213
S0,0.2,angular_acceleration,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,28.46852541918298,21.409623613626067,18.29135865539013,4.1846331745347864
S0,0.2,angular_acceleration,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,30.73855461228279,23.467811999504065,19.351311954774797,4.432523574355219
S0,0.2,angular_acceleration,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,31.25783000252568,24.51520413646894,18.797263873531527,4.766505374262898
S0,0.5,body_rate_endpoint,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.77299609288233,0.5276525628027274,0.5324767849363741,0.1886112565115979
S0,0.5,body_rate_endpoint,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.711708246368166,0.4763223888100372,0.4883002901525348,0.20299861207333456
S0,0.5,body_rate_endpoint,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.6870861033189266,0.4737491812016035,0.46309312918447326,0.18219160350282257
S0,0.5,body_rate_endpoint,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.737703761110636,0.498590756859183,0.513362711652502,0.17908886792918052
S0,0.5,body_rate_endpoint,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.8018725583694063,0.601200471574638,0.47917342988571066,0.2279263410312502
S0,0.5,SO3_log_error_deg,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,6.996018170536985,3.575589000939068,4.709653716851772,3.7387959834940854
S0,0.5,SO3_log_error_deg,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,5.593295341601601,2.9368333288925657,3.0392233767365275,3.66375272677977
S0,0.5,SO3_log_error_deg,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,6.017257638195652,2.9643853103120836,4.124249886678136,3.2265108226480868
S0,0.5,SO3_log_error_deg,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,6.57891695170671,3.3806591290162653,4.335759215984988,3.6130989651342436
S0,0.5,SO3_log_error_deg,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,6.949641998619492,3.2553178773778946,4.320408903209683,4.3628541501253855
S0,0.5,angular_acceleration,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,29.923522834092992,22.904636076197004,18.73865424900239,4.43370070661113
S0,0.5,angular_acceleration,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,27.93416692865109,20.814126657052572,18.21382139580113,3.91746393267059
S0,0.5,angular_acceleration,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,28.37539257107886,21.162811087590146,18.446145865562535,4.127715244563137
S0,0.5,angular_acceleration,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,30.43260911112606,23.01930285728868,19.403719792788156,4.444215507598076
S0,0.5,angular_acceleration,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,31.152887292422168,24.245471891003998,19.023162734181803,4.558372409723704
S0,1.0,body_rate_endpoint,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.7329644946965526,0.48497210444529015,0.5040977099877113,0.21891666720655248
S0,1.0,body_rate_endpoint,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.6740597613857839,0.43861201290693885,0.4784802316421193,0.18174909072918946
S0,1.0,body_rate_endpoint,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.7341823712700908,0.517371684979163,0.4805381977676954,0.2010804176238213
S0,1.0,body_rate_endpoint,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.735202971339336,0.5348895648247012,0.44637981347933314,0.2348651200710444
S0,1.0,body_rate_endpoint,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.8709293196358622,0.6493252658052234,0.5284139702351693,0.240152566192134
S0,1.0,SO3_log_error_deg,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,11.219292786483125,5.8651097234348,7.187699221291762,6.309516500108756
S0,1.0,SO3_log_error_deg,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,9.150038720970295,4.293969922208879,4.57980543717405,6.65660672265173
S0,1.0,SO3_log_error_deg,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,9.692988434472433,4.996347067838683,6.148586915790075,5.584390719451069
S0,1.0,SO3_log_error_deg,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,10.715733257986663,5.573587790818114,6.970191205197179,5.931146007084686
S0,1.0,SO3_log_error_deg,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,11.7916766850806,5.335899923518388,6.421684928534413,8.326690442805221
S0,1.0,angular_acceleration,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,30.15294572675629,23.070043738466378,18.898849579987594,4.450472161351142
S0,1.0,angular_acceleration,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,27.994446549348798,20.815248598426244,18.309145683639365,3.897389860577336
S0,1.0,angular_acceleration,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,28.818525675238256,21.732255763632356,18.475915235239125,4.105732302366236
S0,1.0,angular_acceleration,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,30.429511766843103,23.1025818172716,19.299450349316903,4.444897744489317
S0,1.0,angular_acceleration,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,31.921038639814206,25.147805229641136,19.128146368664044,4.544735028085816
S0,2.0,body_rate_endpoint,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.7600980762728574,0.49958420995505803,0.5165484787747311,0.2476739223107477
S0,2.0,body_rate_endpoint,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.6769796406705233,0.4329168437910444,0.4740967625221718,0.2147479918657839
S0,2.0,body_rate_endpoint,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.742713423315326,0.5195709034639897,0.4728209736716802,0.2410593957981069
S0,2.0,body_rate_endpoint,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.7546912998693432,0.5437427572034579,0.45276338002493466,0.26250351196823457
