experiment,mode,source,log_id,axis,mean,std,rms
S0,teacher_state,prediction,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,ax_n,0.04535871314304225,1.2799673991426839,1.2807708443457322
S0,teacher_state,prediction,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,ay_n,-0.16012276066186465,1.2242299735862983,1.234657169707075
S0,teacher_state,prediction,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,az_n,1.783933550857594,2.1323343433297177,2.7801562304335996
S0,teacher_state,prediction,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,p_dot,1.8069482547312605,8.651217424198025,8.837908401653857
S0,teacher_state,prediction,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,q_dot,-2.2067423049674852,7.752706574496659,8.060655732059082
S0,teacher_state,prediction,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,r_dot,-0.30957002349232887,1.3426213517016363,1.377848211339032
S0,teacher_state,prediction,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,ax_n,-0.0015400455305768519,1.0041420850710288,1.0041432660487395
S0,teacher_state,prediction,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,ay_n,-0.055196086409019546,1.0613194210340706,1.0627537444859776
S0,teacher_state,prediction,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,az_n,1.8680464976322582,2.134808970236791,2.8367247058393974
S0,teacher_state,prediction,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,p_dot,1.8686759649168254,8.40677399848937,8.61195674185227
S0,teacher_state,prediction,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,q_dot,-1.3815891291106186,7.5436107113240745,7.669084109962542
S0,teacher_state,prediction,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,r_dot,-0.4028171300417881,1.243758090451591,1.307362163984751
S0,teacher_state,prediction,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,ax_n,0.09885542952748894,1.2935136744240854,1.2972856361916458
S0,teacher_state,prediction,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,ay_n,-0.027873434789898066,1.2628280073694365,1.2631355843945051
S0,teacher_state,prediction,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,az_n,1.8825543884658444,2.17037897528833,2.873074298013477
S0,teacher_state,prediction,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,p_dot,1.370351356835358,9.001125623149552,9.104840763291794
S0,teacher_state,prediction,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,q_dot,-1.96842456092605,7.632462529051347,7.88220651273676
S0,teacher_state,prediction,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,r_dot,-0.32472112806167375,1.3297408153839023,1.3688149791361475
S0,teacher_state,prediction,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,ax_n,0.12347694864288335,1.2325233068391979,1.2386929638728028
S0,teacher_state,prediction,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,ay_n,0.046313791429937495,1.3100195855818455,1.3108380074916373
S0,teacher_state,prediction,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,az_n,1.8325614519263504,2.04521316335511,2.7461206016210267
S0,teacher_state,prediction,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,p_dot,1.3655257911425296,9.5107273963069,9.608256672942185
S0,teacher_state,prediction,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,q_dot,-2.3667432400189865,7.265732535402716,7.641488260815765
S0,teacher_state,prediction,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,r_dot,-0.22426539741157786,1.4087403267079657,1.4264796796903345
S0,teacher_state,prediction,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,ax_n,0.0832389863573648,1.2493452270505772,1.2521151006212887
S0,teacher_state,prediction,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,ay_n,-0.0037901990695420025,1.1843861040548809,1.1843921686195353
S0,teacher_state,prediction,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,az_n,1.894664218868532,2.2354399525892754,2.9303488331413803
S0,teacher_state,prediction,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,p_dot,0.642300333372459,10.666117978389408,10.685439740467968
S0,teacher_state,prediction,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,q_dot,-1.9997488444039615,7.70919784198114,7.964340952489518
S0,teacher_state,prediction,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,r_dot,-0.6188548666115203,1.5306358459640825,1.6510080069093984
S0,teacher_state,D0_raw,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,ax_n,0.03661254759460136,3.1240401462611236,3.1242546813748375
S0,teacher_state,D0_raw,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,ay_n,0.00261942898714185,3.2758477183733588,3.275848765645349
S0,teacher_state,D0_raw,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,az_n,0.014968592051200361,10.227787611816685,10.227798565242612
S0,teacher_state,D0_raw,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,p_dot,-0.017606350364219918,23.038127052716167,23.03813378033615
S0,teacher_state,D0_raw,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,q_dot,-0.010343555254391896,19.07183257044596,19.07183537534494
S0,teacher_state,D0_raw,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,r_dot,-0.009034997981426226,4.429726133103866,4.429735347116333
S0,teacher_state,D0_raw,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,ax_n,0.017532180387312975,2.552603937728745,2.552664145605024
S0,teacher_state,D0_raw,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,ay_n,0.06782105201005725,2.7887152802853667,2.789539856247414
