path,rows,columns
docs/analysis/results/main_v2_free_running_5s/windows.csv,722,7
docs/analysis/results/main_v2_free_running_5s/per_flight.csv,180,120
docs/analysis/results/main_v2_free_running_5s/initialization_ablation.csv,36,119
docs/analysis/results/main_v2_free_running_5s/constant_twist_baseline.csv,6,118
docs/analysis/results/main_v2_free_running_5s/regime_bins.csv,108,120
docs/analysis/results/main_v2_free_running_5s/per_horizon.csv,36,119
docs/analysis/results/main_v2_free_running_5s/trajectory_diagnostics.csv,4332,48
docs/analysis/results/main_v2_free_running_5s/failure_cases.csv,3512,67
docs/analysis/results/main_v2_free_running_5s/per_rollout.csv,25992,67
docs/analysis/results/main_v2_free_running_5s/command_transition_bins.csv,18,119
docs/analysis/results/main_v2_free_running_5s/segment_coverage.csv,23,5
docs/analysis/results/main_v2_free_running_5s/review/prefix_variation.csv,18,7
docs/analysis/results/main_v2_free_running_5s/review/support_failure_direction.csv,2,9
docs/analysis/results/main_v2_training_objective_ablation/paired_flight_confidence.csv,180,9
docs/analysis/results/main_v2_training_objective_ablation/benchmark_per_horizon.csv,24,119
docs/analysis/results/main_v2_training_objective_ablation/attenuation_blocks.csv,300,9
docs/analysis/results/main_v2_training_objective_ablation/representative_rollouts.csv,6,5
docs/analysis/results/main_v2_training_objective_ablation/variation_summary.csv,76,6
docs/analysis/results/main_v2_training_objective_ablation/experiment_manifest.csv,4,4
docs/analysis/results/main_v2_training_objective_ablation/relative_changes.csv,24,8
docs/analysis/results/main_v2_training_objective_ablation/phase_analysis.csv,17328,13
docs/analysis/results/main_v2_training_objective_ablation/training_summary.csv,4,16
docs/analysis/results/main_v2_training_objective_ablation/phase_correlations.csv,72,7
docs/analysis/results/main_v2_training_objective_ablation/free_run_autocorrelation.csv,120,4
docs/analysis/results/main_v2_training_objective_ablation/regime_summary.csv,432,121
docs/analysis/results/main_v2_training_objective_ablation/A0_baseline_retrain/variation.csv,19,6
docs/analysis/results/main_v2_training_objective_ablation/A0_baseline_retrain/drift_chain.csv,6,5
docs/analysis/results/main_v2_training_objective_ablation/A0_baseline_retrain/per_flight.csv,30,120
docs/analysis/results/main_v2_training_objective_ablation/A0_baseline_retrain/dynamics_statistics.csv,54,10
docs/analysis/results/main_v2_training_objective_ablation/A0_baseline_retrain/per_horizon.csv,6,119
docs/analysis/results/main_v2_training_objective_ablation/A0_baseline_retrain/spectra.csv,520,6
docs/analysis/results/main_v2_training_objective_ablation/A0_baseline_retrain/derivatives.csv,4,6
docs/analysis/results/main_v2_training_objective_ablation/A0_baseline_retrain/phase_analysis.csv,4332,13
docs/analysis/results/main_v2_training_objective_ablation/A0_baseline_retrain/per_rollout.csv,4332,42
docs/analysis/results/main_v2_training_objective_ablation/A0_baseline_retrain/regimes.csv,108,121
docs/analysis/results/main_v2_training_objective_ablation/pretraining/train_loss_components.csv,28,8
docs/analysis/results/main_v2_training_objective_ablation/pretraining/validation/one_step_statistics.csv,26,6
docs/analysis/results/main_v2_training_objective_ablation/pretraining/validation/delta_lag_statistics.csv,80,3
docs/analysis/results/main_v2_training_objective_ablation/pretraining/validation/dynamics_statistics.csv,54,10
docs/analysis/results/main_v2_training_objective_ablation/pretraining/validation/spectra.csv,520,6
docs/analysis/results/main_v2_training_objective_ablation/pretraining/validation/phase_analysis.csv,4332,13
docs/analysis/results/main_v2_training_objective_ablation/pretraining/validation/local_spectra.csv,10400,6
docs/analysis/results/main_v2_training_objective_ablation/pretraining/validation/autocorrelation.csv,960,6
docs/analysis/results/main_v2_training_objective_ablation/pretraining/train/one_step_statistics.csv,26,6
docs/analysis/results/main_v2_training_objective_ablation/pretraining/train/delta_lag_statistics.csv,84,3
docs/analysis/results/main_v2_training_objective_ablation/pretraining/train/dynamics_statistics.csv,54,10
docs/analysis/results/main_v2_training_objective_ablation/pretraining/train/spectra.csv,520,6
docs/analysis/results/main_v2_training_objective_ablation/pretraining/train/phase_analysis.csv,4656,13
docs/analysis/results/main_v2_training_objective_ablation/pretraining/train/local_spectra.csv,10920,6
docs/analysis/results/main_v2_training_objective_ablation/pretraining/train/autocorrelation.csv,1008,6
docs/analysis/results/main_v2_training_objective_ablation/A2_multi_horizon/variation.csv,19,6
docs/analysis/results/main_v2_training_objective_ablation/A2_multi_horizon/drift_chain.csv,6,5
docs/analysis/results/main_v2_training_objective_ablation/A2_multi_horizon/per_flight.csv,30,120
docs/analysis/results/main_v2_training_objective_ablation/A2_multi_horizon/dynamics_statistics.csv,54,10
docs/analysis/results/main_v2_training_objective_ablation/A2_multi_horizon/per_horizon.csv,6,119
docs/analysis/results/main_v2_training_objective_ablation/A2_multi_horizon/spectra.csv,520,6
docs/analysis/results/main_v2_training_objective_ablation/A2_multi_horizon/derivatives.csv,4,6
docs/analysis/results/main_v2_training_objective_ablation/A2_multi_horizon/phase_analysis.csv,4332,13
docs/analysis/results/main_v2_training_objective_ablation/A2_multi_horizon/per_rollout.csv,4332,42
docs/analysis/results/main_v2_training_objective_ablation/A2_multi_horizon/regimes.csv,108,121
docs/analysis/results/main_v2_training_objective_ablation/A1_longer_rollout/variation.csv,19,6
docs/analysis/results/main_v2_training_objective_ablation/A1_longer_rollout/drift_chain.csv,6,5
docs/analysis/results/main_v2_training_objective_ablation/A1_longer_rollout/per_flight.csv,30,120
docs/analysis/results/main_v2_training_objective_ablation/A1_longer_rollout/dynamics_statistics.csv,54,10
docs/analysis/results/main_v2_training_objective_ablation/A1_longer_rollout/per_horizon.csv,6,119
docs/analysis/results/main_v2_training_objective_ablation/A1_longer_rollout/spectra.csv,520,6
docs/analysis/results/main_v2_training_objective_ablation/A1_longer_rollout/derivatives.csv,4,6
docs/analysis/results/main_v2_training_objective_ablation/A1_longer_rollout/phase_analysis.csv,4332,13
docs/analysis/results/main_v2_training_objective_ablation/A1_longer_rollout/per_rollout.csv,4332,42
docs/analysis/results/main_v2_training_objective_ablation/A1_longer_rollout/regimes.csv,108,121
docs/analysis/results/main_v2_training_objective_ablation/A3_dynamic_delta/variation.csv,19,6
docs/analysis/results/main_v2_training_objective_ablation/A3_dynamic_delta/drift_chain.csv,6,5
docs/analysis/results/main_v2_training_objective_ablation/A3_dynamic_delta/per_flight.csv,30,120
docs/analysis/results/main_v2_training_objective_ablation/A3_dynamic_delta/dynamics_statistics.csv,54,10
