experiment,mode,target,signal,log_id,n_origins,rmse,axis_0_rmse,axis_1_rmse,axis_2_rmse
S0,teacher_state,D0_raw,linear,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,7841,10.748661825186357,2.7928173399850262,3.00664888861643,9.934483620112273
S0,teacher_state,D0_raw,linear,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,7391,10.224371529583845,2.4282164324045192,2.5957077820502006,9.586649010085296
S0,teacher_state,D0_raw,linear,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,9475,10.321740694259129,2.679359556138736,2.7398548462426398,9.583974058289893
S0,teacher_state,D0_raw,linear,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,7586,10.434174636963084,2.68452046249828,2.819696708746826,9.680633280511872
S0,teacher_state,D0_raw,linear,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,7792,10.311610843959944,2.7616917538730497,2.62787884028054,9.58105576931205
S0,teacher_state,D0_raw,angular,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,7841,26.108916716636756,20.012015417058976,16.229025405395674,4.220604868344114
S0,teacher_state,D0_raw,angular,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,7391,23.97367052830736,17.902276596989942,15.502109978030267,3.732285824230693
S0,teacher_state,D0_raw,angular,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,9475,25.0550371360826,19.065120445313372,15.773003419413554,3.9355344525668428
S0,teacher_state,D0_raw,angular,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,7586,26.476620143798613,20.03251134320666,16.768707041617287,4.30352967640678
S0,teacher_state,D0_raw,angular,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,7792,27.795903462788406,21.902906842926257,16.545384770530372,4.373232664499816
S0,teacher_state,D1_lp6,linear,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,7841,9.601232114986825,1.9960845183119982,2.1634594848890574,9.13885921649158
S0,teacher_state,D1_lp6,linear,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,7391,9.246406199735647,1.6665247878990257,1.7933853836298523,8.916416971385463
