channel,horizon_s,axis,sign_agreement,absolute_gain_mean,gain_seed_std,near_zero_fraction,n_flights,n_origins
common,0.1,p,0.47301301639536936,0.4666763242514008,0.42220728666693136,0.0,17,227
common,0.1,q,1.0,2.023141448516875,0.3160639879397094,0.0,17,227
common,0.1,r,0.41272159213335685,0.09369053663261621,0.08525114593089023,0.0,17,227
common,0.1,vx,0.9733893557422969,0.6460562476714697,0.09327547816134521,0.0,17,227
common,0.1,vy,0.944997159703042,0.4746239740450535,0.07656809894176393,0.0,17,227
common,0.1,vz,1.0,1.0799916976911916,0.119488371218099,0.0,17,227
common,0.2,p,0.6660312726489197,0.5751337179164159,0.36634568585671173,0.0,17,227
common,0.2,q,0.7860891559420972,0.817438353263096,0.29510411356708577,0.0,17,227
common,0.2,r,0.5077713952713953,0.17498485502709152,0.12542505792236638,0.0,17,227
common,0.2,vx,0.9788703943115709,1.3597531882805802,0.15265466469233582,0.0,17,227
common,0.2,vy,0.954424007365184,0.9890690970571382,0.11956377852999062,0.004524886877828055,17,227
common,0.2,vz,1.0,2.0355008137075434,0.165264350304096,0.0,17,227
common,0.5,p,0.6476435329376506,0.6081016977604332,0.31808957646254615,0.0,17,227
common,0.5,q,0.8418946249828603,0.8329863403809282,0.2710106544208388,0.0,17,227
common,0.5,r,0.4628685040449746,0.16889252111173653,0.1453913752289492,0.0,17,227
common,0.5,vx,0.9785471881060116,2.7029363093413155,0.25806471362366745,0.0,17,227
common,0.5,vy,0.9412949795302736,1.9383114134904427,0.23166338876966058,0.0,17,227
common,0.5,vz,1.0,2.484455049285474,0.26910609050388234,0.0,17,227
common,1.0,p,0.603285440050146,0.6554834599238666,0.42856170059842535,0.0,17,227
common,1.0,q,0.7796274803627744,1.1318490442308284,0.4791679865705882,0.0,17,227
common,1.0,r,0.5372431490078549,0.21698881215383736,0.15794183513835014,0.0,17,227
common,1.0,vx,0.9570135746606335,3.3971481008272293,0.567418199459079,0.0,17,227
common,1.0,vy,0.8778349101878513,2.515645716747631,0.6015217200817249,0.0,17,227
common,1.0,vz,0.8029171808583574,1.167626775911538,0.41426220180646,0.0,17,227
differential,0.1,p,0.7190841021723375,0.6053006340568882,0.22763334316951905,0.0,17,227
differential,0.1,q,0.6874424595012831,0.22276552564228863,0.11707114365723312,0.0,17,227
differential,0.1,r,0.8694408532643827,0.18243888078939144,0.0443250392707733,0.0,17,227
differential,0.1,vx,0.8066514367984956,0.17087871914238523,0.05237044463134003,0.0,17,227
differential,0.1,vy,0.897969432528256,0.20123538365433744,0.04836455672844982,0.0,17,227
differential,0.1,vz,0.7098085737791621,0.07687952063797188,0.04485756501070127,0.004201680672268907,17,227
differential,0.2,p,0.7277073416779299,0.5424003630792127,0.22037350926209354,0.0,17,227
differential,0.2,q,0.7274556326026914,0.36498176729560217,0.15285057418070397,0.0,17,227
differential,0.2,r,0.9350624865330748,0.6189095163468374,0.09153791344197733,0.0,17,227
differential,0.2,vx,0.8418458991988403,0.2687999721432063,0.07011831558763311,0.0,17,227
differential,0.2,vy,0.9073274764451235,0.31855888097676927,0.06923711820708027,0.0,17,227
differential,0.2,vz,0.667437219643102,0.1849125835161712,0.10197443496341889,0.0,17,227
differential,0.5,p,0.7942430118900707,0.5857662691973555,0.1761204973800423,0.0,17,227
differential,0.5,q,0.630307682513565,0.25498746540434925,0.15317895094095166,0.0,17,227
differential,0.5,r,0.8594268476621417,0.3296361168319474,0.08256133467479757,0.0,17,227
differential,0.5,vx,0.8808919022154317,0.43982845880227334,0.1231389865585247,0.0,17,227
differential,0.5,vy,0.8863163796987327,0.5067525579753206,0.11664884549413085,0.0,17,227
differential,0.5,vz,0.8793309631544926,0.5275007620021228,0.1474036690735698,0.0,17,227
differential,1.0,p,0.7150229672288496,0.4014161431103034,0.21464334649997419,0.0,17,227
differential,1.0,q,0.5692180368650958,0.28233206871577177,0.20335308420922274,0.0,17,227
differential,1.0,r,0.8246971166088813,0.24098912560327193,0.07606237986532277,0.0,17,227
differential,1.0,vx,0.7484934183463595,0.6131008196781584,0.25672246781614494,0.0,17,227
differential,1.0,vy,0.7752683590918885,0.6266843199810066,0.25418518740537294,0.0,17,227
differential,1.0,vz,0.8822816888993359,0.6774836778074305,0.18497556942267465,0.0,17,227
drive,0.1,p,0.7051771757654111,1.18150774552103,0.5331223687636901,0.0,17,227
drive,0.1,q,0.8589824391294979,1.6760545001910399,0.42452148008280066,0.0,17,227
drive,0.1,r,0.5592779769250358,0.16754462009193918,0.11775930221443003,0.0,17,227
drive,0.1,vx,0.9281108597285067,0.6865621082280039,0.1256824002370373,0.0,17,227
drive,0.1,vy,0.8834116863528628,0.526358271623723,0.11695852681187288,0.0,17,227
drive,0.1,vz,0.8694153885330356,1.1234191635956872,0.30006357634239544,0.0,17,227
drive,0.2,p,0.6390668155374037,1.4909800219366067,0.734852955737284,0.0,17,227
drive,0.2,q,0.8674019607843138,2.865068781154701,0.4525789354273822,0.0,17,227
drive,0.2,r,0.6195221445221445,0.33695177609651433,0.20370795035240577,0.0,17,227
drive,0.2,vx,0.9421056884292179,1.3055284559024272,0.1866704810849009,0.004524886877828055,17,227
drive,0.2,vy,0.8780085110967464,0.9080799004311411,0.1832699645466506,0.0,17,227
drive,0.2,vz,0.8928936259818613,2.0562089809285835,0.3914940448084474,0.0,17,227
drive,0.5,p,0.7568252825605767,4.128001344604408,1.5787856737752992,0.0,17,227
drive,0.5,q,0.8817403185050244,8.15273336788939,1.4664105406452543,0.0,17,227
drive,0.5,r,0.7712160388630976,0.7301283767100729,0.3023884011824119,0.0,17,227
drive,0.5,vx,0.9635707429825076,2.567375641112722,0.45651728514506806,0.0,17,227
drive,0.5,vy,0.8411955691367456,1.897823967848915,0.4211623956985977,0.0,17,227
